B7ZAQ6	concentration:10.35	copy_number:12470
Q8N954	concentration:45.55	copy_number:54866
P0CG08	concentration:10.35	copy_number:12470
Q2TAA2	concentration:254.98	copy_number:307100
P48735	concentration:265.85	copy_number:320198
Q5T013	concentration:0.70	copy_number:847
A2RU49	concentration:3.05	copy_number:3678
Q9Y4L1	concentration:922.94	copy_number:1111617
Q9BYI3	concentration:7.62	copy_number:9175
Q14667	concentration:1.35	copy_number:1621
Q92628	concentration:0.10	copy_number:121
Q12794	concentration:3.02	copy_number:3636
Q5T3I0	concentration:79.47	copy_number:95711
Q9Y4A0	concentration:1.33	copy_number:1608
P53990	concentration:54.89	copy_number:66111
O75564	concentration:1.41	copy_number:1698
Q92917	concentration:197.54	copy_number:237927
P52948	concentration:271.46	copy_number:326957
O00459	concentration:18.72	copy_number:22544
Q9Y3B1	concentration:7.49	copy_number:9016
Q9NY27	concentration:120.99	copy_number:145725
Q7RTY9	concentration:148.90	copy_number:179338
P28074	concentration:365.52	copy_number:440241
P32119	concentration:6174.60	copy_number:7436868
O95758	concentration:86.16	copy_number:103774
Q16401	concentration:415.29	copy_number:500190
Q13200	concentration:1003.82	copy_number:1209035
P30566	concentration:571.85	copy_number:688753
P27708	concentration:342.02	copy_number:411943
Q8IZV5	concentration:1.42	copy_number:1715
Q8WVD3	concentration:20.40	copy_number:24567
Q9P0M9	concentration:20.88	copy_number:25153
Q99729	concentration:456.14	copy_number:549387
Q96EX2	concentration:2.42	copy_number:2915
P62280	concentration:3999.41	copy_number:4817007
Q16533	concentration:7.47	copy_number:9003
Q5VYV7	concentration:0.32	copy_number:391
P49903	concentration:560.79	copy_number:675429
Q15036	concentration:8.96	copy_number:10788
Q8N196	concentration:2.88	copy_number:3464
Q8TEQ0	concentration:0.98	copy_number:1181
Q96EA4	concentration:12.33	copy_number:14855
Q9HB58	concentration:3.14	copy_number:3781
P84022	concentration:0.61	copy_number:739
O43255	concentration:0.23	copy_number:279
Q9NP77	concentration:240.50	copy_number:289671
Q9P246	concentration:4.91	copy_number:5916
Q9H5I1	concentration:1.99	copy_number:2396
Q9UGU0	concentration:5.21	copy_number:6280
Q92526	concentration:1.59	copy_number:1919
Q9Y5J6	concentration:16.16	copy_number:19467
P19484	concentration:6.83	copy_number:8225
Q99973	concentration:2.43	copy_number:2926
Q9H307	concentration:143.85	copy_number:173257
O43930	concentration:53.21	copy_number:64084
O60508	concentration:133.78	copy_number:161123
P49642	concentration:160.27	copy_number:193031
Q58EX7	concentration:6.03	copy_number:7268
P28070	concentration:1052.67	copy_number:1267860
O43663	concentration:0.67	copy_number:807
P78317	concentration:2.58	copy_number:3112
Q9H9Y6	concentration:17.26	copy_number:20789
Q8NC42	concentration:2.72	copy_number:3276
Q9H6Y7	concentration:7.98	copy_number:9617
Q96EU6	concentration:43.73	copy_number:52668
Q9NYV6	concentration:6.42	copy_number:7729
Q7L523	concentration:79.20	copy_number:95388
P62273	concentration:518.06	copy_number:623969
Q13485	concentration:161.22	copy_number:194179
Q9GZT3	concentration:179.80	copy_number:216558
Q96GM5	concentration:28.28	copy_number:34057
Q15475	concentration:3.71	copy_number:4468
Q68D06	concentration:31.34	copy_number:37744
Q11201	concentration:19.56	copy_number:23564
Q8TAV4	concentration:147.98	copy_number:178236
P58511	concentration:328.27	copy_number:395381
Q9UEW8	concentration:18.65	copy_number:22465
Q9BWW4	concentration:1.00	copy_number:1206
Q9P2R7	concentration:360.78	copy_number:434538
Q8IWZ8	concentration:37.51	copy_number:45175
Q14BN4	concentration:11.47	copy_number:13811
O76070	concentration:54.17	copy_number:65245
Q4W5G0	concentration:2.51	copy_number:3024
P35269	concentration:365.35	copy_number:440034
O75204	concentration:44.18	copy_number:53211
Q9NYB0	concentration:50.39	copy_number:60692
Q96HV5	concentration:60.20	copy_number:72507
Q8NBN3	concentration:127.11	copy_number:153098
Q9H147	concentration:8.60	copy_number:10355
O60858	concentration:3.37	copy_number:4055
O94826	concentration:295.12	copy_number:355450
Q7Z403	concentration:1.71	copy_number:2061
Q9Y5R8	concentration:7.52	copy_number:9061
Q8TBN0	concentration:0.50	copy_number:599
Q7Z7A4	concentration:2.98	copy_number:3594
P78406	concentration:193.90	copy_number:233542
Q9BQ04	concentration:22.72	copy_number:27366
P61224	concentration:1089.96	copy_number:1312774
P51159	concentration:22.18	copy_number:26709
P51157	concentration:0.68	copy_number:819
P15153	concentration:355.07	copy_number:427661
Q92928	concentration:696.03	copy_number:838321
Q13017	concentration:13.59	copy_number:16367
P57729	concentration:82.74	copy_number:99651
Q9P227	concentration:0.51	copy_number:613
Q92930	concentration:4.63	copy_number:5581
Q86YS6	concentration:1.98	copy_number:2388
Q9ULI2	concentration:3.09	copy_number:3717
O75394	concentration:5.98	copy_number:7200
P05386	concentration:15941.50	copy_number:19200394
Q9H7B2	concentration:192.87	copy_number:232300
Q8IXW5	concentration:22.89	copy_number:27573
Q96EP0	concentration:2.64	copy_number:3174
A6NIE6	concentration:6.42	copy_number:7729
Q8IUI4	concentration:0.98	copy_number:1181
Q9Y3D3	concentration:148.18	copy_number:178477
Q9UHR5	concentration:196.60	copy_number:236787
Q96K37	concentration:8.23	copy_number:9910
P51398	concentration:164.34	copy_number:197936
Q8N488	concentration:24.42	copy_number:29413
Q01196	concentration:2.26	copy_number:2718
P22307	concentration:315.50	copy_number:380002
Q9P0V9	concentration:257.96	copy_number:310700
P53992	concentration:171.86	copy_number:206995
Q9Y617	concentration:843.79	copy_number:1016280
Q5PRF9	concentration:53.39	copy_number:64302
Q9NRG4	concentration:70.74	copy_number:85199
Q9UHJ3	concentration:2.63	copy_number:3164
Q9H0E3	concentration:31.35	copy_number:37759
Q8TEV9	concentration:10.71	copy_number:12900
Q5VWJ9	concentration:25.12	copy_number:30260
Q96FS4	concentration:2.40	copy_number:2892
O75830	concentration:1460.41	copy_number:1758954
Q8TB22	concentration:1.14	copy_number:1368
Q8NBJ9	concentration:3.06	copy_number:3686
Q9NRC1	concentration:4.38	copy_number:5280
