organism_id	fraction_disorder_per_protein	fraction_disorder_total_proteome	classification
UP000170803	0.23176	0.25215	Virus
UP000171007	0.47101	0.43961	Virus
UP000171215	0.39743	0.44281	Virus
UP000171261	0.34568	0.35777	Virus
UP000171341	0.38463	0.38618	Virus
UP000171862	0.38214	0.4081	Virus
UP000172276	0.19088	0.13096	Virus
UP000172383	0.37858	0.39289	Virus
UP000172444	0.28437	0.19384	Virus
UP000172497	0.1336	0.0897	Virus
UP000174148	0.39158	0.44715	Virus
UP000174423	0.20562	0.06858	Virus
UP000174569	0.15056	0.04741	Virus
UP000174731	0.12493	0.17745	Virus
UP000174756	0.29547	0.36488	Virus
UP000174880	0.73973	0.66146	Virus
UP000180764	0.26638	0.22389	Virus
UP000180906	0.31991	0.19799	Virus
UP000180955	0.2745	0.21905	Virus
UP000185274	0.34472	0.28635	Virus
UP000185275	0.57454	0.3937	Virus
UP000201042	0.00941	0.00941	Virus
UP000201047	0.12517	0.12517	Virus
UP000201057	0.10127	0.10127	Virus
UP000201063	0.2089	0.2089	Virus
UP000201092	0.07352	0.07352	Virus
UP000201157	0.34149	0.25	Virus
UP000201168	0.32563	0.23599	Virus
UP000201178	0.17015	0.17015	Virus
UP000201188	0.05562	0.05562	Virus
UP000201189	0.41263	0.30899	Virus
UP000201224	0.29123	0.22909	Virus
UP000201231	0.03115	0.03115	Virus
UP000201245	0.1253	0.1253	Virus
UP000201273	0.11277	0.11277	Virus
UP000201277	0.13372	0.13372	Virus
UP000201280	0.18457	0.09271	Virus
UP000201302	0.06422	0.06422	Virus
UP000201303	0.24414	0.19321	Virus
UP000201306	0.41712	0.31317	Virus
UP000201315	0.09723	0.09723	Virus
UP000201498	0.35559	0.40607	Virus
UP000201532	0.14505	0.14505	Virus
UP000201557	0.34708	0.39768	Virus
UP000201565	0.36565	0.28528	Virus
UP000201578	0.09908	0.09908	Virus
UP000201614	0.03317	0.03317	Virus
UP000201615	0.11432	0.11432	Virus
