Sample description: prot1
Sample: prot1 c= 4.5 Code: Apr1
Subtracted from raw files: "C:\Data\rishi-4and9mgpml\prot4p5mgpmlrep1_0001.img" "C:\Data\rishi-4and9mgpml\bufferrep1_0002.img"
Processed by SAXSLab Sat Apr 02 09:53:54 2022
BeamCenter_X: 754.149 BeamCenter_Y: 199.623
Exposure time (sec): 3600
Pin diode (mean): 6.6504e-08
==============================================
0.195727 0.470301 0.0135469
0.196538 0.44493 0.0131249
0.19735 0.45172 0.0132825
0.198161 0.462981 0.0131828
0.198973 0.446484 0.0132214
0.199784 0.462515 0.01355
0.200596 0.452317 0.012954
0.201407 0.437744 0.0137011
0.202219 0.454632 0.0135205
0.20303 0.445976 0.0135343
0.203842 0.455681 0.013569
0.204653 0.422907 0.0132796
0.205465 0.459027 0.0135544
0.206276 0.447049 0.0134457
0.207088 0.457883 0.0134499
0.207899 0.417934 0.0135456
0.208711 0.445121 0.0131764
0.209522 0.405464 0.0137216
0.210334 0.442137 0.0137036
0.211145 0.390398 0.0137829
0.211957 0.395991 0.0134055
0.212768 0.425563 0.0136025
0.21358 0.424776 0.013884
0.214391 0.420272 0.0137321
0.215203 0.410321 0.0135729
0.216014 0.420069 0.0133865
0.216825 0.430475 0.0135933
0.217637 0.430175 0.0136503
0.218448 0.411079 0.0138202
0.21926 0.397107 0.0136262
0.220071 0.376396 0.0135667
0.220883 0.384386 0.0134518
0.221694 0.418157 0.0132533
0.222506 0.417486 0.0132311
0.223317 0.38821 0.0129924
0.224129 0.404301 0.0132228
0.22494 0.407313 0.013246
0.225752 0.385917 0.0134443
0.226563 0.379792 0.0137165
0.227375 0.384486 0.0130957
0.228186 0.388916 0.0136501
0.228998 0.382891 0.0134484
0.229809 0.381145 0.0135836
0.230621 0.375763 0.0137059
0.231432 0.377537 0.0136149
0.232244 0.383681 0.0137984
0.233055 0.355463 0.0134349
0.233867 0.378549 0.0134341
0.234678 0.35048 0.0139724
0.23549 0.377388 0.0137155
0.236301 0.361652 0.013641
0.237113 0.374847 0.0136222
0.237924 0.350394 0.013418
0.238735 0.365178 0.0132083
0.239547 0.361527 0.0136863
0.240358 0.364502 0.0138545
0.24117 0.385457 0.0132868
0.241981 0.358834 0.0135273
0.242793 0.355406 0.013411
0.243604 0.347682 0.013803
0.244416 0.348296 0.0138097
0.245227 0.319629 0.0137073
0.246039 0.350261 0.0137524
0.24685 0.338115 0.0136944
0.247662 0.338201 0.0135369
0.248473 0.363199 0.0137339
0.249285 0.361628 0.0138015
0.250096 0.348296 0.0132456
0.250908 0.338155 0.0137826
0.251719 0.33528 0.0134233
0.252531 0.331229 0.0139113
0.253342 0.338758 0.0135822
0.254154 0.299926 0.0134979
0.254965 0.341034 0.0135674
0.255777 0.331361 0.01358
0.256588 0.326725 0.013469
0.2574 0.340511 0.0135373
0.258211 0.316969 0.0140451
0.259023 0.323135 0.0139092
0.259834 0.327025 0.0133252
0.260645 0.308024 0.013228
0.261457 0.305778 0.0137035
0.262268 0.321586 0.0139794
0.26308 0.324183 0.0140779
0.263891 0.309628 0.0134607
0.264703 0.297006 0.0132635
0.265514 0.319189 0.0137715
0.266326 0.317659 0.0141642
0.267137 0.339646 0.0136264
0.267949 0.29481 0.0135564
0.26876 0.329201 0.0139249
0.269572 0.299228 0.0131422
0.270383 0.32128 0.0138154
0.271195 0.301001 0.0139264
0.272006 0.298826 0.0135317
0.272818 0.315414 0.013578
0.273629 0.304416 0.0141792
0.274441 0.298939 0.0139035
0.275252 0.301163 0.0132817
0.276064 0.319298 0.0136315
0.276875 0.303245 0.0135757
0.277687 0.326895 0.0138869
0.278498 0.298606 0.0136443
0.27931 0.30047 0.0135596
0.280121 0.331021 0.0137428
0.280933 0.30184 0.0140225
0.281744 0.289269 0.0138618
0.282555 0.272018 0.0139938
0.283367 0.316512 0.0140918
0.284178 0.289979 0.0136703
0.28499 0.289633 0.0139244
