all,non_tail,N,C,N_w_pdb,C_w_pdb
159.0,23.0,152.0,77.0,,
32.0,24.0,28.0,30.0,,
54.0,178.0,179.0,38.0,,
49.0,57.0,54.0,184.0,,
50.0,60.0,73.0,114.0,,
46.0,194.0,32.0,46.0,,
199.0,277.0,20.0,105.0,,
37.0,370.0,145.0,20.0,,
32.0,78.0,21.0,28.0,,
69.0,63.0,60.0,31.0,,
30.0,20.0,25.0,20.0,,
25.0,24.0,33.0,149.0,,
30.0,23.0,93.0,31.0,,
20.0,49.0,20.0,137.0,,
35.0,151.0,35.0,97.0,,
74.0,29.0,22.0,47.0,,
66.0,38.0,224.0,87.0,,
33.0,40.0,21.0,26.0,,
89.0,42.0,30.0,131.0,,
30.0,30.0,25.0,46.0,,
47.0,45.0,23.0,37.0,,
20.0,33.0,33.0,34.0,,
24.0,314.0,53.0,23.0,,
335.0,133.0,26.0,157.0,,
22.0,37.0,74.0,263.0,,
85.0,83.0,22.0,179.0,,
33.0,183.0,95.0,38.0,,
59.0,39.0,48.0,60.0,,
32.0,51.0,212.0,35.0,,
162.0,26.0,159.0,38.0,,
26.0,24.0,147.0,290.0,,
76.0,39.0,20.0,20.0,,
120.0,22.0,215.0,113.0,,
146.0,25.0,22.0,89.0,,
67.0,26.0,103.0,20.0,,
69.0,130.0,67.0,92.0,,
37.0,23.0,53.0,31.0,,
127.0,117.0,214.0,29.0,,
39.0,1116.0,85.0,56.0,,
25.0,60.0,22.0,154.0,,
46.0,36.0,64.0,39.0,,
22.0,77.0,45.0,185.0,,
214.0,21.0,27.0,111.0,,
26.0,1439.0,38.0,166.0,,
21.0,1419.0,187.0,157.0,,
30.0,341.0,168.0,24.0,,
30.0,21.0,37.0,54.0,,
147.0,59.0,21.0,40.0,,
75.0,21.0,205.0,192.0,,
35.0,25.0,87.0,536.0,,
45.0,46.0,100.0,115.0,,
28.0,24.0,465.0,282.0,,
28.0,88.0,28.0,38.0,,
25.0,48.0,102.0,34.0,,
20.0,20.0,64.0,74.0,,
23.0,24.0,45.0,29.0,,
346.0,59.0,30.0,400.0,,
39.0,22.0,23.0,23.0,,
44.0,1355.0,139.0,25.0,,
32.0,26.0,73.0,235.0,,
105.0,25.0,38.0,21.0,,
304.0,152.0,21.0,29.0,,
66.0,20.0,44.0,45.0,,
58.0,41.0,551.0,25.0,,
73.0,34.0,22.0,32.0,,
43.0,24.0,99.0,152.0,,
53.0,33.0,34.0,73.0,,
99.0,31.0,25.0,78.0,,
158.0,22.0,103.0,21.0,,
81.0,229.0,55.0,70.0,,
52.0,114.0,56.0,52.0,,
196.0,43.0,36.0,27.0,,
28.0,92.0,29.0,21.0,,
22.0,257.0,150.0,48.0,,
30.0,57.0,42.0,185.0,,
59.0,20.0,59.0,77.0,,
49.0,35.0,29.0,22.0,,
117.0,74.0,39.0,42.0,,
53.0,224.0,111.0,39.0,,
84.0,246.0,44.0,35.0,,
55.0,211.0,27.0,27.0,,
55.0,583.0,56.0,38.0,,
25.0,519.0,60.0,236.0,,
23.0,25.0,26.0,51.0,,
199.0,75.0,83.0,23.0,,
26.0,579.0,41.0,30.0,,
146.0,61.0,21.0,28.0,,
69.0,391.0,21.0,46.0,,
30.0,20.0,55.0,161.0,,
51.0,172.0,45.0,32.0,,
24.0,57.0,63.0,31.0,,
20.0,136.0,259.0,88.0,,
24.0,24.0,416.0,23.0,,
22.0,57.0,38.0,23.0,,
214.0,65.0,60.0,36.0,,
35.0,24.0,83.0,28.0,,
20.0,24.0,204.0,25.0,,
39.0,28.0,34.0,92.0,,
68.0,41.0,20.0,39.0,,
31.0,44.0,24.0,22.0,,
69.0,103.0,186.0,66.0,,
128.0,25.0,103.0,27.0,,
68.0,41.0,49.0,109.0,,
20.0,125.0,70.0,101.0,,
460.0,29.0,44.0,24.0,,
169.0,35.0,65.0,30.0,,
53.0,26.0,42.0,75.0,,
42.0,84.0,48.0,111.0,,
78.0,133.0,46.0,71.0,,
72.0,106.0,543.0,61.0,,
120.0,101.0,75.0,127.0,,
217.0,240.0,48.0,40.0,,
34.0,33.0,26.0,54.0,,
22.0,53.0,64.0,91.0,,
21.0,47.0,20.0,27.0,,
20.0,97.0,53.0,410.0,,
96.0,21.0,24.0,54.0,,
33.0,24.0,22.0,71.0,,
26.0,33.0,21.0,397.0,,
132.0,80.0,65.0,88.0,,
47.0,30.0,65.0,302.0,,
61.0,28.0,113.0,43.0,,
69.0,22.0,241.0,25.0,,
20.0,128.0,84.0,34.0,,
38.0,20.0,66.0,26.0,,
123.0,41.0,54.0,78.0,,
36.0,66.0,42.0,25.0,,
90.0,23.0,67.0,39.0,,
44.0,76.0,968.0,90.0,,
126.0,46.0,25.0,29.0,,
20.0,41.0,32.0,22.0,,
25.0,38.0,87.0,205.0,,
28.0,27.0,202.0,48.0,,
56.0,20.0,107.0,63.0,,
