Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 8.118070e-002  2.369443e-003  9.696444e-005
 8.163671e-002  2.168094e-003  9.578279e-005
 8.209272e-002  2.251938e-003  9.651323e-005
 8.254873e-002  2.406706e-003  9.588472e-005
 8.300474e-002  2.047838e-003  9.551096e-005
 8.346074e-002  2.218335e-003  9.591041e-005
 8.391675e-002  2.174408e-003  9.485721e-005
 8.437275e-002  2.218967e-003  9.570256e-005
 8.482875e-002  1.970347e-003  9.344381e-005
 8.528475e-002  2.126654e-003  9.530510e-005
 8.574076e-002  2.012852e-003  9.384787e-005
 8.619675e-002  2.218685e-003  9.451042e-005
 8.665275e-002  2.053113e-003  9.401972e-005
 8.710875e-002  1.867508e-003  9.217820e-005
 8.756475e-002  1.855662e-003  9.396134e-005
 8.802074e-002  2.041510e-003  9.210030e-005
 8.847673e-002  1.922813e-003  9.378323e-005
 8.893273e-002  1.998596e-003  9.262338e-005
 8.938872e-002  1.864585e-003  9.202708e-005
 8.984471e-002  1.831098e-003  9.191484e-005
 9.030070e-002  1.897967e-003  9.357439e-005
 9.075669e-002  1.982856e-003  9.553529e-005
 9.121267e-002  1.948122e-003  9.529179e-005
 9.166866e-002  1.925039e-003  9.638558e-005
 9.212464e-002  2.081866e-003  9.820051e-005
 9.258063e-002  1.754125e-003  9.562884e-005
 9.303661e-002  1.916063e-003  9.780563e-005
 9.349259e-002  1.830346e-003  9.747800e-005
 9.394857e-002  1.883291e-003  9.855452e-005
 9.440455e-002  1.905916e-003  9.916670e-005
 9.486053e-002  1.765453e-003  9.786161e-005
 9.531650e-002  1.860505e-003  9.940165e-005
 9.577248e-002  1.712204e-003  9.831926e-005
 9.622845e-002  1.687633e-003  9.989193e-005
 9.668443e-002  1.745656e-003  9.919734e-005
 9.714040e-002  1.639416e-003  9.941291e-005
 9.759637e-002  1.655996e-003  1.007343e-004
 9.805234e-002  1.849987e-003  9.929227e-005
 9.850830e-002  1.789610e-003  1.003196e-004
 9.896427e-002  1.529030e-003  9.780789e-005
 9.942024e-002  1.646212e-003  9.629103e-005
 9.987620e-002  1.480595e-003  9.629948e-005
 1.003322e-001  1.411423e-003  9.323670e-005
 1.007881e-001  1.593165e-003  9.467437e-005
 1.012441e-001  1.629456e-003  9.304933e-005
 1.017000e-001  1.573178e-003  9.304101e-005
 1.021560e-001  1.620422e-003  9.238967e-005
 1.026120e-001  1.578600e-003  9.157515e-005
 1.030679e-001  1.598173e-003  9.265441e-005
 1.035239e-001  1.418203e-003  9.046406e-005
 1.039798e-001  1.587807e-003  9.083524e-005
 1.044358e-001  1.472969e-003  8.986018e-005
 1.048917e-001  1.312004e-003  9.019243e-005
 1.053477e-001  1.590058e-003  9.064050e-005
 1.058036e-001  1.415374e-003  8.860302e-005
 1.062596e-001  1.549355e-003  8.950894e-005
 1.067155e-001  1.435224e-003  8.825826e-005
 1.071715e-001  1.274603e-003  8.908726e-005
 1.076274e-001  1.505040e-003  9.154397e-005
 1.080833e-001  1.357488e-003  9.107911e-005
 1.085393e-001  1.359718e-003  9.291562e-005
 1.089952e-001  1.370634e-003  9.195508e-005
 1.094511e-001  1.428106e-003  9.338650e-005
 1.099071e-001  1.494786e-003  9.020544e-005
 1.103630e-001  1.430119e-003  9.000479e-005
 1.108189e-001  1.395646e-003  8.949131e-005
 1.112749e-001  1.383648e-003  8.797666e-005
 1.117308e-001  1.375549e-003  8.828493e-005
 1.121867e-001  1.213016e-003  8.619820e-005
 1.126427e-001  1.269962e-003  8.629852e-005
 1.130986e-001  1.262815e-003  8.676242e-005
 1.135545e-001  1.183117e-003  8.575353e-005
 1.140104e-001  1.468208e-003  8.626528e-005
 1.144664e-001  1.495874e-003  8.520584e-005
 1.149223e-001  1.433783e-003  8.518342e-005
 1.153782e-001  1.266195e-003  8.485668e-005
 1.158341e-001  1.175047e-003  8.430523e-005
 1.162900e-001  1.044392e-003  8.528806e-005
 1.167459e-001  1.341390e-003  8.338858e-005
 1.172018e-001  1.293026e-003  8.457011e-005
 1.176578e-001  1.480272e-003  8.346651e-005
 1.181137e-001  1.257619e-003  8.372903e-005
 1.185696e-001  1.223939e-003  8.358793e-005
 1.190255e-001  1.184584e-003  8.239689e-005
 1.194814e-001  1.067570e-003  8.355830e-005
 1.199373e-001  1.222935e-003  8.242323e-005
 1.203932e-001  1.298215e-003  8.258415e-005
 1.208491e-001  1.247650e-003  8.247728e-005
 1.213050e-001  1.317025e-003  8.206492e-005
 1.217609e-001  1.093529e-003  8.259563e-005
 1.222168e-001  1.287465e-003  8.127874e-005
 1.226727e-001  1.237102e-003  8.209578e-005
 1.231286e-001  1.164198e-003  8.094907e-005
 1.235845e-001  1.218583e-003  8.136942e-005
 1.240403e-001  1.162812e-003  8.137609e-005
 1.244962e-001  1.180534e-003  8.018426e-005
 1.249521e-001  9.463722e-004  8.126837e-005
 1.254080e-001  1.096165e-003  8.023758e-005
