Entry	Mapped PubMed ID
P98182	10330177; 14519192; 16606702; 17584299; 20467438; 21988832; 8183939; 8769649
Q96GD3	11378386; 11545734; 11781575; 11959846; 12679040; 14752048; 15161980; 15563468; 15592428; 16169070; 16418168; 16676006; 16702404; 16713569; 17018294; 17332741; 17439403; 17873065; 17974977; 18172008; 18391013; 18391952; 18487508; 19266077; 19440552; 19451217; 19451218; 19462008; 19615980; 19706679; 19884659; 20098713; 20176810; 20417598; 20546612; 21289308; 22014111; 22128185; 22325351; 22325352; 22402492; 22825850; 23092970; 23287862; 23673342; 24718924; 24782567; 25114211; 25218447; 25416956; 25728608; 26910647; 33326746
P31629	18985028; 19615732; 20195357; 20711500; 20936779; 22294689; 26514267; 27003583; 30682089; 31207095; 31586043; 32680547
Q9ULX6	14743216; 17314511; 17353931; 18457437; 20195357; 20360068; 20711500; 21911577; 21911578; 22190034; 22593156; 23455922; 23752268; 24255178; 25036637; 26076356; 26496610; 32312749
Q92782	16169070; 18985028; 22939624; 33326746
O95785	17461779; 19505873; 20467437; 20562864; 20711500; 21258344; 21851590; 21900206; 23455924; 25609649; 25789554; 25814554; 26028330; 26338712; 26496610; 33326746
Q9Y2Y4	11964310; 11986317; 16189514; 16713569; 17171645; 19447967; 20147518; 21516116; 23088713; 27357154
P02788	10391242; 10411933; 10583407; 11313366; 11401442; 11467836; 11549422; 11697537; 11748357; 11756570; 11787671; 118839; 11908638; 11908641; 11911118; 11937551; 11981562; 12065686; 12097406; 12165435; 12165535; 12296849; 12438385; 12522210; 12525164; 12646274; 1270801; 12774664; 12788072; 12826902; 15221967; 15222484; 15229136; 15297857; 15364102; 15378004; 1544444; 15525592; 15543612; 15793153; 15955101; 15962837; 16152584; 16208406; 16261253; 16261256; 16432833; 16644090; 16650524; 16769765; 16787913; 16820307; 16936800; 16936805; 16954396; 17015741; 17030385; 17208010; 17211147; 17342646; 17353931; 17390038; 17461450; 17475866; 17476971; 17503830; 17515863; 17568188; 17597152; 17601350; 17703412; 17947640; 18022620; 18156281; 18285402; 1837051; 18449172; 18453607; 18484335; 1849145; 18619616; 18697201; 18785755; 18973542; 18977241; 19240970; 19258923; 19282435; 19334538; 19348738; 19382280; 19435495; 19454813; 19563039; 19651866; 19834535; 19916937; 19997820; 20136960; 20155438; 20207115; 20237496; 20238236; 20360068; 20401683; 20411301; 20452482; 20485928; 20503287; 20587610; 20594128; 20598696; 20668874; 20673868; 20711500; 20807650; 20922188; 20963400; 20972893; 21055448; 21163060; 2118650; 21400573; 21525168; 21572958; 21575138; 21935933; 21937479; 2195544; 22006997; 22011934; 22173721; 22226679; 22232695; 22261723; 22380846; 22433582; 22523385; 22553915; 22731992; 22763972; 22806010; 22810585; 23069661; 2330032; 23333090; 23386615; 23427237; 23460521; 23479198; 23602568; 23650620; 24077968; 2409350; 24217007; 24340941; 24442915; 24571258; 24831229; 24970346; 25057912; 25193851; 25236863; 25405719; 25535701; 25784250; 25914748; 25916224; 25946246; 25998152; 26279447; 26366224; 26405758; 26431065; 26445132; 26469086; 26649297; 26722419; 26874351; 26981846; 27017926; 27203426; 27234407; 27234408; 27234411; 27453322; 27497404; 27569531; 27685526; 27727130; 27902700; 27903408; 279930; 27997265; 28472424; 28485077; 28494220; 28652573; 28678770; 2900981; 29068673; 29165086; 29279524; 29453656; 29550924; 29809052; 29921139; 29989276; 30338705; 3035556; 3053705; 3080684; 3094007; 31048205; 31295370; 31396786; 3142462; 31443387; 31499027; 31582209; 31661123; 32352945; 32376620; 32586758; 32721184; 32811647; 33129446; 34353321; 3470756; 8097946; 8159701; 8464497; 8490014; 8870004; 9006323; 9054935; 9223490; 9862427
Q96RI1	10235266; 10542397; 10588945; 10777541; 11387316; 11865025; 11870371; 12004058; 12393883; 12486725; 12663868; 12761213; 12917342; 14527955; 14699511; 14988830; 14990788; 15175151; 15317749; 15342685; 15454728; 15564327; 15576845; 15590640; 15604525; 15721319; 15817812; 15896744; 16012168; 16037943; 16197915; 16251721; 16460270; 16494845; 16541101; 16751179; 16778009; 16908160; 17047076; 17054793; 17071613; 17241392; 17272748; 17333335; 17474147; 17495603; 17507182; 17519356; 17876519; 17988216; 18029909; 18436567; 18514055; 18563553; 18660489; 18676680; 18768987; 18769028; 18779653; 18927204; 18972560; 19027009; 19028791; 19059462; 19072826; 19105941; 19150878; 19170196; 19195631; 19228886; 19245866; 19328688; 19418582; 19625176; 19692168; 19910507; 19913569; 19948975; 19996107; 20026603; 20189675; 20346360; 20373033; 20399894; 20827719; 20855565; 20883210; 21134747; 21256005; 21269824; 21296199; 21323950; 21364590; 21431940; 21499302; 21596433; 21619550; 21633855; 21856289; 21862343; 21887309; 21890356; 21893226; 21988803; 22146319; 22223860; 22252013; 22265968; 22266736; 22285937; 22446874; 22474109; 22550135; 22558273; 22561792; 22609541; 22898327; 22929053; 22952826; 22969091; 23042943; 23056173; 23119029; 23251605; 23348121; 23507574; 23519696; 23530060; 23620138; 23640969; 23728580; 23767959; 23784309; 2384150; 23861371; 23916961; 24002920; 24037988; 24043304; 24169962; 24211198; 24321096; 24498169; 24531544; 25043081; 25086996; 25138215; 25198545; 25242139; 25257666; 25363753; 25400456; 25496033; 25596928; 25655198; 25675114; 26019035; 26100621; 26134028; 26241054; 26292095; 26302777; 26305715; 26416445; 26488943; 26607331; 26728993; 26899873; 27045028; 27109477; 27138288; 27251172; 27471003; 27596062; 27738335; 27758768; 27846919; 27853248; 28186695; 28201649; 28287408; 28400119; 28402278; 28485172; 28496032; 28535186; 28746779; 28762281; 28916388; 28970500; 29162643; 29204945; 29377207; 29771182; 29921626; 29929982; 29934308; 29958417; 29968724; 30013008; 30106441; 30176263; 30206765; 30354208; 30366773; 30844798; 30884797; 31062417; 31105019; 31266946; 31623375; 31779647; 31949131; 32001246; 32050066; 32299194; 32581266; 32597704; 32650752; 32678214; 32712104; 32807788; 32846898; 33029504; 33029898; 33121679; 33568795; 33686512; 33968024; 34090620; 9653119
P61371	12150931; 15161765; 16219666; 16321656; 16713999; 16873704; 17022998; 17363077; 17519333; 18081024; 18239644; 18454440; 18583962; 18593849; 19571884; 19619559; 19896915; 20306291; 20520780; 20807224; 21060249; 21739268; 21988832; 22094256; 22194342; 22303449; 22388755; 22480195; 23152444; 23348208; 23436614; 23455924; 23503646; 23572340; 24018375; 24037217; 24131831; 24578274; 24634231; 24674670; 24751901; 24845569; 25015099; 25070240; 25416956; 25524439; 25609649; 25763902; 25814554; 26077299; 26142548; 26332997; 26495868; 27052314; 27183908; 27578785; 27819291; 28000708; 28176844; 29337667; 29482621; 29606507; 30226569; 30390123; 30536204; 30674889; 30867811; 31024170; 31296310; 31484864; 31914083; 32544883; 32597291; 32771629; 32783653; 32820510; 33326746; 33864110; 33925933; 33962568; 8428636
