Sample description: Archit_2
Sample: Archit_2  c= 3.27 mg/ml  Code: Archit_2_3p27_archit
Parent(s): analysis/processed/subtracted/Archit_2_3p27_archit_0353_sub.dat
 5.890910e-001  1.135902e+003  2.668404e+001
 5.918400e-001  1.153783e+003  2.665655e+001
 5.945900e-001  1.108217e+003  2.650365e+001
 5.973400e-001  1.148353e+003  2.640989e+001
 6.000900e-001  1.118157e+003  2.637013e+001
 6.028390e-001  1.133291e+003  2.631430e+001
 6.055890e-001  1.068854e+003  2.585549e+001
 6.083390e-001  1.078612e+003  2.604606e+001
 6.110890e-001  1.070131e+003  2.601370e+001
 6.138380e-001  1.047749e+003  2.577839e+001
 6.165880e-001  1.115751e+003  2.573337e+001
 6.193380e-001  1.094839e+003  2.551399e+001
 6.220880e-001  1.080347e+003  2.562283e+001
 6.248370e-001  1.049272e+003  2.534828e+001
 6.275870e-001  1.025624e+003  2.517081e+001
 6.303370e-001  1.059551e+003  2.528261e+001
 6.330870e-001  1.018075e+003  2.473996e+001
 6.358360e-001  1.003105e+003  2.517554e+001
 6.385860e-001  9.397688e+002  2.448667e+001
 6.413360e-001  9.733914e+002  2.459226e+001
 6.440860e-001  9.690985e+002  2.446888e+001
 6.468350e-001  9.342957e+002  2.436769e+001
 6.495850e-001  1.019737e+003  2.473355e+001
 6.523350e-001  1.026946e+003  2.400742e+001
 6.550850e-001  9.919379e+002  2.423413e+001
 6.578350e-001  1.002789e+003  2.407891e+001
 6.605840e-001  9.794434e+002  2.401494e+001
 6.633340e-001  9.487422e+002  2.403015e+001
 6.660840e-001  9.633128e+002  2.381108e+001
 6.688340e-001  8.915584e+002  2.389138e+001
 6.715830e-001  9.652055e+002  2.381557e+001
 6.743330e-001  9.798416e+002  2.374338e+001
 6.770830e-001  9.399147e+002  2.373372e+001
 6.798330e-001  9.389813e+002  2.354698e+001
 6.825820e-001  9.213544e+002  2.383814e+001
 6.853320e-001  9.410630e+002  2.343817e+001
 6.880820e-001  9.099917e+002  2.351708e+001
 6.908320e-001  8.998349e+002  2.329301e+001
 6.935810e-001  8.896731e+002  2.335539e+001
 6.963310e-001  9.226336e+002  2.361832e+001
 6.990810e-001  8.424602e+002  2.316562e+001
 7.018310e-001  8.412498e+002  2.314720e+001
 7.045800e-001  9.273434e+002  2.318546e+001
 7.073300e-001  9.163584e+002  2.312240e+001
 7.100800e-001  8.945468e+002  2.299483e+001
 7.128300e-001  8.464398e+002  2.282845e+001
 7.155800e-001  8.372419e+002  2.282051e+001
 7.183290e-001  8.352847e+002  2.267466e+001
 7.210790e-001  8.286306e+002  2.290601e+001
 7.238290e-001  8.789587e+002  2.262487e+001
 7.265790e-001  8.429795e+002  2.253030e+001
 7.293280e-001  8.281630e+002  2.274818e+001
 7.320780e-001  8.207976e+002  2.245961e+001
 7.348280e-001  8.210098e+002  2.230563e+001
 7.375780e-001  8.203199e+002  2.245063e+001
 7.403270e-001  8.123709e+002  2.220213e+001
 7.430770e-001  8.169349e+002  2.238730e+001
 7.458270e-001  7.776783e+002  2.204177e+001
 7.485770e-001  8.103248e+002  2.213672e+001
 7.513260e-001  8.159581e+002  2.205427e+001
 7.540760e-001  8.035581e+002  2.203057e+001
 7.568260e-001  7.715593e+002  2.197168e+001
 7.595760e-001  7.738309e+002  2.179301e+001
 7.623250e-001  7.924835e+002  2.198970e+001
