energies,CoA_conc,valency,system,unbound,bound1AD,bound2_sameAD,bound2_sameAb,bound2_diffAb,other,rep,AM_int,AN_int,BM_int,BN_int
AM-110_AN-110_BM-1_BN-160,1000,Nb,doubleTAD_doubleCoA,0.9760392156862744,0.019679738562091504,0.0042810457516339875,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-160.0
AM-110_AN-110_BM-1_BN-160,2000,Nb,doubleTAD_doubleCoA,0.9806045751633986,0.016045751633986926,0.00334640522875817,0.0,3.2679738562091506e-06,0.0,2.0,-110.0,-110.0,-1.0,-160.0
AM-110_AN-110_BM-1_BN-210,20,Nb,doubleTAD_doubleCoA,0.8359477124183007,0.12712418300653594,0.036601307189542485,0.0,0.000326797385620915,0.0,2.0,-110.0,-110.0,-1.0,-210.0
AM-110_AN-110_BM-1_BN-210,160,Nb,doubleTAD_doubleCoA,0.8701388888888889,0.10118464052287583,0.028676470588235293,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-210.0
AM-110_AN-110_BM-1_BN-210,500,Nb,doubleTAD_doubleCoA,0.9065098039215687,0.07406535947712418,0.01942483660130719,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-210.0
AM-110_AN-110_BM-1_BN-210,1000,Nb,doubleTAD_doubleCoA,0.9369215686274509,0.04948366013071895,0.013588235294117646,0.0,6.535947712418301e-06,0.0,2.0,-110.0,-110.0,-1.0,-210.0
AM-110_AN-110_BM-1_BN-210,2000,Nb,doubleTAD_doubleCoA,0.9610196078431373,0.030725490196078436,0.008251633986928105,0.0,3.2679738562091506e-06,0.0,2.0,-110.0,-110.0,-1.0,-210.0
AM-110_AN-160_BM-110_BN-1,20,Nb,doubleTAD_doubleCoA,0.9683006535947714,0.02581699346405229,0.005555555555555556,0.0,0.000326797385620915,0.0,2.0,-110.0,-160.0,-110.0,-1.0
AM-110_AN-160_BM-110_BN-1,160,Nb,doubleTAD_doubleCoA,0.9709150326797386,0.024183006535947713,0.004901960784313725,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-1.0
AM-110_AN-160_BM-110_BN-1,500,Nb,doubleTAD_doubleCoA,0.9741830065359478,0.02054901960784314,0.005267973856209151,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-1.0
AM-110_AN-160_BM-110_BN-1,1000,Nb,doubleTAD_doubleCoA,0.9767058823529412,0.019104575163398693,0.004189542483660131,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-1.0
AM-110_AN-160_BM-110_BN-1,2000,Nb,doubleTAD_doubleCoA,0.9799019607843137,0.016526143790849674,0.0035718954248366015,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-1.0
AM-110_AN-160_BM-110_BN-110,20,Nb,doubleTAD_doubleCoA,0.9614379084967322,0.031699346405228764,0.0068627450980392165,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-110.0
AM-110_AN-160_BM-110_BN-110,160,Nb,doubleTAD_doubleCoA,0.9671160130718954,0.025980392156862746,0.006862745098039215,0.0,4.0849673202614376e-05,0.0,2.0,-110.0,-160.0,-110.0,-110.0
AM-110_AN-160_BM-110_BN-110,500,Nb,doubleTAD_doubleCoA,0.9709411764705881,0.02322875816993464,0.005830065359477125,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-110.0
AM-110_AN-160_BM-110_BN-110,1000,Nb,doubleTAD_doubleCoA,0.974581699346405,0.0206797385620915,0.0047385620915032685,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-110.0
AM-110_AN-160_BM-110_BN-110,2000,Nb,doubleTAD_doubleCoA,0.9781601307189542,0.017888888888888888,0.0039379084967320266,0.0,1.3071895424836602e-05,0.0,2.0,-110.0,-160.0,-110.0,-110.0
AM-110_AN-160_BM-110_BN-160,20,Nb,doubleTAD_doubleCoA,0.9500000000000001,0.04084967320261438,0.009150326797385621,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-160.0
AM-110_AN-160_BM-110_BN-160,160,Nb,doubleTAD_doubleCoA,0.9488562091503269,0.04048202614379085,0.010580065359477123,0.0,8.169934640522875e-05,0.0,2.0,-110.0,-160.0,-110.0,-160.0
AM-110_AN-160_BM-110_BN-160,500,Nb,doubleTAD_doubleCoA,0.9556078431372551,0.035803921568627446,0.008562091503267975,0.0,2.6143790849673204e-05,0.0,2.0,-110.0,-160.0,-110.0,-160.0
AM-110_AN-160_BM-110_BN-160,1000,Nb,doubleTAD_doubleCoA,0.9635359477124181,0.02943137254901961,0.007013071895424837,0.0,1.9607843137254903e-05,0.0,2.0,-110.0,-160.0,-110.0,-160.0
AM-110_AN-160_BM-110_BN-160,2000,Nb,doubleTAD_doubleCoA,0.9728464052287582,0.021918300653594774,0.005222222222222223,0.0,1.3071895424836602e-05,0.0,2.0,-110.0,-160.0,-110.0,-160.0
AM-110_AN-160_BM-110_BN-210,20,Nb,doubleTAD_doubleCoA,0.8026143790849672,0.15522875816993467,0.04183006535947712,0.0,0.000326797385620915,0.0,2.0,-110.0,-160.0,-110.0,-210.0
AM-110_AN-160_BM-110_BN-210,160,Nb,doubleTAD_doubleCoA,0.8546160130718953,0.11372549019607843,0.03145424836601307,0.0,0.0002042483660130719,0.0,2.0,-110.0,-160.0,-110.0,-210.0
