Q04432	copy_number:3.58E+02
Q05676	copy_number:3.58E+02
P39518	copy_number:3.58E+02
P38753	copy_number:3.58E+02
Q3E7A7	copy_number:3.58E+02
Q02629	copy_number:3.58E+02
P22354	copy_number:3.58E+02
Q12155	copy_number:3.58E+02
Q06410	copy_number:3.58E+02
Q04659	copy_number:3.58E+02
Q04305	copy_number:3.58E+02
Q04437	copy_number:3.58E+02
Q12043	copy_number:3.58E+02
P48415	copy_number:3.58E+02
Q02884	copy_number:3.58E+02
Q06608	copy_number:3.58E+02
P07806	copy_number:3.58E+02
Q03782	copy_number:3.61E+02
P38213	copy_number:3.77E+02
Q12157	copy_number:3.77E+02
Q07533	copy_number:3.77E+02
Q12018	copy_number:3.77E+02
P53688	copy_number:3.77E+02
Q03944	copy_number:3.77E+02
Q04431	copy_number:3.77E+02
P33332	copy_number:3.77E+02
P40030	copy_number:3.77E+02
P53083	copy_number:3.77E+02
P53294	copy_number:3.77E+02
P38757	copy_number:3.77E+02
Q08003	copy_number:3.77E+02
P48743	copy_number:3.77E+02
Q06148	copy_number:3.77E+02
Q03722	copy_number:3.77E+02
P15801	copy_number:3.77E+02
Q02724	copy_number:3.77E+02
Q12221	copy_number:3.77E+02
P02994	copy_number:3.77E+02
Q08580	copy_number:3.82E+02
Q02805	copy_number:3.86E+02
P31111	copy_number:3.91E+02
P38177	copy_number:3.96E+02
P38335	copy_number:3.96E+02
P25357	copy_number:3.96E+02
P39109	copy_number:3.96E+02
Q04412	copy_number:3.96E+02
P53157	copy_number:3.96E+02
P53094	copy_number:3.96E+02
P40467	copy_number:3.96E+02
P38928	copy_number:3.96E+02
P47030	copy_number:3.96E+02
P29703	copy_number:3.96E+02
P43634	copy_number:3.96E+02
Q06321	copy_number:3.96E+02
P22214	copy_number:3.96E+02
Q04748	copy_number:3.96E+02
Q99278	copy_number:3.96E+02
P32874	copy_number:3.96E+02
P53964	copy_number:3.96E+02
Q3E7A8	copy_number:3.96E+02
P21965	copy_number:3.96E+02
P39083	copy_number:3.96E+02
Q12486	copy_number:3.96E+02
Q08702	copy_number:3.96E+02
Q02783	copy_number:3.96E+02
Q12194	copy_number:3.96E+02
Q08919	copy_number:3.96E+02
Q08966	copy_number:3.96E+02
P40992	copy_number:3.98E+02
