# Sample description: red1
# Sample: red1  c= 6.0000 mg/ml  Code: red1_6_komal_buffer
# Parent(s): analysis/processed/averaged/red1_6_komal_buffer_0100_sample.dat analysis/processed/averaged/red1_6_komal_buffer_0100_buffer.dat
  6.500259e-01   1.162770e+04   1.526759e+02
  6.528398e-01   1.163480e+04   1.543241e+02
  6.556536e-01   1.125831e+04   1.524216e+02
  6.584665e-01   1.154392e+04   1.530542e+02
  6.612803e-01   1.122758e+04   1.516392e+02
  6.640942e-01   1.095204e+04   1.500521e+02
  6.669081e-01   1.127200e+04   1.520834e+02
  6.697209e-01   1.141879e+04   1.508722e+02
  6.725348e-01   1.103956e+04   1.507170e+02
  6.753486e-01   1.124426e+04   1.498713e+02
  6.781615e-01   1.107355e+04   1.492080e+02
  6.809753e-01   1.061364e+04   1.496789e+02
  6.837892e-01   1.078104e+04   1.476963e+02
  6.866020e-01   1.056125e+04   1.484924e+02
  6.894159e-01   1.090613e+04   1.488868e+02
  6.922298e-01   1.059659e+04   1.476661e+02
  6.950436e-01   1.050485e+04   1.469680e+02
  6.978565e-01   1.051886e+04   1.460399e+02
  7.006703e-01   1.057558e+04   1.475582e+02
  7.034842e-01   1.050653e+04   1.466190e+02
  7.062970e-01   1.030299e+04   1.459660e+02
  7.091109e-01   1.029835e+04   1.457517e+02
  7.119248e-01   1.013323e+04   1.434331e+02
  7.147386e-01   1.029617e+04   1.464792e+02
  7.175515e-01   1.025165e+04   1.450971e+02
  7.203653e-01   1.027937e+04   1.449866e+02
  7.231792e-01   1.000107e+04   1.446375e+02
  7.259920e-01   9.930950e+03   1.427353e+02
  7.288059e-01   9.980230e+03   1.437858e+02
  7.316198e-01   9.889850e+03   1.429824e+02
  7.344326e-01   9.769380e+03   1.423420e+02
  7.372465e-01   9.755940e+03   1.427991e+02
  7.400603e-01   9.672200e+03   1.423499e+02
  7.428742e-01   9.962980e+03   1.420624e+02
  7.456870e-01   9.535360e+03   1.413920e+02
  7.485009e-01   9.424840e+03   1.403026e+02
  7.513148e-01   9.666650e+03   1.408260e+02
  7.541276e-01   9.546260e+03   1.398382e+02
  7.569415e-01   9.286820e+03   1.390275e+02
  7.597553e-01   9.513410e+03   1.396275e+02
  7.625682e-01   9.067230e+03   1.388071e+02
