Proteome Id	Organism	Organism Id	Protein count	Taxonomic lineage
UP000009269	Citrus psorosis virus (isolate Spain/P-121) (CPsV) (Citrus ringspot virus)	652963	4	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Milneviricetes, Serpentovirales, Aspiviridae, Ophiovirus, Ophiovirus citri
UP000009401	Halorubrum pleomorphic virus 1 (HRPV-1)	634168	9	Viruses, Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Alphapleolipovirus, Alphapleolipovirus HRPV1
UP000010081	Enterobacteria phage M (Escherichia levivirus M)	1235640	4	Viruses, Riboviria, Orthornavirae, Lenarviricota, Leviviricetes, Norzivirales, Fiersviridae, Empivirus, Empivirus allolyticum
UP000011243	Atlantic salmon paramyxovirus (isolate -/Norway/Yrkje371/1995) (ASPV)	1283346	9	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Orthoparamyxovirinae, Aquaparamyxovirus, Aquaparamyxovirus salmonis, Salmon aquaparamyxovirus
UP000011244	Fer-de-Lance paramyxovirus (strain ATCC VR-895) (FLDV) (Fer-de-Lance virus)	1283347	8	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Orthoparamyxovirinae, Ferlavirus, Ferlavirus reptilis
UP000011260	Rhizosolenia setigera RNA virus 01 (isolate RsRNAV06) (RsetRNAV01) (Rhizosolenia setigera RNA virus)	1289384	2	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Marnaviridae, Bacillarnavirus, Rhizosolenia setigera RNA virus 01
UP000011261	Aurantiochytrium single-stranded RNA virus 01 (isolate -/Japan/AuRNAV01/2000) (AuRNAV01) (Schizochytrium single-stranded RNA virus)	1289385	1	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Marnaviridae, Labyrnavirus, Aurantiochytrium single-stranded RNA virus 01
UP000011262	Potato virus T (isolate Chenopodium amaranticolor/Peru/-/1992) (PVT)	1289386	3	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Tymovirales, Betaflexiviridae, Trivirinae, Tepovirus, Potato virus T
UP000011263	Heterocapsa circularisquama RNA virus 01 (strain 34) (HcRNAV01)	1289474	2	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Sobelivirales, Alvernaviridae, Dinornavirus, Heterocapsa circularisquama RNA virus 01
UP000011265	Tobacco vein clearing virus (isolate Nicotiana edwardsonii/United States/Lockhart/2000) (TVCV)	1289468	4	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Caulimoviridae, Solendovirus, Solendovirus venanicotianae, Tobacco vein clearing virus
UP000011266	Providence virus (isolate Helicoverpa zea/United States/vFLM1/-) (PRVFL)	1289469	4	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Tolucaviricetes, Tolivirales, Carmotetraviridae, Alphacarmotetravirus, Providence virus
UP000011272	Trichomonas vaginalis virus 1 (TVV1)	674953	2	Viruses, Riboviria, Orthornavirae, Duplornaviricota, Chrymotiviricetes, Ghabrivirales, Totiviridae, Trichomonasvirus
UP000011276	Rosellinia necatrix megabirnavirus 1 (isolate -/Japan/W779/2001) (RnMBV1)	658904	4	Viruses, Riboviria, Orthornavirae, Duplornaviricota, Chrymotiviricetes, Ghabrivirales, Megabirnaviridae, Megabirnavirus, Rosellinia necatrix megabirnavirus 1
UP000011786	Thrush coronavirus HKU12 (isolate Grey-backed thrush/Hong Kong/HKU12-600/2007) (ThCoV-HKU12) (Thrush coronavirus HKU12-600)	572290	9	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Deltacoronavirus, Buldecovirus, unclassified Buldecovirus
UP000012169	Pseudomonas phage Phi-S1	1204538	47	Viruses, Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographiviridae, Studiervirinae, Pifdecavirus, Pifdecavirus PhiS1
UP000019156	Citrobacter phage CR44b	1455075	57	Viruses, Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographiviridae, Studiervirinae, Kayfunavirus, Kayfunavirus CR44b
UP000019157	Citrobacter phage CR8	1455076	57	Viruses, Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographiviridae, Studiervirinae, Caroctavirus, Caroctavirus CR8
UP000019163	Cronobacter phage Dev2	1410331	45	Viruses, Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographiviridae, Studiervirinae, Kayfunavirus, Kayfunavirus Dev2
UP000026987	Escherichia phage PE3-1	1498170	48	Viruses, Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographiviridae, Studiervirinae, Kayfunavirus, Kayfunavirus PE31
UP000029741	Alphamesonivirus 1 (isolate Aedes harrisoni/Cote d'Ivoire/C79/2004) (CAVV) (Cavally virus (isolate C79))	1552985	7	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Mesnidovirineae, Mesoniviridae, Hexponivirinae, Alphamesonivirus, Namcalivirus, Alphamesonivirus 1
UP000029752	Cadicivirus A (isolate Dog/Hong Kong/209/2008) (CaPdV-1) (Canine picodicistrovirus (isolate 209))	1554482	2	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Kodimesavirinae, Dicipivirus, Cadicivirus A
UP000029758	Furcraea necrotic streak virus (isolate/Colombia/Furcraea/Cauca/2004) (FNSV)	1554495	5	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Tolucaviricetes, Tolivirales, Tombusviridae, Procedovirinae, Macanavirus, Macanavirus furcraeae, Furcraea necrotic streak virus
UP000029759	Maize necrotic streak virus (MNeSV)	137556	5	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Tolucaviricetes, Tolivirales, Tombusviridae, Procedovirinae, Zeavirus, Zeavirus zeae
UP000029762	Infectious hypodermal and hematopoietic necrosis virus (IHHNV) (Decapod penstyldensovirus 1)	1513224	3	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Densovirinae, Penstyldensovirus
UP000029763	Galliform aveparvovirus 1 (isolate Chicken/Hungary/ABU-P1/-/-) (ChPV)	717641	4	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Aveparvovirus, Aveparvovirus galliform1
UP000029764	Eidolon helvum parvovirus 1 (isolate Bat/Ghana/-/2009) (Eh-BtPV-1)	1560037	4	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Tetraparvovirus, Tetraparvovirus chiropteran1
UP000029765	Nyamanini virus (isolate Tick/Thailand/39/1968) (NYMV)	1557032	6	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Nyamiviridae, Nyavirus, Nyavirus nyamaniniense
UP000029766	Galinsoga mosaic virus (GaMV)	60714	5	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Tolucaviricetes, Tolivirales, Tombusviridae, Procedovirinae, Gallantivirus, Gallantivirus galinsogae
UP000029767	Perch rhabdovirus (isolate Perch/France/PRV/1981) (PRV)	1559359	5	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Perhabdovirus, Perhabdovirus perca
UP000029769	Spring viraemia of carp virus (strain ATCC VR-1390) (SVCV)	1559360	5	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Sprivivirus, Spring viremia of carp virus
UP000029773	Beet curly top Iran virus (isolate Sugar beet/Iran/Kerman/-) (BCTIV)	1559363	5	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Becurtovirus, Beet curly top Iran virus
UP000029774	Eragrostis curvula streak virus (isolate Eragrostis curvula/South Africa/g382/2008) (ECSV)	1559364	3	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Eragrovirus, Eragrostis curvula streak virus
UP000029775	Turnip curly top virus (isolate Turnip/South Africa/B11/2006) (TCTV)	1559365	6	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Turncurtovirus, Turnip curly top virus
UP000029776	Lloviu cuevavirus (isolate Bat/Spain/Asturias-Bat86/2003) (LLOV)	1559366	9	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Filoviridae, Cuevavirus, Cuevavirus lloviuense
UP000029782	Southern tomato virus (STV)	591166	2	Viruses, Riboviria, Orthornavirae, Pisuviricota, Duplopiviricetes, Durnavirales, Amalgaviridae, Amalgavirus, Amalgavirus lycopersici
UP000029941	Quaranfil virus (isolate QrfV/Tick/Afghanistan/EG_T_377/1968) (QRFV)	1559362	6	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Insthoviricetes, Articulavirales, Orthomyxoviridae, Quaranjavirus, Quaranjavirus quaranfilense
UP000033026	Citrobacter phage phiCFP-1	1610508	43	Viruses, Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographiviridae, Studiervirinae, Teetrevirus, Teetrevirus CFP1
UP000052082	Francolinus leucoscepus papillomavirus 1	485362	8	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Zurhausenvirales, Papillomaviridae, Firstpapillomavirinae, Dyoepsilonpapillomavirus, Dyoepsilonpapillomavirus 1
UP000052104	Rose yellow vein virus	1213588	8	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Caulimoviridae, Rosadnavirus, Rosadnavirus venarosae
UP000052105	Chaetoceros protobacilladnavirus 2 (Chaetoceros sp. DNA virus 7)	3052702	3	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Baphyvirales, Bacilladnaviridae, Protobacilladnavirus
UP000052110	Cutthroat trout virus	1016879	3	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Hepelivirales, Hepeviridae, Parahepevirinae, Piscihepevirus, Piscihepevirus heenan
UP000095860	Gallid alphaherpesvirus 3	35250	109	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Alphaherpesvirinae, Mardivirus, Mardivirus gallidalpha3
UP000096080	Fathead minnow nidovirus	889873	5	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Tornidovirineae, Tobaniviridae, Piscanivirinae, Bafinivirus, Pimfabavirus, Fathead minnow nidovirus 1
UP000096471	Dragonfly associated cyclovirus 5	1234883	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus libelula
UP000096922	Colocasia bobone disease-associated virus	1775456	6	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Betarhabdovirinae, Cytorhabdovirus, Cytorhabdovirus colocasiae
UP000097131	Raven circovirus	345250	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Circovirus, Circovirus raven
UP000097509	Circovirus-like genome DCCV-2	1788442	3	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae
UP000097580	Hybrid snakehead virus	1316453	5	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Siniperhavirus, Siniperhavirus chuatsi, Siniperca chuatsi rhabdovirus
UP000097718	Pygoscelis adeliae papillomavirus 1	1480065	7	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Zurhausenvirales, Papillomaviridae, Firstpapillomavirinae, Treisepsilonpapillomavirus, Treisepsilonpapillomavirus 1
UP000097722	Avon-Heathcote Estuary associated circular virus 5	1618256	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae
UP000097858	Dolphin rhabdovirus	1511639	5	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Cetarhavirus, Cetarhavirus laganorhynchus
UP000097892	Saimiriine betaherpesvirus 4	1535247	140	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Betaherpesvirinae, Cytomegalovirus, Cytomegalovirus saimiriinebeta4
UP000098165	Uriurana virus	1055750	4	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Phenuiviridae, Phlebovirus, Phlebovirus uriuranaense
UP000098205	Pigeon adenovirus 1	764030	37	Viruses, Varidnaviria, Bamfordvirae, Preplasmiviricota, Tectiliviricetes, Rowavirales, Adenoviridae, Aviadenovirus, Pigeon aviadenovirus A
UP000098246	Feline herpesvirus 1 (FeHV-1) (Feline viral rhinotracheitis virus)	10334	73	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Alphaherpesvirinae, Varicellovirus, Varicellovirus felidalpha1
UP000098369	Kolente virus	1428456	5	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Ledantevirus, Ledantevirus kolente
UP000099166	Riverside virus 1	1803263	5	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Ohlsrhavirus, Ohlsrhavirus riverside
UP000099188	Panine betaherpesvirus 2 (Chimpanzee cytomegalovirus)	188763	169	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Betaherpesvirinae, Cytomegalovirus, Cytomegalovirus paninebeta2
UP000099228	Rukutama virus	1531287	4	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Phenuiviridae, Uukuvirus, Uukuvirus rukutamaense
UP000099533	Changuinola virus	40052	10	Viruses, Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, Reovirales, Sedoreoviridae, Orbivirus
UP000099588	Cyclovirus NGchicken15/NGA/2009	942037	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus adie, Chicken associated cyclovirus 1
UP000099649	Murid herpesvirus 4 (MuHV-4) (Murine gammaherpesvirus 68)	33708	73	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Gammaherpesvirinae, Rhadinovirus, Rhadinovirus muridgamma4
UP000099870	Moussa virus	698672	5	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Mousrhavirus, Mousrhavirus moussa
UP000100338	Duck hepatitis B virus	12639	3	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Blubervirales, Hepadnaviridae, Avihepadnavirus
UP000100497	Brown greater galago prosimian foamy virus	2170139	4	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Spumaretrovirinae, Prosimiispumavirus
UP000100660	Faeces associated gemycircularvirus 10	1391025	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Genomoviridae, Gemygorvirus, Gemygorvirus stara1, Starling associated gemygorvirus 1
UP000101020	Scophthalmus maximus rhabdovirus	936149	7	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Scophrhavirus, Scophrhavirus maximus
UP000101476	Muscovy duck circovirus	257468	4	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Circovirus, Circovirus duck, Duck circovirus
UP000101661	Koongol virus	35314	3	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Peribunyaviridae, Orthobunyavirus, Orthobunyavirus koongoli
UP000101850	Avon-Heathcote Estuary associated circular virus 7	1618258	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae
UP000102041	Caviid betaherpesvirus 2	33706	100	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Betaherpesvirinae, Quwivirus, Quwivirus caviidbeta2
UP000102185	Spodoptera frugiperda rhabdovirus	1481139	6	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Betapaprhavirus, Betapaprhavirus frugiperda
UP000102219	Anguilla anguilla circovirus	1420600	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Circovirus, unclassified Circovirus
UP000102399	Equine adenovirus B serotype 2 (EAdV-2) (Equine adenovirus 2)	67603	34	Viruses, Varidnaviria, Bamfordvirae, Preplasmiviricota, Tectiliviricetes, Rowavirales, Adenoviridae, Mastadenovirus, Equine mastadenovirus B
UP000102920	Asterias forbesi associated circular virus	1676988	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Circovirus, unclassified Circovirus
UP000103080	Wallal virus	40061	10	Viruses, Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, Reovirales, Sedoreoviridae, Orbivirus
UP000103274	Kemerovo virus	40064	10	Viruses, Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, Reovirales, Sedoreoviridae, Orbivirus, Great Island virus
UP000103398	Bat faeces associated cyclovirus 4	2050587	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus sismis
UP000104368	Faeces associated gemycircularvirus 12	1391027	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Genomoviridae, Gemytondvirus, Gemytondvirus ostri1, Ostrich associated gemytondvirus 1
UP000104459	Jamestown Canyon virus	35511	4	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Peribunyaviridae, Orthobunyavirus, Orthobunyavirus jamestownense
UP000104680	Drosophila busckii rhabdovirus	1802935	6	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, unclassified Rhabdoviridae
UP000105166	Shayang Spider Virus 1	1608068	3	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Nairoviridae, Shaspivirus, Shaspivirus aranei
UP000105477	Circoviridae 6 LDMD-2013	1379710	3	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples
UP000105586	Fowl aviadenovirus 2	172859	37	Viruses, Varidnaviria, Bamfordvirae, Preplasmiviricota, Tectiliviricetes, Rowavirales, Adenoviridae, Aviadenovirus, Fowl aviadenovirus D
UP000105606	Mossman virus	241630	8	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Orthoparamyxovirinae, Narmovirus, Narmovirus mossmanense
UP000105631	Canary polyomavirus	881945	5	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Gammapolyomavirus, Gammapolyomavirus secanaria
UP000105727	European catfish circovirus	1959744	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Circovirus, Circovirus catfish
UP000105857	Lukuni virus	1678227	3	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Peribunyaviridae, Orthobunyavirus, Orthobunyavirus horizonteense
UP000105858	Porcine stool-associated circular virus 5	1475063	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae
UP000105986	Zahedan rhabdovirus	1620507	5	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Zarhavirus, Zarhavirus zahedan
UP000106032	Cyclovirus TN25	742924	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus bashri, Human associated cyclovirus 4
UP000106231	Circovirus-like genome DCCV-8	1788448	4	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae
UP000106311	Simian hemorrhagic fever virus (SHFV)	38143	13	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Arnidovirineae, Arteriviridae, Simarterivirinae, Deltaarterivirus, Hedartevirus, Deltaarterivirus hemfev
UP000106396	Avon-Heathcote Estuary associated circular virus 19	1618242	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae
UP000106424	Citrus endogenous pararetrovirus	1435008	2	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, unclassified Retroviridae
UP000106432	Torque teno sus virus 1a	687386	2	Viruses, Anelloviridae, Iotatorquevirus, Iotatorquevirus suida1a
UP000106577	Avon-Heathcote Estuary associated circular virus 27	1618251	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae
UP000106725	Barbel circovirus	759938	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Circovirus, Circovirus barbel
UP000106941	Po-Circo-like virus 41	1105385	3	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae
UP000107012	Mink circovirus	1475143	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Circovirus, Circovirus mink
UP000107193	Human stool-associated circular virus NG13	743300	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Circovirus, Circovirus eniyan
UP000107383	Goose adenovirus 4	1193422	34	Viruses, Varidnaviria, Bamfordvirae, Preplasmiviricota, Tectiliviricetes, Rowavirales, Adenoviridae, Aviadenovirus, Goose aviadenovirus A
UP000107417	Circovirus-like genome DHCV-6	1788455	3	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae
UP000107449	Pararge aegeria rhabdovirus	1802938	6	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Alphapaprhavirus, Alphapaprhavirus pararge
UP000107696	Circoviridae 5 LDMD-2013	1379709	3	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples, Circoviridae LDMD-2013a
UP000107872	Pteropus associated gemycircularvirus 8	1985402	3	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Genomoviridae, Gemycircularvirus, Gemycircularvirus ptero8
UP000108423	Cyclovirus NG12	742922	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus mmadu, Human associated cyclovirus 6
UP000108467	Circoviridae 1 LDMD-2013	1379692	4	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples
UP000108481	Bat mastadenovirus WIV13	1788435	27	Viruses, Varidnaviria, Bamfordvirae, Preplasmiviricota, Tectiliviricetes, Rowavirales, Adenoviridae, Mastadenovirus, Bat mastadenovirus E
UP000108794	Bat associated cyclovirus 3	2050586	2	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus kiroptero
UP000108883	Pacific flying fox faeces associated gemycircularvirus-11	1795990	3	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, unclassified Cyclovirus
UP000109070	Oyo virus	1027632	3	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Peribunyaviridae, Orthobunyavirus, Orthobunyavirus oyoense
UP000109192	human adenovirus 52	332179	36	Viruses, Varidnaviria, Bamfordvirae, Preplasmiviricota, Tectiliviricetes, Rowavirales, Adenoviridae, Mastadenovirus, Human mastadenovirus G
UP000109362	Sanxia Water Strider Virus 1	1608060	3	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Nairoviridae, Striwavirus, Striwavirus sanxiaense
UP000109557	Farmington virus	1027468	5	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, unclassified Rhabdoviridae
UP000109622	Drosophila obscura sigmavirus 10A	666962	6	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Sigmavirus, Sigmavirus obscura, Drosophila obscura sigmavirus
UP000109731	Bovine herpesvirus 4 (BoHV-4) (Movar virus)	10385	78	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Gammaherpesvirinae, Rhadinovirus, Rhadinovirus bovinegamma4
UP000109780	Spider monkey simian foamy virus	2170200	5	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Spumaretrovirinae, Simiispumavirus
UP000109876	Bovine polyomavirus 2	1578134	6	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, unclassified Polyomaviridae
UP000110027	Bluegill hepatitis B virus	2169918	6	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Blubervirales, Hepadnaviridae, Metahepadnavirus
UP000110521	Turkey adenovirus 1	878329	37	Viruses, Varidnaviria, Bamfordvirae, Preplasmiviricota, Tectiliviricetes, Rowavirales, Adenoviridae, Aviadenovirus, Turkey aviadenovirus B
