P77510	copy_number:12.50006444
P23847	copy_number:2.883631231
P0ABT2	copy_number:4339.19298
P0AEG4	copy_number:630.2231711
P0A6M2	copy_number:81.00027515
P0AEG6	copy_number:157.5097308
P36655	copy_number:2.635411515
P0AA86	copy_number:22.99611528
P77202	copy_number:20.32061554
P00926	copy_number:23.97712145
P46068	copy_number:1.018176706
P0A6M4	copy_number:14.05011928
P77304	copy_number:2.484144868
P36837	copy_number:44.07204367
P32695	copy_number:53.2493041
P33371	copy_number:30.7274398
P06968	copy_number:245.2979454
P45568	copy_number:57.65494308
P77488	copy_number:73.85833332
P06846	copy_number:10.29464081
P0ADB7	copy_number:166.2976667
P23827	copy_number:1447.370402
P0A955	copy_number:2051.344736
P0ADF6	copy_number:5.698189149
P31545	copy_number:3.039962516
P0AB24	copy_number:203.641609
P75901	copy_number:2.013016468
P0A6N4	copy_number:1770.700006
P0AEH5	copy_number:50.90259981
P0ABU5	copy_number:648.0156762
P27303	copy_number:139.4094536
P0C960	copy_number:3.233183866
P25736	copy_number:0.336051601
P0A6P7	copy_number:138.8862763
P0ABU2	copy_number:389.1791065
P0A6P9	copy_number:5501.875605
P15047	copy_number:4.148390759
P0ADI4	copy_number:1.577980099
P10378	copy_number:4.538638665
P11454	copy_number:3.705912313
P37690	copy_number:28.99311098
P0AEJ4	copy_number:7.17026753
P0A9B6	copy_number:67.3566651
P30845	copy_number:8.815137141
P06616	copy_number:27.57483926
P39176	copy_number:9.90819076
P0ACC3	copy_number:31.96365517
P38134	copy_number:26.67689009
P0AEJ6	copy_number:8.816231171
P19636	copy_number:4.282206724
P76541	copy_number:13.86266775
P0ABF4	copy_number:50.20258154
P0ACZ4	copy_number:31.09952662
P0ABU7	copy_number:8.871316773
P0ABV2	copy_number:0
P0ACL2	copy_number:74.9397832
P0AA78	copy_number:11.5001155
P0A6Q3	copy_number:1468.74645
P0A953	copy_number:3832.902807
P0AAI9	copy_number:1558.992965
P0AAI5	copy_number:1087.754162
P0AEK2	copy_number:1913.017939
P0A6R0	copy_number:344.8845924
P0AEK4	copy_number:2116.545036
P0ACU5	copy_number:107.1868957
P0A6Q6	copy_number:1409.734636
P21151	copy_number:19.06841897
P21177	copy_number:24.19009276
P69451	copy_number:39.20922695
Q47146	copy_number:4.606478819
P76503	copy_number:16.7110974
P77399	copy_number:7.644527185
P10384	copy_number:48.46508705
P0A8V6	copy_number:179.2393504
P0AB71	copy_number:3038.539314
P0A991	copy_number:260.1198651
P0A993	copy_number:1042.485323
P32055	copy_number:67.03965221
P13024	copy_number:220.6527684
P07658	copy_number:61.20754911
P24183	copy_number:144.854608
P0AAJ3	copy_number:192.6115862
