P07001	copy_number:1.67E+02
P45391	copy_number:4.53E+02
P13024	copy_number:2.50E+02
P13009	copy_number:1.24E+02
P33635	copy_number:3.33E+02
P24176	copy_number:2.84E+02
P31142	copy_number:4.14E+02
P17112	copy_number:2.12E+02
P60752	copy_number:2.06E+02
Q93K97	copy_number:4.14E+02
P11458	copy_number:5.71E+02
P08331	copy_number:1.95E+02
P37620	copy_number:5.04E+02
Q46828	copy_number:7.63E+02
P13000	copy_number:6.64E+02
P26615	copy_number:2.60E+02
P33644	copy_number:3.82E+02
P02917	copy_number:4.14E+02
P33918	copy_number:5.71E+02
P25888	copy_number:1.86E+02
P19934	copy_number:4.14E+02
P77338	copy_number:1.39E+02
P13685	copy_number:1.92E+02
P28225	copy_number:3.15E+02
P09997	copy_number:3.82E+02
P40718	copy_number:1.04E+03
P27828	copy_number:2.98E+02
P23830	copy_number:1.76E+02
P08188	copy_number:4.14E+02
P03812	copy_number:3.56E+02
P52647	copy_number:1.19E+02
P37667	copy_number:4.53E+02
Q46918	copy_number:3.82E+02
P00482	copy_number:1.44E+02
P18401	copy_number:3.56E+02
P32052	copy_number:7.63E+02
P03841	copy_number:4.53E+02
P62623	copy_number:3.15E+02
P46889	copy_number:1.64E+02
P27190	copy_number:7.69E+01
P37026	copy_number:1.04E+03
P11666	copy_number:3.39E+02
P39164	copy_number:1.04E+03
P46130	copy_number:3.39E+02
P30860	copy_number:3.15E+02
P37188	copy_number:7.04E+02
P76576	copy_number:4.05E+02
P33921	copy_number:1.68E+03
P31221	copy_number:1.68E+03
P37687	copy_number:7.63E+02
P12281	copy_number:2.78E+02
P76506	copy_number:4.05E+02
P25894	copy_number:3.68E+02
P00893	copy_number:1.86E+02
P03843	copy_number:7.63E+02
P25663	copy_number:1.04E+03
P45571	copy_number:6.13E+02
P77552	copy_number:2.78E+02
P52635	copy_number:1.04E+03
P30137	copy_number:4.05E+02
P76494	copy_number:5.18E+02
P39099	copy_number:2.20E+02
P24201	copy_number:5.18E+02
P20083	copy_number:1.06E+02
P46132	copy_number:7.63E+02
P76034	copy_number:2.12E+02
P39315	copy_number:2.36E+02
P09323	copy_number:2.78E+02
P37163	copy_number:6.10E+04
P07011	copy_number:2.12E+02
P31465	copy_number:5.18E+02
P39321	copy_number:1.04E+02
P05194	copy_number:2.78E+02
P77225	copy_number:5.46E+02
P32691	copy_number:1.04E+03
P37902	copy_number:2.95E+02
P09371	copy_number:2.95E+02
P77484	copy_number:3.15E+02
P23486	copy_number:2.78E+02
P39290	copy_number:3.15E+02
P76008	copy_number:2.95E+02
P32165	copy_number:7.63E+02
P19677	copy_number:1.68E+03
P76270	copy_number:4.53E+02
P45396	copy_number:4.53E+02
P75950	copy_number:3.39E+02
P77247	copy_number:2.95E+02
P75915	copy_number:5.18E+02
P32175	copy_number:2.95E+02
P05828	copy_number:4.05E+02
Q59384	copy_number:5.18E+02
P27306	copy_number:1.98E+02
P05848	copy_number:1.04E+03
P45748	copy_number:5.18E+02
P31133	copy_number:2.23E+02
P39396	copy_number:2.63E+02
P06986	copy_number:2.12E+02
P05796	copy_number:3.15E+02
P10740	copy_number:3.39E+02
P33570	copy_number:1.92E+02
P46473	copy_number:2.39E+02
P28690	copy_number:4.18E+03
P32130	copy_number:4.05E+02
P17993	copy_number:3.39E+02
P39177	copy_number:6.13E+02
P31664	copy_number:2.11E+03
P23911	copy_number:3.15E+02
P43671	copy_number:1.81E+02
P30848	copy_number:3.39E+02
P21338	copy_number:2.95E+02
Q46920	copy_number:2.78E+02
P77392	copy_number:2.63E+02
P61320	copy_number:2.23E+02
P23003	copy_number:1.47E+02
P39202	copy_number:2.50E+02
P45533	copy_number:5.18E+02
P15042	copy_number:9.79E+01
P30010	copy_number:1.67E+02
P02943	copy_number:2.02E+02
P32126	copy_number:7.63E+02
P26282	copy_number:1.76E+02
P46186	copy_number:1.98E+02
P38521	copy_number:6.13E+02
P09053	copy_number:2.89E+02
P00642	copy_number:2.36E+02
P25907	copy_number:1.22E+02
P00562	copy_number:8.66E+01
