energies,CoA_conc,valency,system,unbound,bound1CoA,bound2CoA,bound3CoA,bound4CoA,bound5+CoA,rep,AM_int,AN_int,BM_int,BN_int
AM-110_AN-110_BM-1_BN-160,1000,Nb,doubleTAD_doubleCoA,0.76359477124183,0.23320261437908496,0.0032026143790849677,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-160.0
AM-110_AN-110_BM-1_BN-160,2000,Nb,doubleTAD_doubleCoA,0.621045751633987,0.36993464052287583,0.009019607843137255,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-160.0
AM-110_AN-110_BM-1_BN-210,20,Nb,doubleTAD_doubleCoA,0.9671241830065359,0.032875816993464056,0.0,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-210.0
AM-110_AN-110_BM-1_BN-210,160,Nb,doubleTAD_doubleCoA,0.7927450980392158,0.2067320261437909,0.000522875816993464,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-210.0
AM-110_AN-110_BM-1_BN-210,500,Nb,doubleTAD_doubleCoA,0.5353594771241831,0.46183006535947707,0.0028104575163398694,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-210.0
AM-110_AN-110_BM-1_BN-210,1000,Nb,doubleTAD_doubleCoA,0.37653594771241833,0.616078431372549,0.0073856209150326806,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-210.0
AM-110_AN-110_BM-1_BN-210,2000,Nb,doubleTAD_doubleCoA,0.2401960784313725,0.7399346405228758,0.019869281045751638,0.0,0.0,0.0,2.0,-110.0,-110.0,-1.0,-210.0
AM-110_AN-160_BM-110_BN-1,20,Nb,doubleTAD_doubleCoA,0.9935947712418302,0.0064052287581699355,0.0,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-1.0
AM-110_AN-160_BM-110_BN-1,160,Nb,doubleTAD_doubleCoA,0.9536601307189542,0.046143790849673204,0.000196078431372549,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-1.0
AM-110_AN-160_BM-110_BN-1,500,Nb,doubleTAD_doubleCoA,0.872091503267974,0.12673202614379087,0.0011764705882352942,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-1.0
AM-110_AN-160_BM-110_BN-1,1000,Nb,doubleTAD_doubleCoA,0.7718300653594771,0.22339869281045752,0.00477124183006536,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-1.0
AM-110_AN-160_BM-110_BN-1,2000,Nb,doubleTAD_doubleCoA,0.6130065359477124,0.3720261437908497,0.01496732026143791,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-1.0
AM-110_AN-160_BM-110_BN-110,20,Nb,doubleTAD_doubleCoA,0.9922875816993465,0.007712418300653595,0.0,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-110.0
AM-110_AN-160_BM-110_BN-110,160,Nb,doubleTAD_doubleCoA,0.9474509803921567,0.05241830065359477,0.000130718954248366,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-110.0
AM-110_AN-160_BM-110_BN-110,500,Nb,doubleTAD_doubleCoA,0.8561437908496732,0.14241830065359476,0.0014379084967320263,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-110.0
AM-110_AN-160_BM-110_BN-110,1000,Nb,doubleTAD_doubleCoA,0.7504575163398693,0.24490196078431373,0.004640522875816994,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-110.0
AM-110_AN-160_BM-110_BN-110,2000,Nb,doubleTAD_doubleCoA,0.581111111111111,0.40071895424836596,0.018169934640522876,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-110.0
AM-110_AN-160_BM-110_BN-160,20,Nb,doubleTAD_doubleCoA,0.9900000000000001,0.01,0.0,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-160.0
AM-110_AN-160_BM-110_BN-160,160,Nb,doubleTAD_doubleCoA,0.9183660130718954,0.08130718954248367,0.000326797385620915,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-160.0
AM-110_AN-160_BM-110_BN-160,500,Nb,doubleTAD_doubleCoA,0.7803267973856208,0.21725490196078434,0.0024183006535947716,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-160.0
AM-110_AN-160_BM-110_BN-160,1000,Nb,doubleTAD_doubleCoA,0.6426143790849673,0.3499346405228758,0.007450980392156863,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-160.0
AM-110_AN-160_BM-110_BN-160,2000,Nb,doubleTAD_doubleCoA,0.4802614379084967,0.49614379084967325,0.02359477124183007,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-160.0
AM-110_AN-160_BM-110_BN-210,20,Nb,doubleTAD_doubleCoA,0.9604575163398691,0.03954248366013072,0.0,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-210.0
AM-110_AN-160_BM-110_BN-210,160,Nb,doubleTAD_doubleCoA,0.7680392156862746,0.23098039215686275,0.000980392156862745,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-210.0
AM-110_AN-160_BM-110_BN-210,500,Nb,doubleTAD_doubleCoA,0.5118954248366013,0.48274509803921567,0.005359477124183008,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-210.0
AM-110_AN-160_BM-110_BN-210,1000,Nb,doubleTAD_doubleCoA,0.345359477124183,0.6401960784313726,0.014444444444444446,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-210.0
AM-110_AN-160_BM-110_BN-210,2000,Nb,doubleTAD_doubleCoA,0.22607843137254902,0.7383660130718953,0.03555555555555556,0.0,0.0,0.0,2.0,-110.0,-160.0,-110.0,-210.0
AM-110_AN-160_BM-1_BN-1,20,Nb,doubleTAD_doubleCoA,0.9959477124183008,0.0040522875816993474,0.0,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-1.0
AM-110_AN-160_BM-1_BN-1,160,Nb,doubleTAD_doubleCoA,0.9682352941176471,0.03169934640522876,6.5359477124183e-05,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-1.0
AM-110_AN-160_BM-1_BN-1,500,Nb,doubleTAD_doubleCoA,0.9060130718954249,0.09320261437908496,0.000784313725490196,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-1.0
