,system,AM_int,AN_int,BM_int,BN_int,Nb_Kd,Nb_Kd_SEM,Nb_Rmax,Nb_Rmax_SEM
92,doubleTAD_doubleCoA,AM-1,AN-210,BM-1,BN-1,8.369E+02,1.625E+01,1.129E+00,8.688E-03
93,doubleTAD_doubleCoA,AM-1,AN-210,BM-1,BN-110,8.504E+02,1.768E+01,1.143E+00,9.485E-03
94,doubleTAD_doubleCoA,AM-1,AN-210,BM-1,BN-160,7.762E+02,1.259E+01,1.144E+00,7.607E-03
95,doubleTAD_doubleCoA,AM-1,AN-210,BM-1,BN-210,4.617E+02,6.869E+00,1.127E+00,4.733E-03
96,doubleTAD_doubleCoA,AM-210,AN-110,BM-110,BN-1,1.116E+03,2.502E+01,1.278E+00,9.438E-03
97,doubleTAD_doubleCoA,AM-210,AN-110,BM-110,BN-110,8.326E+02,1.529E+01,1.274E+00,1.039E-02
98,doubleTAD_doubleCoA,AM-210,AN-110,BM-110,BN-160,3.613E+02,5.880E+00,1.247E+00,5.790E-03
99,doubleTAD_doubleCoA,AM-210,AN-110,BM-110,BN-210,1.242E+02,1.466E+00,1.224E+00,2.638E-03
100,doubleTAD_doubleCoA,AM-210,AN-110,BM-160,BN-1,9.112E+02,1.619E+01,1.240E+00,7.995E-03
101,doubleTAD_doubleCoA,AM-210,AN-110,BM-160,BN-110,7.717E+02,1.240E+01,1.283E+00,6.787E-03
102,doubleTAD_doubleCoA,AM-210,AN-110,BM-160,BN-160,3.779E+02,4.726E+00,1.268E+00,4.970E-03
103,doubleTAD_doubleCoA,AM-210,AN-110,BM-160,BN-210,1.266E+02,1.524E+00,1.230E+00,2.931E-03
104,doubleTAD_doubleCoA,AM-210,AN-110,BM-1,BN-1,1.087E+03,2.377E+01,1.264E+00,1.209E-02
105,doubleTAD_doubleCoA,AM-210,AN-110,BM-1,BN-110,8.939E+02,1.787E+01,1.308E+00,1.089E-02
106,doubleTAD_doubleCoA,AM-210,AN-110,BM-1,BN-160,3.735E+02,5.709E+00,1.257E+00,6.309E-03
107,doubleTAD_doubleCoA,AM-210,AN-110,BM-1,BN-210,1.224E+02,1.437E+00,1.222E+00,2.975E-03
108,doubleTAD_doubleCoA,AM-210,AN-110,BM-210,BN-1,4.945E+02,7.239E+00,1.184E+00,5.257E-03
109,doubleTAD_doubleCoA,AM-210,AN-110,BM-210,BN-110,4.776E+02,6.874E+00,1.238E+00,4.347E-03
110,doubleTAD_doubleCoA,AM-210,AN-110,BM-210,BN-160,3.218E+02,4.603E+00,1.309E+00,5.521E-03
111,doubleTAD_doubleCoA,AM-210,AN-110,BM-210,BN-210,1.403E+02,1.723E+00,1.314E+00,3.903E-03
112,doubleTAD_doubleCoA,AM-210,AN-160,BM-110,BN-1,1.348E+03,2.529E+01,1.731E+00,1.221E-02
113,doubleTAD_doubleCoA,AM-210,AN-160,BM-110,BN-110,1.014E+03,2.003E+01,1.605E+00,1.264E-02
114,doubleTAD_doubleCoA,AM-210,AN-160,BM-110,BN-160,4.059E+02,6.126E+00,1.348E+00,6.979E-03
115,doubleTAD_doubleCoA,AM-210,AN-160,BM-110,BN-210,1.274E+02,1.467E+00,1.233E+00,3.094E-03
116,doubleTAD_doubleCoA,AM-210,AN-160,BM-160,BN-1,9.845E+02,2.007E+01,1.600E+00,1.327E-02
117,doubleTAD_doubleCoA,AM-210,AN-160,BM-160,BN-110,7.990E+02,1.420E+01,1.523E+00,1.088E-02
118,doubleTAD_doubleCoA,AM-210,AN-160,BM-160,BN-160,3.682E+02,5.077E+00,1.341E+00,6.571E-03
119,doubleTAD_doubleCoA,AM-210,AN-160,BM-160,BN-210,1.259E+02,1.354E+00,1.238E+00,2.820E-03
120,doubleTAD_doubleCoA,AM-210,AN-160,BM-1,BN-1,1.481E+03,3.559E+01,1.804E+00,2.191E-02
121,doubleTAD_doubleCoA,AM-210,AN-160,BM-1,BN-110,1.090E+03,2.234E+01,1.651E+00,1.645E-02
122,doubleTAD_doubleCoA,AM-210,AN-160,BM-1,BN-160,4.104E+02,6.221E+00,1.352E+00,6.086E-03
123,doubleTAD_doubleCoA,AM-210,AN-160,BM-1,BN-210,1.268E+02,1.351E+00,1.231E+00,2.773E-03
124,doubleTAD_doubleCoA,AM-210,AN-160,BM-210,BN-1,3.246E+02,4.457E+00,1.295E+00,5.611E-03
125,doubleTAD_doubleCoA,AM-210,AN-160,BM-210,BN-110,3.179E+02,4.177E+00,1.302E+00,4.278E-03
126,doubleTAD_doubleCoA,AM-210,AN-160,BM-210,BN-160,2.476E+02,3.023E+00,1.310E+00,4.395E-03
127,doubleTAD_doubleCoA,AM-210,AN-160,BM-210,BN-210,1.339E+02,1.591E+00,1.304E+00,3.734E-03
128,doubleTAD_doubleCoA,AM-210,AN-1,BM-110,BN-1,9.377E+02,1.751E+01,1.144E+00,9.936E-03
129,doubleTAD_doubleCoA,AM-210,AN-1,BM-110,BN-110,7.954E+02,1.790E+01,1.215E+00,1.017E-02
130,doubleTAD_doubleCoA,AM-210,AN-1,BM-110,BN-160,3.640E+02,4.785E+00,1.239E+00,5.333E-03
131,doubleTAD_doubleCoA,AM-210,AN-1,BM-110,BN-210,1.231E+02,1.461E+00,1.218E+00,2.445E-03
132,doubleTAD_doubleCoA,AM-210,AN-1,BM-160,BN-1,8.790E+02,1.706E+01,1.152E+00,8.845E-03
133,doubleTAD_doubleCoA,AM-210,AN-1,BM-160,BN-110,7.269E+02,1.331E+01,1.203E+00,7.975E-03
134,doubleTAD_doubleCoA,AM-210,AN-1,BM-160,BN-160,3.504E+02,5.882E+00,1.242E+00,5.685E-03
135,doubleTAD_doubleCoA,AM-210,AN-1,BM-160,BN-210,1.249E+02,1.662E+00,1.228E+00,2.820E-03
