P40847	copy_number:34310
Q9P7S1	copy_number:24118
O94320	copy_number:71752
Q09741	copy_number:285654
Q92372	copy_number:9406
Q09188	copy_number:229347
O74511	copy_number:20086
O60063	copy_number:4781
P78968	copy_number:2031
O60128	copy_number:352135
Q9P6L5	copy_number:55695
O94672	copy_number:13465
Q9P7Q4	copy_number:40986
O94378	copy_number:6110
Q9P4W9	copy_number:45668
Q9USW5	copy_number:306562
O14370	copy_number:344558
O13614	copy_number:338225
P87137	copy_number:23087
P39825	copy_number:232138
O14014	copy_number:1512
O74718	copy_number:39754
Q9C0X8	copy_number:13987
Q9C0Y6	copy_number:66241
P78963	copy_number:22587
O13965	copy_number:7707
O13796	copy_number:5710
O74472	copy_number:25998
O60171	copy_number:19649
Q9UT09	copy_number:205200
Q10488	copy_number:72179
O60085	copy_number:46760
Q09717	copy_number:49663
Q9HDW6	copy_number:40602
Q10209	copy_number:39906
O74803	copy_number:126598
O94438	copy_number:415826
P36586	copy_number:142496
O13687	copy_number:102912
O94390	copy_number:201851
Q9UTD7	copy_number:9503
O94715	copy_number:287457
O94660	copy_number:32614
Q10199	copy_number:12983
Q9C0U6	copy_number:56068
Q9P795	copy_number:2564
Q09736	copy_number:92035
Q9URX8	copy_number:23559
P04688	copy_number:206990
O94519	copy_number:4015
Q96WV9	copy_number:9107
O13892	copy_number:12384
O94673	copy_number:47591
Q10951	copy_number:1824
Q10659	copy_number:31354
O14075	copy_number:109485
O60084	copy_number:33550
Q09860	copy_number:39327
Q10101	copy_number:362010
P15567	copy_number:80443
Q9UTQ6	copy_number:578413
O74395	copy_number:4534
O74178	copy_number:26056
P0CT66	copy_number:477113
Q9Y7X5	copy_number:87471
O13773	copy_number:4157
P40383	copy_number:12713
Q10189	copy_number:8251
O14079	copy_number:771
Q9USZ7	copy_number:18262
Q09330	copy_number:99958
O74436	copy_number:22233
O42648	copy_number:8776
Q9USS2	copy_number:15641
Q9P791	copy_number:79321
O59826	copy_number:49081
P36612	copy_number:46080
P28745	copy_number:6032
P40373	copy_number:30897
Q9P7T6	copy_number:65187
O14192	copy_number:158152
P53694	copy_number:86611
Q9USS7	copy_number:25904
O74791	copy_number:35342
Q9UTQ7	copy_number:1916
O94515	copy_number:55244
O94435	copy_number:176703
P78875	copy_number:58457
Q9Y7Z6	copy_number:1263
O42657	copy_number:5443
Q9Y6Z9	copy_number:152420
Q9URW9	copy_number:11686
O59755	copy_number:177
O43011	copy_number:83228
P78847	copy_number:4341
O14236	copy_number:14284
O74959	copy_number:44234
Q9P775	copy_number:25511
Q9P7S5	copy_number:6371
O14388	copy_number:530522
O59760	copy_number:46990
Q10295	copy_number:13046
P79015	copy_number:92454
Q9HDX8	copy_number:57429
Q9P7G0	copy_number:22347
Q9UTQ8	copy_number:12167
Q09748	copy_number:28832
Q9USJ1	copy_number:54452
O74945	copy_number:14280
O14164	copy_number:97103
Q9UUE6	copy_number:161262
Q03392	copy_number:118952
Q9Y7X6	copy_number:37012
O60079	copy_number:19444
Q9UUF7	copy_number:44043
O14095	copy_number:2700
O36032	copy_number:594534
O13848	copy_number:233984
O13809	copy_number:67752
O74538	copy_number:445665
P78780	copy_number:84732
Q9P7S3	copy_number:10521
P05219	copy_number:278720
O59736	copy_number:95206
P87153	copy_number:87568
Q9P7H8	copy_number:4428
O94505	copy_number:96994
P78814	copy_number:21252
O74894	copy_number:84267
O42861	copy_number:11826
Q9P6K7	copy_number:143411
P09988	copy_number:5429
Q9Y7Z3	copy_number:318498
O42874	copy_number:1443
O74322	copy_number:68849
Q09924	copy_number:6818
O14126	copy_number:77586
O94512	copy_number:13050
O13792	copy_number:49701
O42993	copy_number:316780
O60182	copy_number:4893
O14369	copy_number:286
O74445	copy_number:115077
O13685	copy_number:71198
O94544	copy_number:36562
Q09127	copy_number:246349
P30821	copy_number:331549
O60164	copy_number:29362
Q92351	copy_number:1589
Q9P7L1	copy_number:69227
O43010	copy_number:55632
O74175	copy_number:327213
P21911	copy_number:83987
Q9P7S2	copy_number:48411
O13939	copy_number:930
O42851	copy_number:86196
Q76PC4	copy_number:5191
Q9HGP1	copy_number:11030
P07799	copy_number:13714
O74341	copy_number:38455
O74417	copy_number:44921
Q09795	copy_number:46820
O14248	copy_number:3752
P87243	copy_number:10585
P08091	copy_number:244996
O74362	copy_number:17445
O74975	copy_number:19069
O14148	copy_number:8010
Q9UTN2	copy_number:13958
Q9UUG1	copy_number:45082
Q09745	copy_number:118907
Q10061	copy_number:38897
O74762	copy_number:52193
Q9USI6	copy_number:14668
Q10432	copy_number:7647
Q10368	copy_number:43463
Q9UTK4	copy_number:6402
Q9Y7N9	copy_number:38030
Q9UT44	copy_number:54737
O42923	copy_number:12072
O36021	copy_number:22138
O94659	copy_number:49255
O74874	copy_number:11925
O14466	copy_number:155106
O14062	copy_number:186775
O13964	copy_number:4098
Q10484	copy_number:20643
O43090	copy_number:33005
Q10437	copy_number:20795
O74479	copy_number:63193
O42976	copy_number:4789
O94517	copy_number:90303
Q9P7B2	copy_number:28145
Q9UUK0	copy_number:50219
Q1MTS0	copy_number:5398
O94639	copy_number:95500
O74767	copy_number:71007
Q10164	copy_number:691
Q09803	copy_number:20966
O14069	copy_number:826608
O13821	copy_number:1709
P36579	copy_number:249225
O14261	copy_number:971
Q9P7V8	copy_number:174649
Q1MTQ5	copy_number:780
Q9HDU9	copy_number:43658
P87132	copy_number:3556
Q9URW7	copy_number:5729
Q9URX6	copy_number:634462
O42933	copy_number:41887
Q02061	copy_number:9061
Q9UT02	copy_number:5424
O74653	copy_number:2596
O42998	copy_number:5289
O60188	copy_number:6469
P41391	copy_number:54641
Q9UUK7	copy_number:11128
Q09897	copy_number:9817
Q9USJ7	copy_number:43094
P40369	copy_number:5812
O42940	copy_number:61136
P36583	copy_number:5153
Q10349	copy_number:208637
P78920	copy_number:28198
O59670	copy_number:42613
O74503	copy_number:49993
Q10270	copy_number:82113
P50519	copy_number:363727
O74536	copy_number:22673
Q09751	copy_number:96771
O94416	copy_number:2725
O94316	copy_number:17902
O74440	copy_number:47887
O74400	copy_number:3307
O14161	copy_number:1844
O60162	copy_number:55703
O14302	copy_number:1264
Q9C0W5	copy_number:25440
O94444	copy_number:113798
Q9UTN3	copy_number:2732
Q9P3A9	copy_number:19366
O94235	copy_number:1643
O94354	copy_number:130087
Q9UUE3	copy_number:128432
O74960	copy_number:665159
O74790	copy_number:72016
Q09822	copy_number:38112
Q9USQ9	copy_number:77661
O74782	copy_number:8037
O74415	copy_number:4719
O74733	copy_number:26642
O94523	copy_number:68373
O59866	copy_number:53159
Q09750	copy_number:3371
Q09820	copy_number:40252
Q92370	copy_number:28756
Q9P7C9	copy_number:35018
Q09181	copy_number:55654
O94374	copy_number:17991
Q09849	copy_number:18420
O74927	copy_number:36549
P33886	copy_number:12418
O13867	copy_number:52676
O13905	copy_number:14625
P87128	copy_number:13658
Q9USZ4	copy_number:34804
O59858	copy_number:267279
O42964	copy_number:22286
O14232	copy_number:3381
Q9Y7M8	copy_number:33163
P0CT56	copy_number:350740
O94436	copy_number:13290
Q9USY1	copy_number:11178
Q09177	copy_number:79793
O74545	copy_number:47471
O74135	copy_number:15516
O94658	copy_number:373473
P78790	copy_number:64500
Q09719	copy_number:4507
Q10287	copy_number:4084
O13797	copy_number:133983
O42849	copy_number:57292
Q10107	copy_number:1909
P21565	copy_number:20100
O74521	copy_number:17970
O60176	copy_number:26359
O42926	copy_number:3932
O43065	copy_number:5514
O74354	copy_number:3844
O14057	copy_number:20250
O74942	copy_number:5993
Q9USW1	copy_number:34164
O60081	copy_number:1757
O59804	copy_number:994154
O14209	copy_number:35961
Q9P7K9	copy_number:23547
O74191	copy_number:48138
O74792	copy_number:92
Q9P546	copy_number:627915
P78965	copy_number:78389
Q9Y700	copy_number:103683
O74743	copy_number:18460
P87057	copy_number:61220
Q9P7F8	copy_number:217756
O13622	copy_number:9813
Q09783	copy_number:28754
O60185	copy_number:48010
Q9P7G9	copy_number:288767
Q09923	copy_number:63030
O14011	copy_number:17259
P79083	copy_number:106622
O13648	copy_number:31637
O74873	copy_number:30764
Q10132	copy_number:115206
Q10192	copy_number:152060
P48008	copy_number:7665
Q9US07	copy_number:6702
O13733	copy_number:2162
O42885	copy_number:64494
Q9Y7N0	copy_number:12047
O42932	copy_number:38354
P30655	copy_number:116773
O42965	copy_number:60948
P50537	copy_number:42121
P41003	copy_number:7935
O36033	copy_number:12417
O14112	copy_number:174262
O13944	copy_number:5501
Q10339	copy_number:5768
Q09868	copy_number:16863
Q9UT36	copy_number:107996
O74504	copy_number:1398
A0A0A7E9K2	copy_number:8284
O74505	copy_number:36122
O94560	copy_number:51270
Q9P7F2	copy_number:26657
Q92353	copy_number:34728
Q9P7K6	copy_number:35027
Q9P6Q2	copy_number:74665
Q9C1W5	copy_number:24270
O43046	copy_number:53439
Q9P377	copy_number:9756
O13725	copy_number:24019
O94624	copy_number:12277
Q9UU76	copy_number:16397
Q01682	copy_number:88970
Q09740	copy_number:40670
O42649	copy_number:2613
Q9Y7T0	copy_number:10976
O74434	copy_number:1258
O94488	copy_number:2102
Q9UTI7	copy_number:19664
Q9UT85	copy_number:9226
O14269	copy_number:1320
Q9UU89	copy_number:46722
O60179	copy_number:12315
Q9P777	copy_number:102687
O13898	copy_number:60149
P78929	copy_number:207095
P28040	copy_number:2602
O13779	copy_number:3810
P87169	copy_number:3881
O60135	copy_number:58580
Q96WV0	copy_number:53138
O60102	copy_number:30059
O74349	copy_number:6654
Q9C0U7	copy_number:19373
O74330	copy_number:1374174
Q09735	copy_number:51683
Q9HGL6	copy_number:45925
O74774	copy_number:14631
O94601	copy_number:42523
P50524	copy_number:70934
O74439	copy_number:30547
Q9P6K0	copy_number:8027
Q9US12	copy_number:9465
O74429	copy_number:18862
P87240	copy_number:1816
P05764	copy_number:414002
Q09841	copy_number:85853
P49740	copy_number:252660
O59709	copy_number:14308
Q10283	copy_number:21743
O74895	copy_number:412885
Q9P787	copy_number:20083
Q10306	copy_number:108871
P79065	copy_number:15507
