Proteome Id	Organism Id	Protein count
UP000006933	686981	3
UP000007019	648235	8
UP000007022	2839036	3
UP000007025	73473	3
UP000007068	49267	6
UP000007210	31600	9
UP000007212	429314	6
UP000007219	103603	6
UP000007225	12187	6
UP000007252	647332	3
UP000007399	12315	7
UP000007403	11988	4
UP000007528	73475	3
UP000007540	2749935	6
UP000007611	28365	8
UP000007627	12189	5
UP000007629	268789	4
UP000007639	82830	79
UP000007662	10900	11
UP000007663	335103	11
UP000007664	31567	11
UP000007666	10596	5
UP000007670	37116	7
UP000007677	39457	8
UP000007784	223295	8
UP000007795	12318	5
UP000008169	2779844	8
UP000008222	10580	10
UP000008226	10620	6
UP000008232	10606	6
UP000008236	291605	12
UP000008246	223353	6
UP000008249	223359	6
UP000008264	29272	3
UP000008267	185793	6
UP000008292	46015	155
UP000008294	648250	4
UP000008446	10640	6
UP000008447	12236	3
UP000008448	11273	7
UP000008453	222073	8
UP000008454	12310	6
UP000008472	648330	3
UP000008476	1891754	5
UP000008477	1891729	5
UP000008592	928304	6
UP000008593	928305	6
UP000008609	228578	3
UP000008623	12179	5
UP000008651	12267	3
UP000008654	36409	7
UP000008665	291603	11
UP000008687	12185	5
UP000008689	686945	6
UP000008769	222449	9
UP000008772	652965	10
UP000008788	766192	7
UP000008789	654916	8
UP000008791	654918	7
UP000008865	12180	6
UP000008874	268776	5
UP000008927	1005060	3
UP000008973	126796	7
UP000008992	10360	148
UP000009087	10665	273
UP000009090	10872	9
UP000009098	644639	4
UP000009104	10621	6
UP000009105	333759	7
UP000009111	37954	7
UP000009112	37955	7
UP000009113	333762	6
UP000009114	333752	6
UP000009117	333763	6
UP000009123	10592	7
UP000009155	10611	6
UP000009165	31548	7
UP000009171	333764	6
UP000009185	2772504	8
UP000009190	28354	5
UP000009252	333923	9
UP000009270	652673	5
UP000009295	10370	99
UP000029741	1552985	7
UP000029743	1554474	1
UP000029745	1554498	1
UP000029747	1554481	1
UP000029748	2870378	1
UP000029750	1168173	1
UP000029754	1554484	1
UP000029755	1554492	1
UP000029768	666363	6
UP000029770	1559361	9
UP000029771	1560034	7
UP000052080	360397	6
UP000052081	446138	5
UP000052083	445217	7
UP000052084	526413	6
UP000052085	634772	7
UP000052088	1081054	7
UP000052089	998829	7
UP000052090	990304	6
UP000052091	706527	6
UP000052092	940834	7
UP000052093	1352235	5
UP000052094	568209	6
UP000052095	1001533	7
UP000052096	461322	5
UP000052097	338903	7
UP000052098	369584	7
UP000052099	291589	7
UP000052100	291590	7
UP000052101	292792	8
UP000052102	936059	7
UP000052107	2847817	1
UP000052108	1416021	1
UP000052109	1755588	1
UP000096661	909330	7
UP000096793	798072	7
UP000096870	735496	7
UP000097651	798073	7
UP000099345	46922	8
UP000099447	990303	8
UP000099931	471185	8
UP000100289	1739625	13
UP000101375	915426	7
UP000101403	2772508	7
UP000101546	1385427	12
UP000101963	2772507	9
UP000102036	1788437	1
UP000102297	334210	7
UP000102623	706526	6
UP000103020	1144379	7
UP000103719	2847078	7
UP000103794	1503291	6
UP000103855	1055684	7
UP000103885	942038	7
UP000104464	1434070	6
UP000105550	1478160	7
UP000105694	1283664	13
UP000106096	186538	7
UP000106331	1104917	7
UP000106470	11153	11
UP000106895	2847089	7
UP000107061	10595	7
UP000107063	471186	8
UP000107207	28274	6
UP000107687	1195364	6
UP000108270	3052561	7
UP000108288	1315265	6
UP000108682	1887217	7
UP000108982	202252	7
UP000109002	1315264	6
UP000109295	1788450	1
UP000110085	28295	6
UP000110829	2773313	9
UP000111445	1415628	3
UP000111499	171370	7
UP000111791	1661395	1
UP000112084	1464071	6
UP000112284	1070420	7
UP000112710	40538	7
UP000113124	1144382	7
UP000113513	337054	7
UP000113705	2758382	9
UP000113835	1338506	7
UP000114582	1508710	4
UP000114585	2560310	7
UP000114966	936060	7
UP000115210	1105164	10
UP000115701	1586324	8
UP000116758	696746	7
UP000117015	1070410	7
UP000118015	1464072	6
UP000118097	69152	17
UP000118722	162013	8
UP000118929	1315261	7
UP000119221	3052594	6
UP000119242	1226723	7
UP000119411	909328	7
UP000119804	1263299	11
UP000120507	40540	7
UP000120723	2759772	7
UP000120748	1383502	11
UP000121470	106820	3
UP000122610	706525	6
UP000123282	645847	10
UP000123284	1163703	5
UP000123364	424370	8
UP000123590	1887215	6
UP000123609	1398507	7
UP000124656	1495253	10
UP000125000	1163709	6
UP000125409	1578826	1
UP000125519	996651	7
UP000126502	1503283	7
UP000126615	1241932	8
UP000126963	714200	7
UP000127207	1541205	9
UP000127392	1235429	7
UP000127630	1283333	7
UP000127867	743811	7
UP000129101	1887219	6
UP000129308	763552	7
UP000129376	312349	7
UP000129482	1891769	5
UP000129753	1110710	7
UP000129778	385580	10
UP000129924	1235428	7
UP000129991	1129347	10
UP000130113	470214	8
UP000130331	565537	5
UP000130688	1778550	6
UP000131008	909333	7
UP000131287	1647924	7
UP000132079	2560316	7
UP000132112	1472717	7
UP000132946	766792	9
UP000133604	296738	12
UP000134568	2259540	8
UP000134610	1574628	15
UP000134698	1223562	4
UP000136220	92129	8
UP000136351	120381	7
UP000136359	1195370	5
UP000136605	189830	28
UP000136617	1163708	6
UP000136985	11224	7
UP000137149	1379723	1
UP000137229	12639	1
UP000138843	706530	6
UP000139829	1336600	8
UP000139850	1464074	6
UP000140463	1682340	7
UP000140561	45240	7
UP000140763	1682339	6
UP000141459	1420545	6
UP000142218	333769	7
UP000142472	2848317	6
UP000143347	1272519	6
UP000143524	694001	8
UP000143765	1452514	7
UP000144012	2560315	8
UP000144039	2560326	6
UP000144169	1261101	8
UP000144177	1503290	6
UP000144454	915424	7
UP000144657	1070408	7
UP000144694	759701	7
UP000144778	1503289	6
UP000145001	1160968	10
UP000145193	129724	8
UP000146425	11726	8
UP000146474	1887216	6
UP000147201	44028	8
UP000147477	1408129	7
UP000148028	35265	16
UP000148062	10568	7
UP000148290	305677	6
UP000148647	1070409	7
UP000148971	2050037	4
UP000149637	37115	8
UP000150460	1264898	9
UP000151954	28284	34
UP000152287	1692251	1
UP000152522	1091166	8
UP000153037	10377	84
UP000153366	1144381	7
UP000153626	1214955	2
UP000153628	1590370	10
UP000153735	2560313	7
UP000153748	2259334	6
UP000154097	1315266	6
UP000154424	664730	6
UP000154662	37131	7
UP000155058	862945	6
UP000155275	3052480	3
UP000155350	10534	20
UP000155887	996650	7
UP000156013	312027	10
UP000156418	467989	3
UP000156843	1070417	7
UP000157060	1503288	6
UP000158064	37956	7
UP000158327	422134	10
UP000158899	1969700	6
UP000158963	1891770	4
UP000159394	1513269	7
UP000161261	1288116	7
UP000162055	1887218	7
UP000162058	3052342	6
UP000162202	11216	8
UP000162335	338327	7
UP000162673	1641896	1
UP000162802	1002273	3
UP000163097	123595	9
UP000163232	2560317	6
UP000163734	247269	7
UP000164482	1816787	8
UP000164817	656889	6
UP000166347	2847277	6
UP000166452	582817	6
UP000166619	693998	8
UP000167195	1756445	5
UP000167269	1545700	6
UP000167318	909332	7
UP000167412	1170234	6
UP000168289	40539	7
UP000170672	663281	3
UP000170803	453460	6
UP000171007	2759889	6
UP000171123	2758381	7
UP000171189	909210	29
UP000171261	1887214	7
UP000171341	37120	8
UP000171583	10598	8
UP000171862	931209	7
UP000172138	126070	1
UP000172276	1112597	6
UP000172383	333772	7
UP000172497	2560318	6
UP000174140	1587849	12
UP000174148	2848316	6
UP000174731	1699360	11
UP000174756	1070324	8
UP000174880	1548711	3
UP000180764	648242	6
UP000180906	2593991	8
UP000180955	1487796	6
UP000185274	2758957	9
UP000185275	146032	4
UP000201047	1746073	1
UP000201057	1746072	1
UP000201063	1923091	1
UP000201107	223275	8
UP000201168	222459	6
UP000201176	1923246	1
UP000201178	1923092	1
UP000201188	1923625	1
UP000201231	1923107	1
UP000201242	1685730	1
UP000201245	1923090	1
UP000201268	390440	6
UP000201273	1922608	1
UP000201277	1922607	1
UP000201280	1213198	5
UP000201302	1922768	1
UP000201303	11612	2
UP000201306	223300	6
UP000201315	1922604	1
UP000201393	2016453	7
UP000201498	2016454	5
UP000201532	1922612	1
UP000201557	10571	6
UP000201578	1922535	1
UP000201614	1922990	1
UP000201615	1922641	1
UP000201639	1923595	1
UP000201705	1923698	1
UP000201720	1923657	1
UP000201740	10837	4
UP000201768	1923151	1
UP000201777	1746061	1
UP000201830	1174526	4
UP000201834	1812308	8
UP000201842	1922930	1
UP000201863	1587515	2
UP000201864	1196236	4
UP000201877	1923447	1
UP000201882	1923487	1
UP000201909	1931111	6
UP000201936	1571533	4
UP000201947	1923608	1
UP000201954	1774200	10
UP000201980	1922999	1
UP000201985	1302850	4
UP000201998	1922552	1
UP000202003	11987	5
UP000202009	1778570	1
UP000202032	1922601	1
UP000202033	1317107	8
UP000202038	1922558	1
UP000202046	1923089	1
UP000202064	1923417	1
UP000202067	1746058	1
UP000202092	1923636	1
UP000202099	674996	6
UP000202100	1508228	5
UP000202103	1923607	1
UP000202127	1746074	1
UP000202164	1923418	1
UP000202225	1249648	4
UP000202261	1303385	6
UP000202305	1923752	1
UP000202318	1923121	1
UP000202331	1923127	1
UP000202343	1923128	1
UP000202359	1922592	1
UP000202382	1335476	6
UP000202393	1922925	1
UP000202403	1213620	4
UP000202435	1922602	1
UP000202460	1923148	1
UP000202512	2870364	1
UP000202537	1923450	1
UP000202556	1843772	1
UP000202572	1922997	1
UP000202579	1685731	1
UP000202584	1922835	1
UP000202586	1923350	1
UP000202601	1923534	1
UP000202647	1922634	1
UP000202650	486809	8
UP000202674	1922707	1
UP000202700	1746062	1
UP000202703	1923168	1
UP000202726	1922606	1
UP000202760	1922554	1
UP000202813	1923243	1
UP000202815	1922613	1
UP000202845	1923669	1
UP000202868	1922782	1
UP000202892	1923247	1
UP000202893	1923245	1
UP000202899	1922717	1
UP000202931	555460	6
UP000202945	1922826	1
UP000202952	1923609	1
UP000202980	1922498	1
UP000202985	1923622	1
UP000202988	1923714	1
UP000203070	393599	8
UP000203080	1923751	1
UP000203098	1685734	1
UP000203108	1923706	1
UP000203110	1923132	1
UP000203145	1923635	1
