organism_id	fraction_disorder_per_protein	fraction_disorder_total_proteome
UP000024445	0.07132	0.04504
UP000026904	0.16783	0.09957
UP000026905	0.05786	0.06682
UP000026980	0.06993	0.05067
UP000026983	0.04071	0.03728
UP000026985	0.11747	0.07136
UP000026989	0.09871	0.06447
UP000026992	0.10177	0.1218
UP000026993	0.05358	0.11583
UP000026999	0.08131	0.11683
UP000027000	0.18555	0.16259
UP000027380	0.11933	0.077
UP000027381	0.17936	0.12013
UP000027382	0.14043	0.08375
UP000027383	0.15535	0.11006
UP000027384	0.09818	0.07143
UP000027387	0.07586	0.05928
UP000027391	0.10562	0.09449
UP000027480	0.10828	0.06566
UP000027481	0.09839	0.07752
UP000027482	0.14486	0.08045
UP000027491	0.18138	0.14435
UP000027493	0.13684	0.08584
UP000027495	0.18211	0.0868
UP000028464	0.23182	0.21252
UP000028562	0.09197	0.07469
UP000028659	0.20824	0.19628
UP000028662	0.11312	0.09493
UP000028663	0.16486	0.14309
UP000028664	0.08971	0.09251
UP000028666	0.09342	0.07497
UP000028667	0.1512	0.12279
UP000028670	0.15799	0.10286
UP000028671	0.14607	0.13535
UP000028741	0.05467	0.04383
UP000028860	0.1443	0.06769
UP000028861	0.12148	0.07851
UP000028961	0.05541	0.0462
UP000029340	0.19344	0.15676
UP000029342	0.13686	0.09614
UP000029343	0.18385	0.15658
UP000029345	0.19634	0.15209
UP000029348	0.19567	0.14078
UP000029349	0.15554	0.08988
UP000029352	0.23276	0.1499
UP000029353	0.17839	0.08591
UP000029355	0.11184	0.08799
UP000029357	0.06822	0.08318
UP000029360	0.0752	0.08943
UP000029361	0.12374	0.0783
UP000029362	0.09659	0.09829
UP000029364	0.03875	0.03636
UP000029366	0.15763	0.17225
UP000029368	0.10533	0.06862
UP000029369	0.1222	0.12126
UP000029370	0.10829	0.07462
UP000029371	0.13265	0.08687
UP000029372	0.11216	0.06725
UP000029373	0.05869	0.04643
UP000029460	0.24532	0.17841
UP000029461	0.22343	0.14132
UP000029683	0.23886	0.26655
UP000029756	0.19815	0.26304
UP000029760	0.28221	0.1137
UP000029761	0.13946	0.12569
UP000029777	0.18243	0.16671
UP000029779	0.32652	0.39936
UP000029780	0.16495	0.12958
UP000029781	0.14684	0.10243
UP000029885	0.24064	0.18574
UP000029888	0.09979	0.14119
UP000029889	0.07616	0.05779
UP000029891	0.19567	0.18385
UP000029939	0.1807	0.18424
UP000029940	0.07253	0.07487
UP000030040	0.10075	0.08105
UP000030041	0.08498	0.09259
UP000030042	0.14791	0.11022
UP000030044	0.14347	0.09832
UP000030045	0.1832	0.13248
UP000030046	0.13234	0.07051
UP000030047	0.08261	0.06355
UP000030048	0.37819	0.45328
UP000030156	0.13558	0.14546
UP000030158	0.12773	0.12371
UP000030200	0.16936	0.13576
UP000030202	0.09603	0.06687
UP000030205	0.10546	0.14019
UP000030206	0.09334	0.08503
UP000030207	0.07806	0.08001
UP000030208	0.11021	0.09025
UP000030226	0.08921	0.05999
UP000030230	0.09451	0.07062
UP000030232	0.08135	0.08722
UP000030322	0.06515	0.07594
UP000030323	0.08571	0.05874
UP000030324	0.11168	0.06885
UP000030326	0.1437	0.09959
UP000030327	0.03785	0.03517
UP000030329	0.09003	0.05867
UP000030731	0.11945	0.17236
UP000030732	0.04906	0.045
UP000030733	0.08161	0.06122
UP000030735	0.05554	0.05286
UP000030736	0.05873	0.06588
UP000030737	0.07653	0.06462
UP000030738	0.1146	0.06206
UP000030739	0.06945	0.04588
UP000030740	0.16745	0.10662
UP000030922	0.12252	0.11324
UP000030924	0.12348	0.09234
UP000030927	0.15594	0.11203
UP000030928	0.06381	0.11604
UP000031071	0.16904	0.13422
UP000031073	0.23086	0.14007
UP000031075	0.19806	0.1712
UP000031083	0.0749	0.04712
UP000031084	0.06244	0.04166
UP000031085	0.0747	0.06337
UP000031086	0.07163	0.05258
UP000031087	0.08274	0.0791
UP000031088	0.05893	0.03972
UP000031091	0.17074	0.10024
UP000031093	0.10195	0.07023
UP000031717	0.18733	0.17302
UP000031721	0.10433	0.11643
UP000031722	0.12917	0.15234
UP000031723	0.18621	0.17221
UP000031724	0.07625	0.0986
UP000031725	0.08178	0.06417
UP000031726	0.10493	0.08305
UP000031727	0.12172	0.1061
UP000031728	0.08681	0.0569
UP000031729	0.20708	0.1265
UP000031732	0.11301	0.08038
UP000031733	0.05701	0.0721
UP000031803	0.19155	0.13105
UP000031804	0.06715	0.04977
UP000031805	0.07542	0.04344
UP000032129	0.10286	0.07486
UP000032135	0.17364	0.12073
UP000032403	0.29707	0.24683
UP000032686	0.03148	0.04981
UP000033005	0.17646	0.11037
UP000033006	0.20348	0.13016
UP000033010	0.2063	0.12755
UP000033014	0.08135	0.07862
UP000033015	0.06136	0.07559
UP000033018	0.11314	0.12873
UP000033019	0.16658	0.15698
UP000033021	0.14919	0.14329
UP000033022	0.12192	0.07895
UP000033024	0.11744	0.12932
UP000033300	0.09096	0.07953
UP000033301	0.11842	0.0729
UP000033339	0.08566	0.09112
UP000033804	0.10991	0.08187
UP000033806	0.1271	0.07165
UP000033808	0.17981	0.09922
UP000033809	0.07989	0.07806
UP000050571	0.10486	0.06369
UP000050720	0.20906	0.17214
UP000052111	0.01929	0.01607
UP000052112	0.10159	0.09764
UP000069541	0.17874	0.15636
UP000095968	0.07033	0.05319
UP000098834	0.34848	0.17819
UP000099935	0.8234	0.68218
UP000100541	0.09917	0.06855
UP000101154	0.29799	0.26026
UP000101765	0.12674	0.12186
UP000102095	0.03618	0.02877
UP000102282	0.22553	0.18371
UP000103471	0.1446	0.1487
UP000103610	0.39135	0.22008
UP000103899	0.364	0.24588
UP000104365	0.10464	0.06211
UP000104684	0.21413	0.13778
UP000104785	0.19031	0.18671
UP000105007	0.16157	0.1433
UP000106287	0.0	0.0
UP000107967	0.72363	0.53815
UP000108023	0.68013	0.53411
UP000109796	0.07314	0.06381
UP000110868	0.12846	0.09516
UP000112020	0.16447	0.16299
UP000112030	0.15295	0.16648
UP000112381	0.07735	0.07007
UP000114089	0.3567	0.36903
UP000114278	0.15318	0.11952
UP000114767	0.60165	0.37652
UP000115074	0.77113	0.52088
UP000115085	0.08021	0.07137
UP000116434	0.69563	0.57207
UP000116498	0.74215	0.77063
UP000116552	0.14553	0.11592
UP000117440	0.05601	0.05137
UP000117459	0.17376	0.16566
UP000118038	0.0615	0.05055
UP000118426	0.23483	0.22422
UP000118435	0.43216	0.32468
UP000118593	0.39853	0.27235
UP000119077	0.49976	0.44619
UP000119281	0.44251	0.43367
UP000119980	0.06386	0.05376
UP000120576	0.12416	0.14045
UP000120900	0.23717	0.16792
UP000121405	0.5036	0.40879
UP000123264	0.53572	0.54251
UP000124292	0.47452	0.27237
UP000125555	0.15207	0.07999
UP000125745	0.34272	0.1822
UP000126444	0.22438	0.21483
UP000126644	0.07581	0.08423
UP000126788	0.26273	0.25704
UP000127615	0.28743	0.1654
UP000128005	0.10388	0.06373
UP000128597	0.58269	0.46367
UP000131520	0.55718	0.36265
UP000132017	0.19919	0.10402
UP000132161	0.60124	0.50156
UP000132218	0.18838	0.2023
UP000132997	0.3286	0.22727
UP000135724	0.06449	0.05809
UP000136450	0.14563	0.14987
UP000137095	0.4987	0.36643
UP000137347	0.16003	0.15952
UP000137422	0.12177	0.11905
UP000137940	0.0	0.0
UP000139264	0.57019	0.50871
UP000139727	0.2921	0.24706
UP000139941	0.16147	0.10013
UP000140112	0.02468	0.03594
UP000141801	0.1071	0.10065
UP000141916	0.80605	0.58865
UP000143317	0.33628	0.19655
UP000144596	0.03355	0.03704
UP000147404	0.13948	0.10016
UP000149493	0.70757	0.50593
UP000151058	0.09252	0.06567
UP000151254	0.06259	0.05332
UP000151871	0.11279	0.10841
UP000152314	0.2478	0.17081
UP000152551	0.21678	0.18488
UP000152727	0.21979	0.19396
UP000153343	0.08387	0.09198
UP000154477	0.84921	0.70728
UP000156073	0.0861	0.09268
UP000156401	0.14965	0.1453
UP000156603	0.0	0.0
UP000157362	0.16788	0.10481
UP000157847	0.5	0.42857
UP000158532	0.08206	0.07734
UP000158907	0.04595	0.05209
UP000159125	0.13504	0.0623
UP000159338	0.09848	0.10345
UP000160764	0.1177	0.10476
UP000161430	0.40687	0.31913
UP000162045	0.73651	0.75762
UP000162416	0.66109	0.59007
UP000162722	0.46653	0.41923
UP000164036	0.05502	0.03143
UP000164702	0.0257	0.02872
UP000165221	0.07143	0.07531
UP000165445	0.13023	0.13149
UP000165545	0.74702	0.57409
UP000165577	0.68982	0.55803
UP000166258	0.0	0.0
UP000166800	0.1449	0.1368
UP000168164	0.10484	0.10088
UP000169752	0.3704	0.31045
UP000171073	0.688	0.6024
UP000171279	0.04294	0.06412
UP000171893	0.17696	0.10109
UP000172127	0.29296	0.2273
UP000172353	0.16632	0.12849
UP000172814	0.24664	0.15239
UP000173026	0.25664	0.14908
UP000173942	0.16957	0.14404
UP000174145	0.13159	0.10081
UP000174903	0.06957	0.09743
UP000175303	0.7091	0.51313
UP000179300	0.56032	0.43568
UP000181615	0.05506	0.06345
UP000185265	0.05072	0.04493
UP000185320	0.15068	0.10736
UP000185327	0.15462	0.1076
UP000185335	0.15895	0.1169
UP000185356	0.16307	0.10966
UP000201043	0.05952	0.05776
UP000201058	0.26843	0.22472
UP000201059	0.0	0.0
UP000201066	0.0	0.0
UP000201070	0.04547	0.04893
UP000201074	0.16387	0.13784
UP000201075	0.35952	0.35952
UP000201078	0.0	0.0
UP000201080	0.20909	0.17159
UP000201086	0.0	0.0
UP000201087	0.33659	0.14091
UP000201090	0.2035	0.10742
UP000201093	0.0	0.0
UP000201095	0.1155	0.1018
UP000201097	0.0835	0.10816
UP000201100	0.0428	0.0428
UP000201102	0.11362	0.14812
UP000201104	0.14222	0.16871
UP000201105	0.17387	0.16724
UP000201124	0.10577	0.13415
UP000201125	0.0835	0.08177
UP000201126	0.0	0.0
UP000201127	0.12036	0.0988
UP000201132	0.13141	0.13141
UP000201144	0.19214	0.19214
UP000201147	0.10404	0.08547
UP000201148	0.08246	0.0587
UP000201149	0.23728	0.17393
UP000201150	0.21125	0.14734
UP000201155	0.24053	0.20159
UP000201159	0.41987	0.29581
UP000201160	0.58964	0.40573
UP000201165	0.32774	0.32072
UP000201172	0.0	0.0
UP000201175	0.16667	0.16667
UP000201182	0.3489	0.33434
UP000201190	0.31811	0.25835
UP000201191	0.15935	0.12397
UP000201195	0.10677	0.0836
UP000201196	0.09603	0.09232
UP000201202	0.17902	0.14857
UP000201206	0.01011	0.01674
UP000201211	0.18518	0.08949
UP000201216	0.23753	0.15507
UP000201228	0.08655	0.06909
UP000201232	0.0	0.0
UP000201235	0.12605	0.0923
UP000201241	0.1081	0.10605
UP000201243	0.07048	0.05412
UP000201250	0.16349	0.16861
UP000201252	0.14799	0.11908
UP000201254	0.45349	0.44877
UP000201255	0.09221	0.07826
UP000201256	0.46935	0.26847
UP000201276	0.22665	0.14094
UP000201282	0.26927	0.12277
UP000201285	0.20742	0.13191
UP000201288	0.16208	0.08625
UP000201290	0.1359	0.07802
UP000201298	0.0	0.0
UP000201324	0.19958	0.11911
UP000201331	0.08704	0.12454
UP000201335	0.12302	0.11019
UP000201337	0.11973	0.07115
UP000201345	0.05846	0.08576
UP000201347	0.02671	0.07328
UP000201350	0.33087	0.22306
UP000201351	0.10872	0.05933
UP000201352	0.10605	0.08806
UP000201354	0.09171	0.06182
UP000201356	0.06446	0.04696
UP000201358	0.10454	0.11331
UP000201360	0.19262	0.11942
UP000201362	0.07998	0.05553
UP000201364	0.21153	0.20339
UP000201365	0.1056	0.09646
UP000201367	0.06513	0.06313
UP000201371	0.10345	0.13641
UP000201372	0.0596	0.07469
UP000201375	0.06327	0.06146
UP000201377	0.0813	0.06038
UP000201378	0.12052	0.15321
UP000201382	0.03682	0.08119
UP000201389	0.14951	0.09711
UP000201390	0.69875	0.64463
UP000201391	0.08065	0.04365
UP000201392	0.18067	0.09781
UP000201401	0.0527	0.06009
UP000201403	0.05623	0.06814
UP000201404	0.18337	0.19253
UP000201408	0.2179	0.2161
UP000201409	0.11716	0.11716
UP000201414	0.09679	0.07372
UP000201421	0.42921	0.27404
UP000201426	0.03373	0.03232
UP000201432	0.16681	0.09935
UP000201434	0.05331	0.05331
UP000201440	0.08427	0.07771
UP000201442	0.12585	0.05689
UP000201450	0.24161	0.09462
UP000201451	0.14434	0.14434
UP000201458	0.1172	0.11911
UP000201461	0.06803	0.04889
UP000201471	0.06469	0.06446
UP000201477	0.11634	0.06897
UP000201481	0.06857	0.0419
UP000201484	0.23418	0.21702
UP000201497	0.13474	0.14007
UP000201500	0.23119	0.20543
UP000201503	0.10704	0.08652
UP000201504	0.09149	0.09288
UP000201506	0.21395	0.14554
UP000201511	0.2248	0.13704
UP000201517	0.52448	0.52417
UP000201520	0.03787	0.03787
UP000201545	0.071	0.07082
UP000201555	0.10223	0.1432
UP000201558	0.1356	0.19911
UP000201560	0.13131	0.13729
UP000201566	0.31303	0.2686
UP000201570	0.22786	0.10894
UP000201571	0.12563	0.10301
UP000201573	0.0	0.0
UP000201576	0.41303	0.21773
UP000201587	0.35176	0.28914
UP000201588	0.10653	0.10074
UP000201589	0.04752	0.03182
UP000201593	0.12517	0.11259
UP000201594	0.07379	0.06521
UP000201600	0.09101	0.05532
UP000201602	0.09652	0.1487
UP000201605	0.15198	0.15198
UP000201609	0.17099	0.09824
UP000201611	0.05075	0.05075
UP000201612	0.12821	0.1166
UP000201616	0.14051	0.13289
UP000201617	0.12187	0.15077
UP000201620	0.05928	0.05807
UP000201622	0.11225	0.09265
UP000201625	0.15148	0.09199
UP000201627	0.04795	0.05757
UP000201628	0.1747	0.10808
UP000201630	0.13712	0.0659
UP000201633	0.20815	0.15284
UP000201635	0.12952	0.14699
UP000201636	0.59913	0.38392
UP000201638	0.17375	0.17262
UP000201640	0.12073	0.12725
UP000201641	0.24466	0.21477
UP000201642	0.0968	0.07708
UP000201646	0.13425	0.07399
UP000201648	0.19199	0.19938
UP000201649	0.25735	0.11875
UP000201652	0.42038	0.42038
UP000201664	0.11603	0.1178
UP000201667	0.34589	0.34429
UP000201668	0.1608	0.11467
UP000201674	0.09599	0.06522
UP000201675	0.11848	0.05915
UP000201685	0.63281	0.77465
UP000201689	0.10696	0.08428
UP000201695	0.0628	0.0628
UP000201702	0.10138	0.08753
UP000201704	0.0	0.0
UP000201708	0.83582	0.83582
UP000201710	0.04786	0.04786
UP000201724	0.0	0.0
UP000201727	0.07376	0.06063
UP000201732	0.0	0.0
UP000201737	0.24084	0.1747
UP000201738	0.08716	0.06051
UP000201747	0.24802	0.19767
UP000201749	0.08538	0.14282
UP000201750	0.12948	0.15965
UP000201753	0.13962	0.11612
UP000201756	0.27089	0.22406
UP000201760	0.08613	0.07593
UP000201775	0.17541	0.0917
UP000201778	0.24421	0.18657
UP000201785	0.07384	0.07582
UP000201786	0.01897	0.01897
UP000201793	0.42966	0.4602
UP000201794	0.10883	0.10946
UP000201797	0.17519	0.11208
UP000201800	0.36395	0.37695
UP000201801	0.23094	0.22564
UP000201802	0.60591	0.543
UP000201810	0.28705	0.19895
UP000201811	0.09992	0.11584
UP000201818	0.12688	0.10891
UP000201831	0.29884	0.08323
UP000201835	0.11515	0.10737
UP000201839	0.35143	0.19654
UP000201844	0.26338	0.21883
UP000201846	0.18899	0.14632
UP000201858	0.23019	0.22752
UP000201861	0.18979	0.13655
UP000201867	0.15202	0.10428
UP000201871	0.05711	0.05027
UP000201874	0.09322	0.07614
UP000201875	0.05306	0.05306
UP000201880	0.28482	0.22052
UP000201881	0.10583	0.09313
UP000201894	0.20429	0.20429
UP000201898	0.0771	0.05583
UP000201900	0.39259	0.27749
UP000201907	0.23167	0.09624
UP000201911	0.0244	0.02881
UP000201915	0.1914	0.13336
UP000201917	0.16056	0.14427
UP000201918	0.22921	0.10435
UP000201921	0.09661	0.07653
UP000201928	0.06943	0.04957
UP000201933	0.13561	0.08826
UP000201939	0.0	0.0
UP000201940	0.0	0.0
UP000201945	0.06837	0.0491
UP000201950	0.16684	0.15135
UP000201953	0.3567	0.11856
UP000201962	0.2095	0.1174
UP000201968	0.26018	0.24334
UP000201971	0.17586	0.16314
UP000201975	0.14413	0.10506
UP000201978	0.14907	0.11977
UP000201982	0.19594	0.15599
UP000201983	0.08397	0.05941
UP000201999	0.17192	0.29496
UP000202006	0.06738	0.06738
UP000202016	0.77172	0.41179
UP000202017	0.17887	0.09251
UP000202022	0.30037	0.24134
UP000202023	0.1761	0.18285
UP000202030	0.19915	0.14299
UP000202037	0.24993	0.20579
UP000202039	0.14218	0.11513
UP000202041	0.0	0.0
UP000202056	0.07026	0.09077
UP000202059	0.04242	0.04895
UP000202065	0.0	0.0
UP000202069	0.17812	0.12347
UP000202070	0.18632	0.11681
UP000202076	0.07821	0.05897
UP000202078	0.04392	0.0557
UP000202079	0.04618	0.0371
UP000202081	0.19656	0.09039
UP000202086	0.25478	0.22754
UP000202089	0.28405	0.16553
UP000202093	0.08251	0.07478
UP000202107	0.22036	0.17262
UP000202110	0.09342	0.09918
UP000202111	0.10754	0.05522
UP000202114	0.09842	0.06301
UP000202115	0.09523	0.05911
UP000202117	0.10359	0.06678
UP000202129	0.15249	0.09883
UP000202131	0.0	0.0
UP000202136	0.13132	0.11324
UP000202139	0.05018	0.05018
UP000202152	0.06853	0.06847
UP000202156	0.33853	0.33853
UP000202158	0.17858	0.12346
UP000202160	0.14143	0.10131
UP000202166	0.2265	0.1473
UP000202170	0.15528	0.12781
UP000202174	0.20038	0.11331
UP000202176	0.13621	0.1252
UP000202181	0.09255	0.06752
UP000202182	0.32537	0.28041
UP000202183	0.06053	0.06053
UP000202185	0.60665	0.63337
UP000202189	0.1464	0.1368
UP000202190	0.0567	0.02817
UP000202195	0.10457	0.08144
UP000202205	0.0	0.0
UP000202209	0.13237	0.125
UP000202210	0.0	0.0
UP000202211	0.10873	0.10397
UP000202219	0.17869	0.14259
UP000202223	0.06614	0.11035
UP000202224	0.1952	0.13768
UP000202228	0.02342	0.02342
UP000202230	0.24179	0.19559
UP000202231	0.08609	0.04809
UP000202234	0.13433	0.13294
UP000202236	0.04965	0.04965
UP000202245	0.18811	0.22997
UP000202248	0.15983	0.143
UP000202249	0.22726	0.19089
UP000202250	0.0	0.0
UP000202254	0.11835	0.08392
UP000202258	0.3891	0.2713
UP000202279	0.17318	0.16501
UP000202282	0.15538	0.0966
UP000202299	0.16136	0.14854
UP000202302	0.01025	0.01447
UP000202304	0.07964	0.07417
UP000202306	0.21186	0.20367
UP000202308	0.26207	0.21887
UP000202309	0.21253	0.17275
UP000202319	1.0	1.0
UP000202345	0.47925	0.34419
UP000202348	0.14878	0.09843
UP000202349	0.0	0.0
UP000202356	0.0755	0.05805
UP000202364	0.07895	0.09551
UP000202365	0.06039	0.0494
UP000202373	0.13474	0.12628
UP000202375	0.15411	0.16337
UP000202383	0.13287	0.1224
UP000202391	0.07837	0.055
UP000202392	0.35821	0.22617
UP000202401	0.21673	0.14346
UP000202410	0.12252	0.1411
UP000202419	0.41908	0.27021
UP000202420	0.48543	0.33874
UP000202423	0.07758	0.11087
UP000202424	0.07094	0.05405
UP000202439	0.24688	0.19691
UP000202444	0.08233	0.0626
UP000202449	0.21529	0.11933
UP000202455	0.10986	0.16664
UP000202457	0.48881	0.40623
UP000202461	0.05118	0.06199
UP000202470	0.03992	0.02681
UP000202471	0.06986	0.057
UP000202475	0.21158	0.24872
UP000202476	0.0568	0.03652
UP000202480	0.02723	0.02723
UP000202481	0.03262	0.03262
UP000202488	0.0	0.0
UP000202489	0.0	0.0
UP000202492	0.17348	0.15595
UP000202495	0.09631	0.1623
UP000202496	0.1226	0.17319
UP000202498	0.04571	0.03188
UP000202508	0.07071	0.0791
UP000202511	0.41725	0.33023
UP000202514	0.2847	0.2611
UP000202516	0.18125	0.18125
UP000202528	0.27574	0.18307
UP000202530	0.0	0.0
UP000202531	0.17769	0.15195
UP000202538	0.03852	0.03852
UP000202540	0.25244	0.32293
UP000202542	0.0	0.0
UP000202544	0.11464	0.08863
UP000202545	0.0851	0.16603
UP000202558	0.1456	0.13379
UP000202560	0.07013	0.06789
UP000202565	0.15626	0.16342
UP000202568	0.08886	0.06979
UP000202573	0.1653	0.11991
UP000202574	0.37834	0.19352
UP000202576	0.13291	0.13708
UP000202578	0.18552	0.18122
UP000202583	0.1085	0.08588
UP000202591	0.04835	0.04835
UP000202594	0.19914	0.16112
UP000202599	0.04103	0.03232
UP000202604	0.26285	0.24321
UP000202608	0.16098	0.15179
UP000202611	0.08149	0.15577
UP000202613	0.07456	0.07738
UP000202616	0.08146	0.05331
UP000202618	0.0792	0.0763
UP000202619	0.12973	0.09058
UP000202621	0.156	0.156
UP000202622	0.04775	0.04775
UP000202629	0.19285	0.15222
UP000202634	0.04465	0.04465
UP000202644	0.21007	0.19395
UP000202649	0.0673	0.09898
UP000202651	0.13026	0.09109
UP000202658	0.0	0.0
UP000202659	0.0638	0.08183
UP000202660	0.1735	0.13278
UP000202662	0.12156	0.13341
UP000202663	0.19715	0.14512
UP000202675	0.23864	0.10106
UP000202678	0.0	0.0
UP000202679	0.15875	0.12582
UP000202685	0.20109	0.15265
UP000202687	0.29676	0.17971
UP000202689	0.05581	0.07662
UP000202694	0.01975	0.01975
UP000202695	0.17541	0.10975
UP000202698	0.08345	0.08345
UP000202699	0.13399	0.07977
UP000202706	0.16246	0.12513
UP000202709	0.3089	0.27409
UP000202715	0.14526	0.12163
UP000202718	0.17679	0.17679
UP000202719	0.18298	0.14874
UP000202731	0.18949	0.18949
UP000202735	0.14404	0.1698
UP000202740	0.18817	0.10297
UP000202743	0.23532	0.13631
UP000202746	0.11758	0.11758
UP000202749	0.06954	0.04854
UP000202753	0.0	0.0
UP000202758	0.34041	0.29062
UP000202759	0.07537	0.05713
UP000202763	0.08731	0.05502
UP000202764	0.25122	0.14492
UP000202771	0.16957	0.09687
UP000202779	0.14806	0.1434
UP000202782	0.10896	0.08555
UP000202784	0.17299	0.11642
UP000202786	0.17403	0.13099
UP000202790	0.2827	0.21055
UP000202812	0.40483	0.4048
UP000202819	0.1968	0.17474
UP000202837	0.03247	0.02722
UP000202841	0.03993	0.0327
UP000202842	0.21778	0.11139
UP000202857	0.10222	0.06408
UP000202859	0.18125	0.14297
UP000202870	0.20186	0.13052
UP000202873	0.1039	0.10619
UP000202874	0.20645	0.12298
UP000202879	0.38789	0.4473
UP000202901	0.0869	0.06169
UP000202904	0.03769	0.01685
UP000202906	0.28403	0.2336
UP000202917	0.11681	0.06277
UP000202921	0.15492	0.11126
UP000202923	0.07454	0.06507
UP000202925	0.06449	0.04814
UP000202926	0.26061	0.14371
UP000202932	0.09025	0.06872
UP000202935	0.15	0.15
UP000202937	0.18191	0.12358
UP000202946	0.08264	0.09756
UP000202948	0.05128	0.0389
UP000202956	0.14423	0.13703
UP000202958	0.10264	0.07183
UP000202959	0.05681	0.0447
UP000202962	0.14678	0.10287
UP000202963	0.12089	0.0776
UP000202964	0.12051	0.14495
UP000202982	0.0755	0.05395
UP000202983	0.0	0.0
UP000202990	0.08877	0.08478
UP000202993	0.10684	0.05996
UP000202995	0.08795	0.07637
UP000202999	0.11008	0.10722
UP000203012	0.17754	0.14992
UP000203019	0.13131	0.1066
UP000203025	0.2145	0.19183
UP000203030	0.0	0.0
UP000203033	0.13084	0.05613
UP000203038	0.12569	0.07528
UP000203046	0.29015	0.21438
UP000203053	0.20699	0.26923
UP000203054	0.0	0.0
UP000203057	0.10264	0.072
UP000203065	0.0872	0.08877
UP000203073	0.21502	0.17681
UP000203074	0.09122	0.05997
UP000203089	0.45864	0.17045
UP000203090	0.1227	0.20857
UP000203095	0.26328	0.21321
UP000203106	0.26281	0.23794
UP000203112	0.29062	0.22624
UP000203117	0.10997	0.1067
UP000203130	0.08789	0.04453
UP000203132	0.05791	0.05647
UP000203139	0.17903	0.14592
UP000203143	0.10477	0.09784
UP000203153	0.06778	0.13376
UP000203154	0.05146	0.05146
UP000203157	0.1713	0.09785
UP000203162	0.33342	0.09481
UP000203167	0.0	0.0
UP000203168	0.06939	0.09877
UP000203170	0.29773	0.1676
UP000203171	0.03153	0.04882
UP000203175	0.03347	0.03347
UP000203179	0.0625	0.07833
UP000203182	0.22727	0.20233
UP000203186	0.08571	0.0632
UP000203191	0.14255	0.0799
UP000203195	0.14728	0.12772
UP000203196	0.2938	0.28559
UP000203210	0.01238	0.01313
UP000203219	0.0645	0.06831
UP000203221	0.14164	0.10683
UP000203224	0.11109	0.08723
UP000203227	0.26407	0.26746
UP000203236	1.0	1.0
UP000203240	0.15327	0.1349
UP000203247	0.01902	0.02103
UP000203255	0.0	0.0
UP000203260	0.2	0.2
UP000203261	0.08668	0.09595
UP000203267	0.02728	0.02495
UP000203269	0.12558	0.0776
UP000203270	0.05868	0.06423
UP000203272	0.22645	0.22635
UP000203282	0.14262	0.09378
UP000203286	0.34146	0.34146
UP000203289	0.22768	0.1283
UP000203291	0.21982	0.17925
UP000203302	0.08746	0.06244
UP000203308	0.15754	0.08755
UP000203309	0.15561	0.15561
UP000203313	0.05115	0.05921
UP000203316	0.13257	0.11617
UP000203319	0.09796	0.07751
UP000203329	0.21716	0.1328
UP000203331	0.02374	0.0281
UP000203336	0.05983	0.04145
UP000203343	0.05139	0.01915
UP000203351	0.10728	0.10728
UP000203352	0.04648	0.04648
UP000203354	0.10207	0.06964
UP000203357	0.145	0.17511
UP000203359	0.14576	0.11158
UP000203365	0.49155	0.33832
UP000203366	0.13609	0.11532
UP000203367	0.192	0.192
UP000203390	0.23186	0.18784
UP000203399	0.0649	0.04928
UP000203402	0.59253	0.5654
UP000203403	0.28596	0.20672
UP000203404	0.09542	0.05686
UP000203405	0.17609	0.19482
UP000203410	0.13193	0.09477
UP000203413	0.15214	0.13314
UP000203417	0.11643	0.06941
UP000203427	0.15144	0.09478
UP000203433	0.16736	0.10151
UP000203445	0.18578	0.14399
UP000203449	0.37841	0.32224
UP000203452	0.08575	0.10014
UP000203453	0.14552	0.20386
UP000203455	0.04343	0.04343
UP000203457	0.04914	0.04914
UP000203458	0.07194	0.13088
UP000203465	0.20987	0.19844
UP000203468	0.07829	0.06266
UP000203471	0.03203	0.03203
UP000203474	0.20967	0.12397
UP000203476	0.15393	0.09167
UP000203478	0.15781	0.10237
UP000203480	0.05367	0.03499
UP000203482	0.21028	0.14394
UP000203485	0.43637	0.27554
UP000203488	0.02269	0.02269
UP000203498	0.17711	0.06653
UP000203500	0.0	0.0
UP000203504	0.06561	0.06019
UP000203507	0.21498	0.14582
UP000203510	0.04965	0.04965
UP000203517	0.53635	0.46008
UP000203518	0.30138	0.08426
UP000203521	0.13751	0.09286
UP000203523	0.33607	0.1808
UP000203529	0.21899	0.21899
UP000203533	0.1378	0.2107
UP000203537	0.36103	0.42262
UP000203548	0.03859	0.03859
UP000203549	0.1091	0.08716
UP000203551	0.234	0.18572
UP000203557	0.09085	0.08953
UP000203558	0.04969	0.04969
UP000203576	0.07024	0.13109
UP000203584	0.53875	0.53875
UP000203585	0.1598	0.10839
UP000203587	0.11452	0.07995
UP000203592	0.37658	0.40017
UP000203594	0.10661	0.12776
UP000203595	0.04828	0.0796
UP000203603	0.10616	0.16265
UP000203604	0.08232	0.06136
UP000203605	0.05406	0.10601
UP000203607	0.19274	0.19274
UP000203609	0.13459	0.13889
UP000203612	0.04718	0.02641
UP000203614	0.15166	0.09261
UP000203617	0.07428	0.09011
UP000203629	0.0416	0.04248
UP000203637	0.08504	0.05557
UP000203646	0.08873	0.08077
UP000203648	0.22952	0.21779
UP000203669	0.11407	0.06456
UP000203676	0.15477	0.1109
UP000203699	0.0	0.0
UP000203708	0.06205	0.20352
UP000203709	0.0559	0.03097
