organism_id	fraction_disorder_per_protein	fraction_disorder_total_proteome
UP000052081	0.32455	0.33913
UP000052083	0.11706	0.17923
UP000052084	0.32751	0.29182
UP000052085	0.43374	0.41914
UP000052088	0.22948	0.18884
UP000052089	0.39739	0.42993
UP000052090	0.32365	0.35568
UP000052091	0.46342	0.40728
UP000052092	0.39518	0.40594
UP000052093	0.21838	0.27754
UP000052094	0.37453	0.41561
UP000052095	0.46331	0.33765
UP000052096	0.31793	0.36521
UP000052097	0.3807	0.45806
UP000052098	0.35535	0.37655
UP000052099	0.34536	0.31715
UP000052100	0.47179	0.41722
UP000052101	0.47872	0.46623
UP000052102	0.51319	0.37525
UP000052107	0.14057	0.14057
UP000052108	0.21599	0.21599
UP000052109	0.17318	0.17318
UP000095862	0.19346	0.11775
UP000096186	0.19061	0.11938
UP000096441	0.13098	0.07636
UP000096661	0.40535	0.41929
UP000096793	0.2589	0.14523
UP000096870	0.47578	0.44397
UP000097481	0.25008	0.25468
UP000097513	0.24659	0.17664
UP000097651	0.28642	0.16413
UP000099447	0.35571	0.32444
UP000099931	0.3588	0.34012
UP000099940	0.03388	0.0359
UP000099969	0.19315	0.12294
UP000100280	0.28955	0.33204
UP000101375	0.3487	0.33783
UP000101403	0.39794	0.40367
UP000101546	0.08747	0.06947
UP000101696	0.29841	0.25788
UP000101963	0.3243	0.39574
UP000102036	0.0	0.0
UP000102297	0.43218	0.38693
UP000102623	0.37405	0.30298
UP000102742	0.35615	0.36923
UP000103020	0.31128	0.37156
UP000103378	0.14862	0.11246
UP000103719	0.39632	0.4135
UP000103742	0.153	0.11457
UP000103794	0.1364	0.0501
UP000103806	0.34033	0.30995
UP000104464	0.36859	0.3122
UP000106096	0.25188	0.20095
UP000106331	0.39256	0.33433
UP000106895	0.21829	0.18903
UP000107061	0.42986	0.38064
UP000107063	0.36518	0.35013
UP000107207	0.17095	0.09711
UP000107687	0.35354	0.37848
UP000108270	0.22053	0.1228
UP000108288	0.27488	0.3013
UP000108682	0.24493	0.27696
UP000108982	0.49701	0.42948
UP000109002	0.25272	0.25877
UP000109295	0.11215	0.11215
UP000109801	0.08326	0.05529
UP000110085	0.10452	0.04292
UP000110240	0.21107	0.20582
UP000110829	0.34965	0.41047
UP000110898	0.20132	0.05378
UP000110985	0.38681	0.38053
UP000111445	0.63986	0.51711
UP000111451	0.37025	0.38153
UP000111499	0.45624	0.43239
UP000111791	0.14928	0.14928
UP000112084	0.43039	0.39789
UP000112284	0.40315	0.41027
UP000112710	0.35976	0.3575
UP000113124	0.44641	0.4028
UP000113393	0.17035	0.11943
UP000113401	0.31422	0.34577
UP000113513	0.37915	0.36691
UP000113705	0.40317	0.41267
UP000113835	0.27729	0.25384
UP000114582	0.25312	0.27819
UP000114585	0.26541	0.16235
UP000114966	0.39403	0.39041
UP000115701	0.09393	0.06756
UP000116758	0.36971	0.35445
UP000117015	0.39561	0.40149
UP000118015	0.36073	0.36577
UP000118722	0.36996	0.19129
UP000119221	0.18835	0.11797
UP000119242	0.4313	0.42971
UP000119411	0.35014	0.33306
UP000120507	0.30317	0.30899
UP000120723	0.40116	0.39416
UP000120748	0.35279	0.36641
UP000121137	0.39244	0.40394
UP000121690	0.36111	0.3986
UP000121961	0.0	0.0
UP000122610	0.48455	0.43711
UP000122992	0.21371	0.17816
UP000123282	0.26442	0.11126
UP000123284	0.35154	0.33485
UP000123590	0.45181	0.42526
UP000123609	0.47032	0.45911
UP000123725	0.42518	0.50955
UP000124656	0.19605	0.06511
UP000125000	0.36643	0.4099
UP000125409	0.09062	0.09062
UP000125468	0.24257	0.27675
UP000125519	0.42612	0.39762
UP000126093	0.34383	0.38415
UP000126130	0.25473	0.13218
UP000126502	0.21943	0.06026
UP000126963	0.30492	0.23185
UP000127207	0.19068	0.33921
UP000127392	0.30672	0.29158
UP000127630	0.12591	0.06057
UP000127867	0.42224	0.42656
UP000129101	0.28779	0.27244
UP000129308	0.47691	0.46382
UP000129376	0.32881	0.29649
UP000129753	0.37495	0.36929
UP000129778	0.12872	0.11823
UP000129924	0.32343	0.30351
UP000129991	0.03268	0.04816
UP000130113	0.38801	0.40099
UP000130688	0.42444	0.45314
UP000131008	0.36898	0.35494
UP000131287	0.32982	0.21108
UP000132079	0.21072	0.12016
UP000132096	0.13785	0.04925
UP000132112	0.33651	0.30578
UP000132751	0.24823	0.30766
UP000132946	0.27609	0.29365
UP000133604	0.28381	0.15332
UP000134420	0.35745	0.38148
UP000134568	0.41415	0.43988
UP000134610	0.24784	0.16847
UP000134698	0.07829	0.07687
UP000134915	0.38823	0.39372
UP000136220	0.32423	0.22245
UP000136351	0.36569	0.3643
UP000136359	0.37543	0.3873
UP000136605	0.37436	0.27584
UP000136985	0.28672	0.15877
UP000137149	0.0	0.0
UP000137777	0.06379	0.05001
UP000138843	0.47566	0.42886
UP000139829	0.39835	0.41342
UP000139850	0.31386	0.35101
UP000140463	0.33225	0.31081
UP000140763	0.2441	0.2559
UP000141459	0.27547	0.28907
UP000142129	0.27793	0.19301
UP000142218	0.4598	0.41645
UP000142472	0.34454	0.34578
UP000143347	0.37547	0.42394
UP000143524	0.1067	0.03492
UP000143765	0.28272	0.16511
UP000144012	0.39121	0.22745
UP000144169	0.38998	0.18486
UP000144177	0.08853	0.03416
UP000144454	0.3905	0.39719
UP000144694	0.39163	0.40162
UP000144778	0.16078	0.05167
UP000145001	0.1919	0.23066
UP000145193	0.39871	0.38894
UP000145823	0.17789	0.09223
UP000146474	0.3566	0.39468
UP000147201	0.29668	0.35422
UP000147477	0.40573	0.39379
UP000148062	0.43876	0.41946
UP000148789	0.17324	0.14569
UP000148971	0.48365	0.41909
UP000149085	0.14911	0.11185
UP000149549	0.13577	0.10412
UP000149637	0.38726	0.39205
UP000150093	0.37312	0.43796
UP000150460	0.27468	0.22396
UP000151180	0.1323	0.04341
UP000151521	0.36809	0.27919
UP000151954	0.37748	0.30464
UP000152287	0.0	0.0
UP000152522	0.35844	0.30955
UP000153366	0.55511	0.45768
UP000153518	0.21887	0.21441
UP000153626	0.42747	0.3638
UP000153628	0.14156	0.06714
UP000153735	0.291	0.14995
UP000153748	0.38088	0.40721
UP000154097	0.33436	0.37264
UP000154424	0.34761	0.3993
UP000154662	0.22449	0.1582
UP000155350	0.28929	0.24916
UP000155887	0.30007	0.23111
UP000156013	0.24881	0.2114
UP000156843	0.32809	0.30865
UP000156860	0.37517	0.37885
UP000157060	0.24974	0.41889
UP000157184	0.1548	0.10091
UP000158064	0.388	0.39174
UP000158899	0.22708	0.24817
UP000158963	0.06035	0.07215
UP000159394	0.40504	0.41146
UP000161261	0.19206	0.27372
UP000162055	0.38994	0.43491
UP000162058	0.26438	0.1924
UP000162673	0.05909	0.05909
UP000162802	0.57017	0.39018
UP000163734	0.42574	0.40265
UP000164175	0.49515	0.46353
UP000164482	0.39843	0.40293
UP000164817	0.36753	0.39919
UP000166347	0.30288	0.34058
UP000166452	0.11659	0.05273
UP000166619	0.08919	0.04791
UP000167195	0.25675	0.27825
UP000167269	0.27431	0.29315
UP000167318	0.36811	0.36002
UP000167412	0.21173	0.14487
UP000168289	0.30784	0.26586
UP000169932	0.31463	0.32772
UP000170379	0.26335	0.24769
UP000170672	0.31195	0.14583
UP000170803	0.23176	0.25215
UP000171007	0.47101	0.43961
UP000171215	0.39743	0.44281
UP000171261	0.34568	0.35777
UP000171341	0.38463	0.38618
UP000171862	0.38214	0.4081
UP000172276	0.19088	0.13096
UP000172383	0.37858	0.39289
UP000172444	0.28437	0.19384
UP000172497	0.1336	0.0897
UP000174148	0.39158	0.44715
UP000174423	0.20562	0.06858
UP000174569	0.15056	0.04741
UP000174731	0.12493	0.17745
UP000174756	0.29547	0.36488
UP000174880	0.73973	0.66146
UP000180764	0.26638	0.22389
UP000180906	0.31991	0.19799
UP000180955	0.2745	0.21905
UP000185274	0.34472	0.28635
UP000185275	0.57454	0.3937
UP000201042	0.00941	0.00941
UP000201047	0.12517	0.12517
UP000201057	0.10127	0.10127
UP000201063	0.2089	0.2089
UP000201092	0.07352	0.07352
UP000201157	0.34149	0.25
UP000201168	0.32563	0.23599
UP000201178	0.17015	0.17015
UP000201188	0.05562	0.05562
UP000201189	0.41263	0.30899
UP000201224	0.29123	0.22909
UP000201231	0.03115	0.03115
UP000201245	0.1253	0.1253
UP000201273	0.11277	0.11277
UP000201277	0.13372	0.13372
UP000201280	0.18457	0.09271
UP000201302	0.06422	0.06422
UP000201303	0.24414	0.19321
UP000201306	0.41712	0.31317
UP000201315	0.09723	0.09723
UP000201498	0.35559	0.40607
UP000201532	0.14505	0.14505
UP000201557	0.34708	0.39768
UP000201565	0.36565	0.28528
UP000201578	0.09908	0.09908
UP000201614	0.03317	0.03317
UP000201615	0.11432	0.11432
UP000201631	0.4021	0.29169
UP000201639	0.08014	0.08014
UP000201703	0.41173	0.30969
UP000201705	0.13178	0.13178
UP000201720	0.05749	0.05749
UP000201734	0.36799	0.27646
UP000201740	0.28319	0.25293
UP000201779	0.43492	0.30571
UP000201830	0.26224	0.1982
UP000201834	0.38521	0.30557
UP000201863	0.16794	0.0861
UP000201864	0.27509	0.21456
UP000201877	0.09985	0.09985
UP000201882	0.18453	0.18453
UP000201909	0.41161	0.31457
UP000201910	0.12417	0.1332
UP000201936	0.23028	0.16301
UP000201947	0.11588	0.11588
UP000201980	0.04447	0.04447
UP000201998	0.20566	0.20566
UP000202003	0.63473	0.23833
UP000202032	0.20346	0.20346
UP000202038	0.115	0.115
UP000202046	0.09071	0.09071
UP000202058	0.09344	0.09344
UP000202064	0.11161	0.11161
UP000202067	0.15233	0.15233
UP000202092	0.06878	0.06878
UP000202099	0.43445	0.32589
UP000202100	0.09557	0.05094
UP000202103	0.11601	0.11601
UP000202127	0.09204	0.09204
UP000202162	0.35547	0.28387
UP000202164	0.07252	0.07252
UP000202225	0.21245	0.125
UP000202261	0.33702	0.23049
UP000202305	0.05026	0.05026
UP000202318	0.0809	0.0809
UP000202331	0.07446	0.07446
UP000202343	0.1242	0.1242
UP000202359	0.00564	0.00564
UP000202382	0.32902	0.38663
UP000202393	0.00529	0.00529
UP000202403	0.03984	0.05065
UP000202435	0.09506	0.09506
UP000202460	0.11404	0.11404
UP000202512	0.09429	0.09429
UP000202537	0.02115	0.02115
UP000202572	0.14336	0.14336
UP000202584	0.06624	0.06624
UP000202586	0.06269	0.06269
UP000202601	0.08898	0.08898
UP000202647	0.1098	0.1098
UP000202650	0.32358	0.25657
UP000202674	0.11943	0.11943
UP000202680	0.08358	0.08358
UP000202692	0.06092	0.06092
UP000202701	0.347	0.25296
UP000202716	0.34364	0.23989
UP000202726	0.10633	0.10633
UP000202760	0.10079	0.10079
UP000202813	0.1652	0.1652
UP000202815	0.34893	0.34893
UP000202845	0.03709	0.03709
UP000202868	0.17044	0.17044
UP000202892	0.19516	0.19516
UP000202893	0.13127	0.13127
UP000202899	0.05872	0.05872
UP000202907	0.37347	0.25943
UP000202924	0.35025	0.25545
UP000202945	0.07757	0.07757
UP000202952	0.24349	0.24349
UP000202980	0.15517	0.15517
UP000202985	0.00505	0.00505
UP000203080	0.10135	0.10135
UP000203108	0.09211	0.09211
UP000203110	0.05977	0.05977
UP000203116	0.05422	0.05422
UP000203118	0.38966	0.28364
UP000203134	0.00815	0.00815
UP000203145	0.08558	0.08558
UP000203156	0.13589	0.13589
UP000203177	0.40784	0.46602
UP000203188	0.29721	0.20793
UP000203209	0.07353	0.07353
UP000203211	0.10115	0.10115
UP000203220	0.06657	0.06657
UP000203233	0.05625	0.05625
UP000203312	0.62074	0.62074
UP000203322	0.07683	0.07683
UP000203362	0.0674	0.06055
UP000203421	0.04411	0.04411
UP000203450	0.20499	0.15932
UP000203460	0.03342	0.03342
UP000203473	0.0	0.0
UP000203481	0.34523	0.25
UP000203619	0.34852	0.2769
UP000203625	0.07735	0.07735
UP000203655	0.01944	0.01944
UP000203662	0.2886	0.22455
UP000203665	0.12789	0.07427
UP000203716	0.27652	0.22901
UP000203719	0.11796	0.11796
UP000203720	0.25213	0.19938
UP000203802	0.16516	0.16516
UP000203808	0.34065	0.25944
UP000203839	0.10056	0.10056
UP000203848	0.05318	0.05318
UP000203866	0.32965	0.2396
UP000203870	0.35047	0.25701
UP000203874	0.38623	0.38623
UP000203953	0.3219	0.28176
UP000204000	0.26074	0.16897
UP000204045	0.07293	0.07293
UP000204047	0.04399	0.04399
UP000204123	0.16449	0.16449
UP000204130	0.25267	0.19956
UP000204132	0.3232	0.26775
UP000204161	0.01017	0.01017
UP000204172	0.44682	0.34533
UP000204209	0.0	0.0
UP000204223	0.13784	0.13784
UP000204247	0.06144	0.06144
UP000204326	0.36789	0.30335
UP000204337	0.34828	0.25273
UP000204340	0.2531	0.2531
UP000204345	0.32702	0.29596
UP000204346	0.03788	0.03788
UP000204355	0.12101	0.12101
UP000204356	0.32994	0.23271
UP000204360	0.09872	0.09872
UP000204383	0.07394	0.07394
UP000204394	0.34645	0.25318
UP000204396	0.12377	0.12377
UP000204400	0.08221	0.08221
UP000204423	0.30351	0.37723
UP000204432	0.32067	0.28232
UP000204442	0.24603	0.2002
UP000204448	0.19151	0.32953
UP000204531	0.27159	0.27159
UP000204539	0.19868	0.14167
UP000204601	0.07621	0.07621
UP000204610	0.05069	0.05069
UP000204620	0.0	0.0
UP000204639	0.19837	0.19837
UP000204655	0.05684	0.05684
UP000204656	0.33414	0.27964
UP000207604	0.04651	0.03667
UP000207625	0.12056	0.12056
UP000207667	0.33329	0.2307
UP000207688	0.26507	0.24903
UP000207751	0.32146	0.23063
UP000208070	0.40495	0.31588
UP000208084	0.05554	0.05554
UP000211161	0.0	0.0
UP000213380	0.07222	0.07251
UP000217270	0.32543	0.26304
UP000217300	0.39876	0.38538
UP000217306	0.39689	0.45777
UP000217347	0.07866	0.08321
UP000218191	0.12334	0.12334
UP000221556	0.13312	0.09954
UP000225550	0.12121	0.09085
UP000226207	0.12717	0.08251
UP000232240	0.05666	0.05666
UP000232260	0.32014	0.11005
UP000232463	0.49205	0.36667
UP000232487	0.43512	0.32947
UP000232512	0.21612	0.22691
UP000232526	0.34744	0.24632
UP000232610	0.36089	0.25023
UP000232622	0.35694	0.24907
UP000232630	0.31699	0.22059
UP000232692	0.15494	0.07036
UP000232699	0.33312	0.23084
