Proteome Id	Organism Id
UP000148290	305677
UP000148647	1070409
UP000148971	2050037
UP000149637	37115
UP000150460	1264898
UP000151954	28284
UP000152287	1692251
UP000152522	1091166
UP000153037	10377
UP000153366	1144381
UP000153626	1214955
UP000153628	1590370
UP000153735	2560313
UP000153748	2259334
UP000154097	1315266
UP000154424	664730
UP000154662	37131
UP000155058	862945
UP000155275	3052480
UP000155350	10534
UP000155887	996650
UP000156013	312027
UP000156418	467989
UP000156843	1070417
UP000157060	1503288
UP000158064	37956
UP000158327	422134
UP000158899	1969700
UP000158963	1891770
UP000159394	1513269
UP000161261	1288116
UP000162055	1887218
UP000162058	3052342
UP000162202	11216
UP000162335	338327
UP000162673	1641896
UP000162802	1002273
UP000163097	123595
UP000163232	2560317
UP000163734	247269
UP000164482	1816787
UP000164817	656889
UP000166347	2847277
UP000166452	582817
UP000166619	693998
UP000167195	1756445
UP000167269	1545700
UP000167318	909332
UP000167412	1170234
UP000168289	40539
UP000170672	663281
UP000170803	453460
UP000171007	2759889
UP000171123	2758381
UP000171189	909210
UP000171261	1887214
UP000171341	37120
UP000171583	10598
UP000171862	931209
UP000172138	126070
UP000172276	1112597
UP000172383	333772
UP000172497	2560318
UP000174140	1587849
UP000174148	2848316
UP000174731	1699360
UP000174756	1070324
UP000174880	1548711
UP000180764	648242
UP000180906	2593991
UP000180955	1487796
UP000185274	2758957
UP000185275	146032
UP000201047	1746073
UP000201057	1746072
UP000201063	1923091
UP000201107	223275
UP000201168	222459
UP000201176	1923246
UP000201178	1923092
UP000201188	1923625
UP000201231	1923107
UP000201242	1685730
UP000201245	1923090
UP000201268	390440
UP000201273	1922608
UP000201277	1922607
UP000201280	1213198
UP000201302	1922768
UP000201303	11612
UP000201306	223300
UP000201315	1922604
UP000201393	2016453
UP000201498	2016454
UP000201532	1922612
UP000201557	10571
UP000201578	1922535
UP000201614	1922990
UP000201615	1922641
UP000201639	1923595
UP000201705	1923698
UP000201720	1923657
UP000201740	10837
UP000201768	1923151
UP000201777	1746061
UP000201830	1174526
UP000201834	1812308
UP000201842	1922930
UP000201863	1587515
UP000201864	1196236
UP000201877	1923447
UP000201882	1923487
UP000201909	1931111
UP000201936	1571533
UP000201947	1923608
UP000201954	1774200
UP000201980	1922999
UP000201985	1302850
UP000201998	1922552
UP000202003	11987
UP000202009	1778570
UP000202032	1922601
UP000202033	1317107
UP000202038	1922558
UP000202046	1923089
UP000202064	1923417
UP000202067	1746058
UP000202092	1923636
UP000202099	674996
UP000202100	1508228
UP000202103	1923607
UP000202127	1746074
UP000202164	1923418
UP000202225	1249648
UP000202261	1303385
UP000202305	1923752
UP000202318	1923121
UP000202331	1923127
UP000202343	1923128
UP000202359	1922592
UP000202382	1335476
UP000202393	1922925
UP000202403	1213620
UP000202435	1922602
UP000202460	1923148
UP000202512	2870364
UP000202537	1923450
UP000202556	1843772
UP000202572	1922997
UP000202579	1685731
UP000202584	1922835
UP000202586	1923350
UP000202601	1923534
UP000202647	1922634
UP000202650	486809
UP000202674	1922707
UP000202700	1746062
UP000202703	1923168
UP000202726	1922606
UP000202760	1922554
UP000202813	1923243
UP000202815	1922613
UP000202845	1923669
UP000202868	1922782
UP000202892	1923247
UP000202893	1923245
UP000202899	1922717
UP000202931	555460
UP000202945	1922826
UP000202952	1923609
UP000202980	1922498
UP000202985	1923622
UP000202988	1923714
UP000203070	393599
UP000203080	1923751
UP000203098	1685734
UP000203108	1923706
UP000203110	1923132
UP000203145	1923635
UP000203177	1912759
UP000203209	1923122
UP000203211	1923597
UP000203220	1923632
UP000203232	207240
UP000203262	1923717
UP000203276	1046573
UP000203311	1532882
UP000203312	1746064
UP000203322	1923440
UP000203362	1608095
UP000203381	390437
UP000203444	1227356
UP000203450	1738045
UP000203460	1922600
UP000203499	915428
UP000203509	1922597
UP000203524	1504732
UP000203571	377610
UP000203619	559878
UP000203625	1923113
UP000203655	1922378
UP000203716	1868659
UP000203719	1922379
UP000203720	1302849
UP000203802	1923610
UP000203808	509532
UP000203839	1923405
UP000203843	293284
UP000203848	1923536
UP000203866	1241370
UP000203874	1923252
UP000203953	390438
UP000204000	159122
UP000204001	908127
UP000204045	1923630
UP000204047	1923000
UP000204063	290030
UP000204072	1923408
UP000204117	340921
UP000204123	1746059
UP000204127	1923612
UP000204128	1923537
UP000204130	627503
UP000204161	1922377
UP000204191	1922499
UP000204223	1923253
UP000204247	1923116
UP000204340	1923145
UP000204345	292477
UP000204355	1923111
UP000204375	220932
UP000204383	1923126
UP000204396	1922861
UP000204423	1335477
UP000204432	418448
UP000204442	269301
UP000204448	1508224
UP000204467	1923144
UP000204505	1737555
UP000204508	2016467
UP000204526	1685728
UP000204531	1923716
UP000204539	1983777
UP000204563	222450
UP000204600	1923124
UP000204601	1923407
UP000204610	2169853
UP000204639	1922794
UP000204656	1492296
UP000205120	393174
UP000207604	42478
UP000207624	1030595
UP000207625	1923129
UP000207686	1922611
UP000208070	302100
UP000208083	1922615
UP000208084	1923631
UP000208085	1778573
UP000208093	1843763
UP000211161	12445
UP000217275	35341
UP000217278	223284
UP000217300	2025339
UP000217306	2025338
UP000218191	1930508
UP000221556	10967
UP000225550	73036
UP000226207	672377
