Q9T014	copy_number:373.2523596
Q9CAA7	copy_number:373.7713931
F4JQ51	copy_number:374.835404
Q8S8P5	copy_number:375.366402
Q9M2C8	copy_number:376.67538
Q8W4H1	copy_number:376.756709
Q9FH67	copy_number:377.3250064
Q9SXD9	copy_number:378.2746549
Q9LM73	copy_number:378.36468
Q3E989	copy_number:378.5475293
Q9C699	copy_number:378.7305555
O65573	copy_number:378.8442009
Q0WTF4	copy_number:378.96126
Q9LJJ1	copy_number:379.4228425
Q1PEI6	copy_number:380.0577592
Q9SCP4	copy_number:380.5732978
Q9SHK2	copy_number:382.1501121
Q9ZV29	copy_number:384.1315217
Q9MA50	copy_number:384.7912765
Q9ZV28	copy_number:385.4020826
Q8W1D5	copy_number:386.283
Q9FLJ6	copy_number:386.3831379
Q5XPK0	copy_number:386.5111673
O23086	copy_number:386.6093343
Q5FV41	copy_number:386.9641253
Q9XIA2	copy_number:388.3525792
Q9M0G7	copy_number:388.5504874
Q9ATY5	copy_number:388.6650593
Q9FFE8	copy_number:389.4964053
Q94KB2	copy_number:389.753156
Q9SIN9	copy_number:390.7807064
Q9M8L5	copy_number:392.2820362
Q8L616	copy_number:392.9571599
Q9XI77	copy_number:393.9915709
B7SY83	copy_number:394.4731169
Q9M1D8	copy_number:395.8445204
Q9FKF0	copy_number:396.3628137
O23210	copy_number:396.3759898
Q9SGQ0	copy_number:396.8780627
F4KEM0	copy_number:396.9397184
Q9MA56	copy_number:397.8299833
Q93Z04	copy_number:397.9878509
Q9LXR0	copy_number:398.0727381
Q9ZUI0	copy_number:398.2341234
Q9LVT3	copy_number:398.4540692
Q7X9B9	copy_number:400.1373599
Q9FGL5	copy_number:400.1388518
Q9SCP2	copy_number:400.4778184
Q9SEZ7	copy_number:400.7941569
Q9SUT8	copy_number:401.3592733
Q9S9U3	copy_number:402.4022359
Q8W4K5	copy_number:402.4180801
Q9MAG8	copy_number:404.4008535
Q9FLV4	copy_number:404.4084733
Q949P1	copy_number:404.6783997
F4I131	copy_number:404.7009099
Q9LT72	copy_number:405.2292809
Q9ZPS0	copy_number:405.8867947
