Q9LY06	copy_number:289.1409294
Q9FM17	copy_number:289.2291829
Q8L7W1	copy_number:289.3013062
Q56Y74	copy_number:289.3566902
F4JG84	copy_number:290.0057131
Q683D2	copy_number:290.5305709
Q9LTS7	copy_number:290.6529307
Q9FN83	copy_number:291.3099627
A0A1P8AT22	copy_number:292.01049
F4JCB3	copy_number:292.7433401
Q6Q4D0	copy_number:293.0471136
Q9MA85	copy_number:293.4983388
O22781	copy_number:294.6268423
A0A178UIW1	copy_number:295.1020181
O04533	copy_number:296.2249215
Q9SA32	copy_number:296.3811813
Q9M8X0	copy_number:296.6306384
Q9LZM4	copy_number:296.6663094
A0A1I9LTS2	copy_number:296.9148092
F4IIK4	copy_number:297.0689197
Q9FG48	copy_number:297.4314007
Q9ZT78	copy_number:298.2257237
Q9XIN0	copy_number:299.0505492
A0A2H1ZEL2	copy_number:299.5284084
Q8L7S5	copy_number:299.7086796
Q8RWZ0	copy_number:300.6613073
Q9SLD0	copy_number:301.9879533
F4HZZ0	copy_number:302.1197311
Q9LQ16	copy_number:302.3678702
Q9CAM8	copy_number:303.1930981
A0A1P8B581	copy_number:303.6542234
Q949N7	copy_number:304.0353322
Q8RWD7	copy_number:304.4484893
F4K2K9	copy_number:304.9550347
A0A1I9LLD7	copy_number:305.634217
O80970	copy_number:305.7687613
F4IAF4	copy_number:306.0661364
A0A2H1ZEN7	copy_number:306.2119829
Q8GV43	copy_number:306.4472016
O65434	copy_number:306.5167872
A0A1I9LQQ3	copy_number:307.1361308
Q9LXF4	copy_number:307.473389
Q3EDA9	copy_number:308.0725067
Q9ASZ8	copy_number:308.2339939
A0A1P8BE51	copy_number:308.2888939
Q94AX9	copy_number:308.6297993
Q9C9Z7	copy_number:309.2871331
F4JP07	copy_number:309.2982759
O65435	copy_number:310.6331638
O80569	copy_number:311.4960512
A0A1I9LMH8	copy_number:311.9306552
F4IIS8	copy_number:312.1756533
Q9FLL8	copy_number:312.2169779
Q9FL35	copy_number:312.252862
Q9SYK5	copy_number:312.4264938
O04086	copy_number:313.2362882
Q8GX47	copy_number:314.553358
Q9ZW11	copy_number:314.6326699
F4I6D6	copy_number:315.3334551
Q9LQE3	copy_number:315.8011429
A0A1P8B9H8	copy_number:315.805325
Q9LSB0	copy_number:316.093222
Q9ZW70	copy_number:316.2753468
A0A1P8AYS5	copy_number:316.568304
Q9SMY6	copy_number:316.8332718
O64728	copy_number:317.2589883
Q9SNE9	copy_number:317.3518704
Q9M2H2	copy_number:318.4324404
