#File Plotted Below: ash1_clean.dat,,,,,,,,,,
,,,,,,,,,,
    #Fit from 0.01-0.15 with polymer MFF,,,,,,,,,,
#Initial search parameter for I0 = 0.0059051,,,,,,,,,,
#Initial search parameter for Rg = 30.000000000000004,,,,,,,,,,
#Initial search parameter for nu = 0.499880565034448,,,,,,,,,,
#BestFit for I0 = 0.00687 +- 0.00005,,,,,,,,,,
#BestFit for I(0)/I0 = 1.00000 +- 0.00713,,,,,,,,,,
#BestFit for Rg = 28.95619 +- 0.20125,,,,,,,,,,
#BestFit for nu = 0.60280 +- 0.00759,,,,,,,,,,
#BestFit reduced chisquared = 0.57016,,,,,,,,,,
#-------------,,,,,,,,,,
#-------------,,,,,,,,,,
,,,,,,,,,,
    #q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.099,0.00143,0.00008,0.00137,0.20815,0.01224,0.1987,2.86666,1.71052,0.1006,1.63284
0.1,0.00127,0.00009,0.00134,0.18508,0.01272,0.1953,2.89562,1.55181,0.10661,1.63755
0.101,0.00122,0.00009,0.00132,0.17787,0.01272,0.192,2.92458,1.52137,0.10876,1.6422
0.102,0.00127,0.00009,0.0013,0.18471,0.01268,0.18878,2.95353,1.61132,0.11058,1.64678
0.103,0.00121,0.0001,0.00128,0.17598,0.01466,0.18564,2.98249,1.56539,0.13038,1.65129
0.104,0.00118,0.00009,0.00125,0.17198,0.01369,0.18257,3.01144,1.55963,0.12418,1.65572
0.105,0.00124,0.00011,0.00123,0.18035,0.0154,0.17958,3.0404,1.66714,0.14236,1.66008
0.106,0.00121,0.00007,0.00121,0.17554,0.01059,0.17667,3.06936,1.65379,0.09973,1.66436
0.107,0.00118,0.00009,0.00119,0.17227,0.01339,0.17382,3.09831,1.6537,0.1285,1.66859
0.108,0.00123,0.0001,0.00118,0.17926,0.01507,0.17104,3.12727,1.75309,0.14738,1.67275
0.109,0.00122,0.00008,0.00116,0.17809,0.0119,0.16833,3.15622,1.7741,0.11856,1.67687
0.11,0.00121,0.00008,0.00114,0.1762,0.01202,0.16569,3.18518,1.7876,0.12198,1.68094
0.111,0.00108,0.00008,0.00112,0.15677,0.01211,0.1631,3.21414,1.61951,0.12508,1.68497
0.112,0.00109,0.00008,0.0011,0.15822,0.01165,0.16058,3.24309,1.66413,0.12257,1.68897
0.113,0.00112,0.00007,0.00109,0.16303,0.01071,0.15812,3.27205,1.7454,0.11465,1.69292
0.114,0.00103,0.00009,0.00107,0.15065,0.01319,0.15572,3.30101,1.64161,0.14368,1.69685
0.115,0.00111,0.00008,0.00105,0.16142,0.01113,0.15338,3.32996,1.78998,0.12347,1.70075
0.116,0.00105,0.00008,0.00104,0.15342,0.01115,0.15109,3.35892,1.73092,0.12574,1.70462
0.117,0.00097,0.00008,0.00102,0.14185,0.01176,0.14885,3.38787,1.62808,0.135,1.70846
0.118,0.00094,0.0001,0.00101,0.13712,0.01394,0.14666,3.41683,1.6008,0.16269,1.71227
0.119,0.00097,0.0001,0.00099,0.14112,0.01413,0.14453,3.44579,1.67557,0.16782,1.71604
0.12,0.00094,0.00009,0.00098,0.13719,0.01298,0.14244,3.47474,1.6564,0.15669,1.71979
0.121,0.00105,0.00007,0.00096,0.15255,0.01065,0.1404,3.5037,1.87264,0.13072,1.72349
0.122,0.00112,0.00009,0.00095,0.16303,0.01241,0.1384,3.53266,2.03451,0.15492,1.72716
0.123,0.00093,0.00008,0.00094,0.13501,0.01124,0.13644,3.56161,1.71256,0.14254,1.73079
0.124,0.001,0.0001,0.00092,0.14563,0.01406,0.13453,3.59057,1.87751,0.18129,1.73439
0.125,0.00089,0.00008,0.00091,0.12904,0.0122,0.13266,3.61952,1.69052,0.15987,1.73796
0.126,0.00099,0.00009,0.0009,0.14345,0.01318,0.13083,3.64848,1.9095,0.1754,1.7415
0.127,0.00083,0.00008,0.00089,0.12118,0.01129,0.12904,3.67744,1.63875,0.15267,1.74503
0.128,0.0009,0.00006,0.00087,0.13115,0.00911,0.12728,3.70639,1.80163,0.12508,1.74854
0.129,0.00084,0.00008,0.00086,0.12191,0.01094,0.12557,3.73535,1.70093,0.15265,1.75203
0.13,0.00101,0.00009,0.00085,0.14752,0.01324,0.12389,3.76431,2.09041,0.18765,1.75551
0.131,0.00095,0.0001,0.00084,0.13864,0.01383,0.12225,3.79326,1.99493,0.19904,1.75897
0.132,0.00087,0.0001,0.00083,0.1262,0.01413,0.12064,3.82222,1.84369,0.20638,1.76243
0.133,0.00083,0.00008,0.00082,0.12067,0.01212,0.11906,3.85117,1.78969,0.17975,1.76587
0.134,0.00087,0.00008,0.00081,0.12598,0.01172,0.11752,3.88013,1.8967,0.17641,1.7693
0.135,0.00086,0.00008,0.0008,0.12474,0.01146,0.11601,3.90909,1.9062,0.17513,1.77273
0.136,0.00078,0.00008,0.00079,0.11346,0.01099,0.11453,3.93804,1.7596,0.17038,1.77614
0.137,0.00073,0.00008,0.00078,0.10677,0.01206,0.11308,3.967,1.68021,0.18973,1.77953
0.138,0.00073,0.00008,0.00077,0.10575,0.01169,0.11166,3.99595,1.68855,0.18659,1.78291
0.139,0.00087,0.00009,0.00076,0.12605,0.01254,0.11026,4.02491,2.04206,0.20321,1.78627
0.14,0.00074,0.00007,0.00075,0.108,0.0107,0.1089,4.05387,1.77493,0.17582,1.78962
0.141,0.00087,0.00009,0.00074,0.12634,0.01257,0.10756,4.08282,2.1061,0.20959,1.79295
0.142,0.00075,0.00008,0.00073,0.10881,0.01187,0.10625,4.11178,1.83954,0.2007,1.79627
0.143,0.00075,0.00007,0.00072,0.10961,0.01046,0.10496,4.14074,1.87927,0.17929,1.79959
0.144,0.00081,0.00008,0.00071,0.11747,0.01229,0.1037,4.16969,2.0423,0.2136,1.80289
0.145,0.00061,0.00007,0.0007,0.08843,0.01044,0.10246,4.19865,1.55885,0.18397,1.8062
0.146,0.00061,0.00005,0.0007,0.08894,0.00782,0.10124,4.2276,1.58953,0.13981,1.8095
0.147,0.00067,0.00008,0.00069,0.09789,0.01158,0.10005,4.25656,1.77357,0.2098,1.8128
0.148,0.00069,0.00009,0.00068,0.10051,0.01291,0.09889,4.28552,1.8459,0.23718,1.81611
0.149,0.00065,0.00009,0.00067,0.09439,0.013,0.09774,4.31447,1.75713,0.24207,1.81941
0.15,0.00072,0.00008,0.00066,0.10407,0.01174,0.09662,4.34343,1.9634,0.22141,1.82272
0.151,0.00073,0.00007,0.00066,0.10655,0.01067,0.09552,4.37239,2.03698,0.2039,1.82603
0.152,0.00068,0.00007,0.00065,0.09963,0.01067,0.09443,4.40134,1.93011,0.20677,1.82935
0.153,0.00057,0.00008,0.00064,0.08231,0.01122,0.09337,4.4303,1.61561,0.22026,1.83266
0.154,0.00057,0.00007,0.00063,0.0826,0.0098,0.09233,4.45925,1.64259,0.19493,1.83598
0.155,0.00067,0.00008,0.00063,0.09803,0.01108,0.09131,4.48821,1.9748,0.2231,1.8393
0.156,0.0006,0.00007,0.00062,0.08675,0.00979,0.0903,4.51717,1.77018,0.1997,1.84262
0.157,0.00058,0.00007,0.00061,0.08508,0.0097,0.08932,4.54612,1.75835,0.20052,1.84593
0.158,0.0007,0.00008,0.00061,0.10196,0.01157,0.08835,4.57508,2.13424,0.24222,1.84925
0.159,0.00061,0.00007,0.0006,0.08894,0.00972,0.0874,4.60403,1.8852,0.20604,1.85257
0.16,0.00059,0.00006,0.00059,0.08559,0.00914,0.08646,4.63299,1.83712,0.19615,1.85589
0.161,0.00047,0.00007,0.00059,0.06907,0.01,0.08555,4.66195,1.5011,0.21744,1.85922
0.162,0.00052,0.00009,0.00058,0.07584,0.01255,0.08464,4.6909,1.66874,0.27609,1.86255
0.163,0.00056,0.00007,0.00058,0.08202,0.01062,0.08376,4.71986,1.82722,0.23661,1.86589
0.164,0.00059,0.00009,0.00057,0.08573,0.01293,0.08289,4.74882,1.93341,0.2916,1.86924
0.165,0.00057,0.00007,0.00056,0.08362,0.00992,0.08203,4.77777,1.90888,0.22654,1.87259
0.166,0.00058,0.00007,0.00056,0.0845,0.01019,0.08119,4.80673,1.95227,0.23549,1.87594
0.167,0.00057,0.00007,0.00055,0.08304,0.01052,0.08037,4.83568,1.94182,0.24606,1.87931
0.168,0.00052,0.00008,0.00055,0.07518,0.01164,0.07956,4.86464,1.77914,0.27539,1.88267
0.169,0.00052,0.00007,0.00054,0.07525,0.01078,0.07876,4.8936,1.80213,0.25813,1.88604
0.17,0.00051,0.00008,0.00054,0.07467,0.01127,0.07797,4.92255,1.80941,0.27311,1.88942
0.171,0.00057,0.00007,0.00053,0.08333,0.01052,0.0772,4.95151,2.0431,0.25783,1.89279
0.172,0.00051,0.00008,0.00053,0.07423,0.01188,0.07644,4.98047,1.8414,0.29474,1.89617
0.173,0.00064,0.00008,0.00052,0.09381,0.01115,0.0757,5.00942,2.35416,0.2799,1.89954
0.174,0.00046,0.00007,0.00051,0.06732,0.00981,0.07496,5.03838,1.70896,0.24903,1.9029
0.175,0.00061,0.00008,0.00051,0.0893,0.01196,0.07424,5.06733,2.29304,0.30707,1.90627
0.176,0.00046,0.00007,0.00051,0.06725,0.00986,0.07353,5.09629,1.74658,0.256,1.90963
0.177,0.0005,0.00009,0.0005,0.07263,0.01269,0.07283,5.12525,1.90796,0.33339,1.91299
0.178,0.00045,0.00008,0.0005,0.06528,0.01165,0.07214,5.1542,1.7343,0.30957,1.91635
0.179,0.00052,0.00007,0.00049,0.07591,0.01029,0.07146,5.18316,2.0393,0.27644,1.9197
0.18,0.00043,0.00008,0.00049,0.06223,0.01108,0.07079,5.21211,1.69045,0.30108,1.92306
0.181,0.00047,0.00006,0.00048,0.06849,0.00899,0.07013,5.24107,1.88121,0.24705,1.92641
0.182,0.00051,0.00006,0.00048,0.0738,0.00928,0.06948,5.27003,2.04961,0.25773,1.92976
0.183,0.00049,0.00007,0.00047,0.07191,0.00949,0.06884,5.29898,2.01906,0.26636,1.93311
0.184,0.00052,0.00007,0.00047,0.07642,0.0108,0.06822,5.32794,2.16928,0.30665,1.93645
0.185,0.00051,0.00008,0.00046,0.07416,0.01174,0.0676,5.3569,2.12818,0.33693,1.93979
0.186,0.00049,0.00007,0.00046,0.07096,0.00948,0.06699,5.38585,2.05836,0.27495,1.94313
0.187,0.00052,0.00006,0.00046,0.07576,0.00851,0.06639,5.41481,2.22139,0.24961,1.94646
0.188,0.00043,0.00008,0.00045,0.06208,0.0116,0.06579,5.44376,1.83974,0.3439,1.94978
0.189,0.00043,0.00008,0.00045,0.06295,0.01109,0.06521,5.47272,1.88552,0.33203,1.9531
0.19,0.00042,0.00007,0.00044,0.06186,0.00947,0.06463,5.50168,1.87248,0.28673,1.9564
0.191,0.00038,0.00007,0.00044,0.05589,0.00977,0.06407,5.53063,1.7097,0.29875,1.95969
0.192,0.00042,0.00007,0.00044,0.06128,0.00979,0.06351,5.55959,1.89411,0.30266,1.96297
0.193,0.00032,0.00007,0.00043,0.04687,0.01041,0.06296,5.58855,1.46383,0.3251,1.96623
0.194,0.00056,0.00006,0.00043,0.08144,0.00845,0.06241,5.6175,2.56995,0.26656,1.96948
0.195,0.00043,0.00008,0.00043,0.06281,0.0118,0.06187,5.64646,2.00249,0.37623,1.97272
0.196,0.0005,0.00007,0.00042,0.07249,0.01004,0.06135,5.67541,2.33487,0.32333,1.97595
0.197,0.00045,0.00008,0.00042,0.06528,0.01146,0.06082,5.70437,2.1243,0.37286,1.97917
0.198,0.00043,0.00006,0.00041,0.0631,0.00919,0.06031,5.73333,2.07415,0.30211,1.98237
0.199,0.00032,0.00007,0.00041,0.0468,0.00958,0.0598,5.76228,1.55385,0.31799,1.98557
0.2,0.00041,0.00008,0.00041,0.05902,0.01187,0.0593,5.79124,1.97958,0.39824,1.98874
0.201,0.00031,0.00006,0.0004,0.04578,0.00911,0.0588,5.82019,1.55072,0.30867,1.99191
0.202,0.00041,0.00006,0.0004,0.05968,0.00904,0.05831,5.84915,2.04177,0.30936,1.99506
0.203,0.00046,0.00006,0.0004,0.0663,0.00875,0.05783,5.87811,2.29088,0.30247,1.99819
0.204,0.00034,0.00006,0.00039,0.04891,0.00838,0.05735,5.90706,1.70656,0.29225,2.00131
0.205,0.00043,0.00007,0.00039,0.06194,0.00965,0.05688,5.93602,2.18237,0.34015,2.00441
0.206,0.00036,0.00005,0.00039,0.05167,0.00753,0.05642,5.96498,1.83859,0.2681,2.00749
0.207,0.0005,0.00009,0.00038,0.07336,0.01264,0.05596,5.99393,2.63568,0.45405,2.01055
0.208,0.00038,0.00006,0.00038,0.05531,0.00904,0.05551,6.02289,2.00646,0.32776,2.01359
0.209,0.00037,0.00008,0.00038,0.05429,0.01172,0.05506,6.05184,1.98849,0.42927,2.01661
0.21,0.00045,0.00008,0.00038,0.06565,0.01105,0.05462,6.0808,2.42737,0.40875,2.0196
0.211,0.00043,0.00007,0.00037,0.06259,0.00969,0.05418,6.10976,2.33644,0.36168,2.02258
0.212,0.0004,0.00006,0.00037,0.05822,0.00816,0.05375,6.13871,2.19408,0.30747,2.02554
0.213,0.00036,0.00007,0.00037,0.05306,0.00963,0.05332,6.16767,2.01826,0.36633,2.02848
0.214,0.00041,0.00006,0.00036,0.05917,0.00801,0.0529,6.19663,2.272,0.30758,2.03141
0.215,0.00031,0.00005,0.00036,0.04571,0.00799,0.05249,6.22558,1.77145,0.30955,2.03432
0.216,0.00039,0.00005,0.00036,0.05662,0.00722,0.05208,6.25454,2.21502,0.28247,2.03721
