M9PD75	copy_number:80087.66667
M9PD65	copy_number:30031
M9PJM6	copy_number:131750.3333
P06754	copy_number:131413.6667
P53034	copy_number:21911
Q9VKW3	copy_number:19988.66667
Q7K012	copy_number:43911
M9PC85	copy_number:39178
Q9XZ15	copy_number:128249.3333
Q9V3J4	copy_number:28370
Q9VX15	copy_number:19373.66667
Q9W2X5	copy_number:125378.3333
Q9VP57	copy_number:61426.33333
Q7KVQ0	copy_number:50612.33333
Q7K180	copy_number:44392.33333
Q4AB54	copy_number:90914.33333
Q9VHS8	copy_number:57013
A4V4A5	copy_number:21732.33333
O44437	copy_number:35490.33333
Q8T6B9	copy_number:37069.66667
Q8SY19	copy_number:38589
Q9VHP0	copy_number:41638.66667
X2JH42	copy_number:56450.66667
Q960D3	copy_number:24381.33333
P13060	copy_number:30996.33333
P17917	copy_number:9311.333333
Q94901	copy_number:49665.66667
Q24368	copy_number:30086.66667
Q8INM3	copy_number:6173.333333
Q8SYJ2	copy_number:52034.66667
B7YZQ7	copy_number:37851
M9PJQ5	copy_number:112649.3333
A4V4C1	copy_number:26258.66667
A0A0B4KFE9	copy_number:29774.33333
Q8IRH6	copy_number:108374.3333
H0RNN8	copy_number:57582.66667
P54622	copy_number:19777.66667
Q9VDL2	copy_number:25009.66667
C0MJA0	copy_number:57832.33333
Q76NQ0	copy_number:38585
Q9VLM5	copy_number:21753.33333
Q9VRP2	copy_number:17933
Q7K0D8	copy_number:17296
Q9W1N3	copy_number:40999
P52304	copy_number:1863.333333
Q9V4Q8	copy_number:36002.66667
Q9VCH5	copy_number:23629.33333
X2JDP6	copy_number:69991
M9PFN1	copy_number:26600.66667
Q24297	copy_number:41907.33333
P18432	copy_number:98419.33333
O18373	copy_number:53584.66667
Q9VE85	copy_number:21149.66667
Q9V431	copy_number:50146.66667
A0A0B4KHJ9	copy_number:93997
Q9U9Q1	copy_number:16512.33333
Q24319	copy_number:38491.66667
Q9VZL3	copy_number:29692.33333
Q960Y8	copy_number:29219
Q9XZ06	copy_number:22907
Q9VL71	copy_number:28161.33333
M9NF33	copy_number:25577.33333
Q9W335	copy_number:48470.33333
M9PCH8	copy_number:51006
Q9VF03	copy_number:30798
M9PJE8	copy_number:45074
Q9VPL0	copy_number:28493.33333
Q9VSY2	copy_number:32389
A1Z6H7	copy_number:31364
B7YZZ9	copy_number:30336.33333
E4NKG1	copy_number:17042.66667
Q7K110	copy_number:34862.33333
Q9VEX9	copy_number:38951.66667
X2JCI6	copy_number:75406.66667
Q94517	copy_number:29603.66667
Q86BS3	copy_number:41082.33333
Q9VAJ2	copy_number:23320
A0A0B4KEH0	copy_number:33277.66667
Q94883	copy_number:36663.66667
Q7KMJ6	copy_number:26216.33333
Q9VL69	copy_number:27773.66667
O61613	copy_number:19232.66667
P42283	copy_number:14189.33333
Q9VDV3	copy_number:24317.33333
P43332	copy_number:30128
Q7JWM4	copy_number:49458.66667
Q9VMB9	copy_number:31392.33333
Q9VE52	copy_number:23863
P23572	copy_number:1194.333333
A4V1N8	copy_number:76053.66667
Q03427	copy_number:64154
A1YK02	copy_number:13712.66667
Q9VH64	copy_number:6529.666667
Q9VZY0	copy_number:57507.66667
P23128	copy_number:22888.33333
Q7JZF5	copy_number:23637.66667
Q0E8V7	copy_number:38194
Q9VKC1	copy_number:45324.33333
E1JJI5	copy_number:33326
E2QD64	copy_number:15124
Q9V9K7	copy_number:27815.66667
M9PEA6	copy_number:44590.33333
M9PBL3	copy_number:30201
Q9VD66	copy_number:39686
A1Z7K2	copy_number:32849.33333
A1ZBW1	copy_number:33276
Q9VNZ3	copy_number:20746.33333
A4V4A1	copy_number:7177
M9PBZ9	copy_number:19488.66667
A0A0B4KHX3	copy_number:15810
Q8IQV9	copy_number:17097
Q9VUV9	copy_number:23615
Q9VE17	copy_number:30497.66667
Q94513	copy_number:34418.33333
P53997	copy_number:19888
A4V3G8	copy_number:12200
Q9VWS2	copy_number:15462
Q9VAA9	copy_number:28840.33333
Q9VK59	copy_number:30702.33333
Q9VXE6	copy_number:11237
P35381	copy_number:32619.33333
M9NF14	copy_number:28843
C9QP42	copy_number:20647.66667
Q9VAX8	copy_number:21201.33333
M9PDN9	copy_number:5514.333333
A1Z8U0	copy_number:22042
Q9GYU8	copy_number:20698.33333
M9PF14	copy_number:15447.66667
X2JCL6	copy_number:19903.33333
Q8IMV6	copy_number:26148.66667
Q9VGH5	copy_number:37551.66667
Q7K2X8	copy_number:13567.66667
Q9VEX6	copy_number:10578
Q9W0R0	copy_number:16674
P49028	copy_number:28450
Q9VIX7	copy_number:24484
Q9W255	copy_number:28594
E1JHA4	copy_number:29149.33333
Q9V463	copy_number:17951.33333
Q9U9Q4	copy_number:17780.33333
M9PIA6	copy_number:22354
Q9VC94	copy_number:21719.33333
Q9V444	copy_number:5473.666667
P35600	copy_number:11308.66667
Q9W0M7	copy_number:21357.66667
Q9V6B9	copy_number:15092.33333
X2JGG6	copy_number:29434.66667
O02195	copy_number:16605.33333
A1Z909	copy_number:37607.33333
Q9VA18	copy_number:8117
Q9V535	copy_number:33794.33333
Q7JR58	copy_number:31127.66667
P13395	copy_number:53617.33333
Q9VCY1	copy_number:30522.33333
A0A0B4LFB3	copy_number:20171
Q9VAC1	copy_number:24678.66667
Q9VCW3	copy_number:12081
A0A0B4K618	copy_number:17030.66667
Q9W1G7	copy_number:16242.33333
M9NDM4	copy_number:21716.33333
A0A0B4KHL7	copy_number:9072
Q9VBP5	copy_number:15341.33333
Q9VTT2	copy_number:27941.33333
Q9VYG2	copy_number:19408.33333
Q86B87	copy_number:19322.66667
Q9VN50	copy_number:17940
P54385	copy_number:33504.33333
Q9VBU8	copy_number:12057.66667
A0A0B4K7U5	copy_number:15719
A0A0B4K700	copy_number:4785
Q9W2D9	copy_number:17840
Q9VC28	copy_number:38970
F2FBA6	copy_number:35040.33333
A0A0B4KG78	copy_number:7758.333333
Q9VV75	copy_number:31206.66667
Q9VC49	copy_number:19863.33333
M9PFZ1	copy_number:23685.66667
Q0E8J0	copy_number:15787
Q9VEP9	copy_number:17305.66667
E1JIK0	copy_number:24696.33333
Q24090	copy_number:21032.33333
Q7KND8	copy_number:13810.33333
Q9VEB3	copy_number:38549
Q9VN25	copy_number:15685.66667
A0A0B4KGP8	copy_number:19678.33333
Q8MZI3	copy_number:16241
Q9VNI8	copy_number:12640.33333
Q7KN75	copy_number:33184.66667
Q7K0D3	copy_number:26132.33333
A0A0B4K7A5	copy_number:50787
E2QCG7	copy_number:17053.33333
M9NDZ4	copy_number:24377.33333
Q8MLV1	copy_number:28499.66667
O46106	copy_number:20091
Q9VTU4	copy_number:17075
X2J9F3	copy_number:11325
P25439	copy_number:19838
M9PC89	copy_number:21568
E1JJ73	copy_number:11135.66667
P42207	copy_number:24917
M9NDX3	copy_number:20878.33333
Q9W5W8	copy_number:13839.33333
Q9VFF0	copy_number:26416
Q9VXI6	copy_number:33543.66667
Q9VMZ5	copy_number:52091.33333
Q9VQK7	copy_number:18556.33333
A0A0B4K6U6	copy_number:34441.66667
Q9VL89	copy_number:13346
O77410	copy_number:16022.33333
O97454	copy_number:18369.66667
X2JC82	copy_number:25438
Q9VPR5	copy_number:19984.33333
Q24478	copy_number:21372.33333
P40797	copy_number:22575
Q9VRL0	copy_number:26161.33333
Q95RE4	copy_number:23716
E2QC83	copy_number:23442.33333
Q9V452	copy_number:4423
Q9VLN1	copy_number:15064.66667
Q9V3T8	copy_number:24032.33333
P55841	copy_number:14595.66667
Q9W0P3	copy_number:11298.66667
Q9VQK5	copy_number:12156
Q9VJ11	copy_number:21063.33333
Q9W351	copy_number:14208.66667
E2QD75	copy_number:14986
Q9VN39	copy_number:27872.33333
A1ZA83	copy_number:15984.33333
P54359	copy_number:19908.33333
Q9VGN9	copy_number:28704
P32234	copy_number:12816.66667
P56538	copy_number:22813
Q9VWC7	copy_number:7720.333333
Q95RJ9	copy_number:11823.33333
O76857	copy_number:15324.66667
L0MPS3	copy_number:18614.33333
Q9XZ03	copy_number:11588.66667
Q9V9T4	copy_number:4063.666667
Q9V3Y5	copy_number:12619
Q9VU15	copy_number:18351.33333
A8DZ29	copy_number:14026
Q9V9Z9	copy_number:28052.66667
Q500Y7	copy_number:23533.33333
Q9VRQ2	copy_number:10058.66667
A0A0B4LHF7	copy_number:27671.66667
Q94524	copy_number:12856
Q9W4X7	copy_number:13438.33333
P54353	copy_number:22758.33333
Q9V4C8	copy_number:19713
Q9VG73	copy_number:17380.66667
Q9VWQ6	copy_number:19454.66667
M9PBH8	copy_number:19306.33333
Q8SY69	copy_number:3803.666667
E1JIT0	copy_number:34134
Q6IGE3	copy_number:14530.33333
Q8IMX8	copy_number:19280.66667
Q9VQ76	copy_number:11946
Q9VHT2	copy_number:13733.33333
Q9VNN7	copy_number:43482.33333
Q9VCK0	copy_number:15857.33333
Q9V9U9	copy_number:24416
Q8SY53	copy_number:18881
M9PEZ4	copy_number:12791
Q24491	copy_number:20831
Q6NN28	copy_number:42039.33333
Q9VJ12	copy_number:19186
L7ED64	copy_number:16934
Q9VT38	copy_number:21987
Q8IPX7	copy_number:20340.66667
Q8I937	copy_number:29235.66667
Q9VN55	copy_number:11056
Q9VEQ2	copy_number:10894.33333
Q7KUX7	copy_number:20419
Q8IPT1	copy_number:12589
Q9VNQ3	copy_number:11871.66667
A1ZBJ2	copy_number:13393
Q9VHY6	copy_number:12449
Q9XZ34	copy_number:3450.666667
Q8SX89	copy_number:19882.33333
M9PF16	copy_number:41074
Q9VVU6	copy_number:13003
